ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t ʃ	5.23	195	698	199	0.0
t ʃ'	4.16	152	698	152	0.0
t ʃʰ	2.52	92	698	92	0.0
n k	0.29	29	241	227	0.0
n t	0.16	38	241	698	0.0
m p'	0.1	8	246	50	0.008
r k	0.09	18	291	227	0.0
n q'	0.09	13	241	146	0.0
n kʰ	0.09	10	241	88	0.002
n q	0.09	15	241	208	0.0
x t	0.07	17	107	698	0.0
m p	0.06	13	246	213	0.0
x r	0.06	10	107	291	0.002
ʎ p	0.05	12	242	213	0.0
n qʰ	0.05	10	241	174	0.002
j r	0.05	11	175	291	0.001
r p	0.04	12	291	213	0.0
ʎ q	0.04	10	242	208	0.002
x w	0.04	7	107	236	0.015
n t'	0.04	7	241	105	0.015
m pʰ	0.04	7	246	104	0.015
s kʰ	0.03	7	319	88	0.015
r m	0.03	11	291	246	0.001
ʎ m	0.03	10	242	246	0.002
s k	0.03	11	319	227	0.001
r q	0.03	10	291	208	0.002
ʎ qʰ	0.03	8	242	174	0.008
r q'	0.03	8	291	146	0.008
s p	0.03	10	319	213	0.002
r kʰ	0.03	6	291	88	0.031
j k	0.02	7	175	227	0.015
h ʎ	0.02	8	220	242	0.008
r w	0.02	9	291	236	0.004
s t	0.02	16	319	698	0.0
s t'	0.02	6	319	105	0.031
x s	0.02	6	107	319	0.031
s q'	0.02	7	319	146	0.015
l t	0.02	11	174	698	0.001
r qʰ	0.02	7	291	174	0.015
x ʎ	0.02	5	107	242	0.062
x m	0.02	5	107	246	0.062
w r	0.02	8	236	291	0.008
ʎ k	0.02	7	242	227	0.015
j t'	0.02	4	175	105	0.125
j n	0.02	6	175	241	0.031
j t	0.02	10	175	698	0.002
x t'	0.02	3	107	105	0.25
w t	0.01	11	236	698	0.001
ʎ q'	0.01	5	242	146	0.062
s qʰ	0.01	6	319	174	0.031
n s	0.01	7	241	319	0.015
ʎ pʰ	0.01	4	242	104	0.125
x n	0.01	4	107	241	0.125
j w	0.01	5	175	236	0.062
j ʎ	0.01	5	175	242	0.062
n tʰ	0.01	3	241	68	0.25
l t'	0.01	3	174	105	0.25
w s	0.01	6	236	319	0.031
s n	0.01	6	319	241	0.031
j ʃ	0.01	4	175	199	0.125
l q	0.01	4	174	208	0.125
ʎ t	0.01	8	242	698	0.008
j m	0.01	4	175	246	0.125
j ɲ	0.01	2	175	62	0.5
j q'	0.01	3	175	146	0.25
ʎ p'	0.01	2	242	50	0.5
h t	0.01	7	220	698	0.015
w k	0.01	4	236	227	0.125
r pʰ	0.01	3	291	104	0.25
r p'	0.01	2	291	50	0.5
j q	0.0	3	175	208	0.25
l h	0.0	3	174	220	0.25
j pʰ	0.0	2	175	104	0.5
w qʰ	0.0	3	236	174	0.25
s ɲ	0.0	2	319	62	0.5
w kʰ	0.0	2	236	88	0.5
kʰ ɲ	0.0	1	88	62	1.0
p t'	0.0	2	213	105	0.5
r s	0.0	4	291	319	0.125
x ɲ	0.0	1	107	62	1.0
s q	0.0	3	319	208	0.25
r x	0.0	2	291	107	0.5
r n	0.0	3	291	241	0.25
h s	0.0	3	220	319	0.25
m s	0.0	3	246	319	0.25
j p'	0.0	1	175	50	1.0
j p	0.0	2	175	213	0.5
l w	0.0	2	174	236	0.5
m t	0.0	4	246	698	0.125
ɲ t	0.0	2	62	698	0.5
l tʰ	0.0	1	174	68	1.0
h m	0.0	2	220	246	0.5
ʎ w	0.0	2	242	236	0.5
w ʎ	0.0	2	236	242	0.5
j kʰ	0.0	1	175	88	1.0
s p'	0.0	1	319	50	1.0
h r	0.0	2	220	291	0.5
r h	0.0	2	291	220	0.5
l pʰ	0.0	1	174	104	1.0
s w	0.0	2	319	236	0.5
s ʎ	0.0	2	319	242	0.5
s m	0.0	2	319	246	0.5
m kʰ	0.0	1	246	88	1.0
q t'	0.0	1	208	105	1.0
r t	0.0	3	291	698	0.25
x p	0.0	1	107	213	1.0
h t'	0.0	1	220	105	1.0
w t'	0.0	1	236	105	1.0
w x	0.0	1	236	107	1.0
ʎ t'	0.0	1	242	105	1.0
l qʰ	0.0	1	174	174	1.0
s pʰ	0.0	1	319	104	1.0
s x	0.0	1	319	107	1.0
w q'	0.0	1	236	146	1.0
ʃ qʰ	0.0	1	199	174	1.0
j h	0.0	1	175	220	1.0
l k	0.0	1	174	227	1.0
m qʰ	0.0	1	246	174	1.0
l m	0.0	1	174	246	1.0
k p	0.0	1	227	213	1.0
w q	0.0	1	236	208	1.0
r l	0.0	1	291	174	1.0
m q	0.0	1	246	208	1.0
h w	0.0	1	220	236	1.0
h n	0.0	1	220	241	1.0
n h	0.0	1	241	220	1.0
s l	0.0	1	319	174	1.0
l s	0.0	1	174	319	1.0
m k	0.0	1	246	227	1.0
w n	0.0	1	236	241	1.0
w m	0.0	1	236	246	1.0
n r	0.0	1	241	291	1.0
k s	0.0	1	227	319	1.0
t x	0.0	1	698	107	1.0
ʎ s	0.0	1	242	319	1.0
q t	0.0	1	208	698	1.0
p t	0.0	1	213	698	1.0
k t	0.0	1	227	698	1.0
t s	0.0	1	698	319	1.0
