ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
m p	0.76	2069	15323	16611	0.0
t ʃʰ	0.59	381	29396	381	0.0
s t	0.45	2637	23905	29396	0.0
n t	0.39	2733	29275	29396	0.0
s t'	0.34	744	23905	3033	0.0
j ʃ	0.32	106	14548	109	0.0
s k	0.31	2236	23905	30069	0.0
ʎ q	0.31	343	2888	5952	0.0
n q'	0.29	490	29275	1294	0.0
j n	0.24	1497	14548	29275	0.0
p t'	0.17	437	16611	3033	0.0
j t'	0.16	399	14548	3033	0.0
p k	0.15	1272	16611	30069	0.0
n k	0.14	1665	29275	30069	0.0
s p	0.12	1045	23905	16611	0.0
px tʰ	0.11	128	4573	1523	0.0
n qʰ	0.11	374	29275	2055	0.0
ɲ tʃ	0.09	350	8130	7474	0.0
n x	0.07	716	29275	10846	0.0
r l	0.06	338	19125	4302	0.0
tʰ x	0.06	151	1523	10846	0.0
s k'	0.06	198	23905	1316	0.0
tʰ w	0.04	153	1523	16123	0.0
n w	0.04	643	29275	16123	0.0
r k	0.04	703	19125	30069	0.0
t x	0.04	511	29396	10846	0.0
j x	0.03	342	14548	10846	0.0
r x	0.03	380	19125	10846	0.0
j m	0.03	393	14548	15323	0.0
px t	0.03	298	4573	29396	0.0
h ʎ	0.03	116	7163	2888	0.0
j k	0.03	515	14548	30069	0.0
k t	0.03	721	30069	29396	0.0
n tʃ	0.03	350	29275	7474	0.0
l h	0.02	130	4302	7163	0.0
r t'	0.02	174	19125	3033	0.0
j r	0.02	363	14548	19125	0.0
k x	0.02	383	30069	10846	0.0
k tʰ	0.02	138	30069	1523	0.0
j w	0.02	308	14548	16123	0.0
s x	0.02	307	23905	10846	0.0
n s	0.02	497	29275	23905	0.0
w q'	0.02	84	16123	1294	0.0
ʎ t	0.02	168	2888	29396	0.0
r m	0.02	312	19125	15323	0.0
x s	0.01	288	10846	23905	0.0
n q	0.01	234	29275	5952	0.0
r p	0.01	313	19125	16611	0.0
n tʰ	0.01	117	29275	1523	0.0
s tʰ	0.01	103	23905	1523	0.0
j ʎ	0.01	110	14548	2888	0.0
w s	0.01	324	16123	23905	0.0
s kʰ	0.01	107	23905	1791	0.0
j p'	0.01	43	14548	515	0.0
s m	0.01	296	23905	15323	0.0
r k'	0.01	77	19125	1316	0.0
q t'	0.01	63	5952	3033	0.0
j tʃ	0.01	150	14548	7474	0.0
r t	0.01	337	19125	29396	0.0
t s	0.01	368	29396	23905	0.0
k s	0.01	365	30069	23905	0.0
n t'	0.01	128	29275	3033	0.0
t w	0.01	292	29396	16123	0.0
w k	0.01	292	16123	30069	0.0
p s	0.01	260	16611	23905	0.0
j t	0.01	268	14548	29396	0.0
p t	0.01	280	16611	29396	0.0
x t'	0.01	68	10846	3033	0.0
w kʰ	0.01	61	16123	1791	0.0
n k'	0.01	70	29275	1316	0.0
k t'	0.01	107	30069	3033	0.0
r q	0.01	116	19125	5952	0.0
ʎ p'	0.01	13	2888	515	0.0
w x	0.01	140	16123	10846	0.0
px p	0.0	91	4573	16611	0.0
ʎ q'	0.0	20	2888	1294	0.0
px k	0.0	115	4573	30069	0.0
ʎ k'	0.0	19	2888	1316	0.0
j tʰ	0.0	45	14548	1523	0.0
tʃ k	0.0	143	7474	30069	0.0
k p	0.0	213	30069	16611	0.0
t p	0.0	205	29396	16611	0.0
q t	0.0	120	5952	29396	0.0
ʎ k	0.0	79	2888	30069	0.0
k tʃ	0.0	126	30069	7474	0.0
x w	0.0	104	10846	16123	0.0
px s	0.0	82	4573	23905	0.0
