	syll	cons	son	cont	lateral	nasal	voice	dor	lab	cor	strid	ant	high	low	back	round	cg	sg	raised	atr	long
p	-	+	-	-	0	0	-	0	+	0	0	0	0	0	0	0	0	0	0	0	0
b	-	+	-	-	0	0	+	0	+	0	0	0	0	0	0	0	0	0	0	0	0
m	-	+	+	-	0	+	+	0	+	0	0	0	0	0	0	0	0	0	0	0	0
f	-	+	-	+	0	0	-	0	+	0	0	0	0	0	0	0	0	0	0	0	0
v	-	-	+	+	0	0	+	0	+	0	0	0	0	0	0	0	0	0	0	0	0
k	-	+	-	-	0	0	-	+	0	0	0	0	+	-	+	0	0	0	0	0	0
g	-	+	-	-	0	0	+	+	0	0	0	0	+	-	+	0	0	0	0	0	0
x	-	+	-	+	0	0	-	+	0	0	0	0	0	0	0	0	0	0	0	0	0
t	-	+	-	-	0	0	-	0	0	+	-	+	0	0	0	0	0	0	0	0	0
d	-	+	-	-	0	0	+	0	0	+	-	+	0	0	0	0	0	0	0	0	0
s	-	+	-	+	0	0	-	0	0	+	+	+	0	0	0	0	0	0	0	0	0
z	-	+	-	+	0	0	+	0	0	+	+	+	0	0	0	0	0	0	0	0	0
ʃ	-	+	-	+	0	0	-	0	0	+	-	-	0	0	0	0	0	0	0	0	0
ʒ	-	+	-	+	0	0	+	0	0	+	-	-	0	0	0	0	0	0	0	0	0
c	-	+	-	-	0	0	-	+	0	+	-	-	+	-	-	0	0	0	0	0	0
ɟ	-	+	-	-	0	0	+	+	0	+	-	-	+	-	-	0	0	0	0	0	0
n	-	+	+	-	0	+	0	0	0	+	0	+	0	0	+	0	0	0	0	0	0
ɲ	-	+	+	-	0	+	0	0	0	+	0	+	0	0	-	0	0	0	0	0	0
ŋ	-	+	+	-	0	+	0	+	0	0	0	0	+	-	+	0	0	0	0	0	0
r	-	+	+	+	-	0	0	0	0	+	0	+	0	0	0	0	0	0	-	0	0
R	+	+	+	+	-	0	0	0	0	+	0	+	0	0	0	0	0	0	-	0	0
Ř	-	+	+	+	-	0	+	0	0	+	0	+	0	0	0	0	0	0	+	0	0
l	-	+	+	+	+	0	0	0	0	+	0	+	0	0	0	0	0	0	0	0	0
L	+	+	+	+	+	0	0	0	0	+	0	+	0	0	0	0	0	0	0	0	0
j	-	-	+	+	0	0	0	0	0	+	0	-	+	-	-	-	0	0	0	0	0
ɦ	-	-	-	+	0	0	+	0	0	0	0	0	0	0	0	0	-	+	0	0	0
i	+	-	+	0	0	0	0	0	0	0	0	0	+	-	-	-	0	0	0	-	-
ɪ	+	-	+	0	0	0	0	0	0	0	0	0	+	-	-	-	0	0	0	+	+
ɛ	+	-	+	0	0	-	0	0	0	0	0	0	-	-	-	-	0	0	0	0	-
a	+	-	+	0	0	-	0	0	0	0	0	0	-	+	+	-	0	0	0	0	-
o	+	-	+	0	0	-	0	0	0	0	0	0	-	-	+	+	0	0	0	0	-
u	+	-	+	0	0	-	0	0	0	0	0	0	+	-	+	+	0	0	0	0	-
I	+	-	+	0	0	0	0	0	0	0	0	0	+	-	-	-	0	0	0	0	+
E	+	-	+	0	0	-	0	0	0	0	0	0	-	-	-	-	0	0	0	0	+
A	+	-	+	0	0	-	0	0	0	0	0	0	-	+	+	-	0	0	0	0	+
O	+	-	+	0	0	-	0	0	0	0	0	0	-	-	+	+	0	0	0	0	+
U	+	-	+	0	0	-	0	0	0	0	0	0	+	-	+	+	0	0	0	0	+
