ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t ʃ	0.95	31800	208763	55469	0.0
p Ř	0.75	11597	87019	22543	0.0
t s	0.63	42324	208763	147640	0.0
s t	0.49	37089	147640	208763	0.0
ŋ k	0.46	5665	6586	114660	0.0
s k	0.38	24394	147640	114660	0.0
p r	0.18	11973	87019	100474	0.0
ʃ k	0.15	9276	55469	114660	0.0
ŋ g	0.14	921	6586	10056	0.0
v j	0.13	7465	123628	37548	0.0
ʃ ɲ	0.07	3824	55469	44263	0.0
ʃ c	0.06	4249	55469	62140	0.0
m ɲ	0.05	3311	50806	44263	0.0
ɦ l	0.05	3450	25121	98696	0.0
t r	0.05	9423	208763	100474	0.0
s p	0.04	7216	147640	87019	0.0
z m	0.04	3137	49553	50806	0.0
n t	0.04	8891	102062	208763	0.0
d l	0.04	4056	49602	98696	0.0
t Ř	0.04	3963	208763	22543	0.0
g r	0.03	1773	10056	100474	0.0
k r	0.03	5894	114660	100474	0.0
p l	0.03	5084	87019	98696	0.0
b r	0.03	3066	32974	100474	0.0
k l	0.03	5647	114660	98696	0.0
d ɲ	0.03	2461	49602	44263	0.0
z d	0.03	2511	49553	49602	0.0
l ɲ	0.02	3078	98696	44263	0.0
ʒ ɟ	0.02	461	13290	7439	0.0
f k	0.02	2066	18238	114660	0.0
b l	0.02	2485	32974	98696	0.0
f s	0.02	2243	18238	147640	0.0
ɦ ř	0.02	708	25121	10769	0.0
d n	0.02	3051	49602	102062	0.0
d r	0.02	3019	49602	100474	0.0
b j	0.02	1456	32974	37548	0.0
z ɦ	0.02	1432	49553	25121	0.0
z b	0.02	1630	49553	32974	0.0
ɦ r	0.02	2024	25121	100474	0.0
x l	0.02	1540	15074	98696	0.0
t v	0.02	6405	208763	123628	0.0
s l	0.02	4709	147640	98696	0.0
v ɲ	0.02	2871	123628	44263	0.0
t ɲ	0.02	3571	208763	44263	0.0
z ɟ	0.01	704	49553	7439	0.0
n d	0.01	2587	102062	49602	0.0
d ř	0.01	828	49602	10769	0.0
ʒ ɲ	0.01	858	13290	44263	0.0
z n	0.01	2514	49553	102062	0.0
Ř s	0.01	1985	22543	147640	0.0
b ř	0.01	623	32974	10769	0.0
t k	0.01	5038	208763	114660	0.0
l n	0.01	3238	98696	102062	0.0
s c	0.01	3049	147640	62140	0.0
k Ř	0.01	1588	114660	22543	0.0
ʃ n	0.01	2322	55469	102062	0.0
r ɲ	0.01	2033	100474	44263	0.0
r n	0.01	3004	100474	102062	0.0
d v	0.01	2311	49602	123628	0.0
z l	0.01	2062	49553	98696	0.0
z v	0.01	2291	49553	123628	0.0
n s	0.01	3473	102062	147640	0.0
z ɲ	0.01	1313	49553	44263	0.0
s m	0.01	2396	147640	50806	0.0
p j	0.01	1500	87019	37548	0.0
l k	0.01	2771	98696	114660	0.0
f ʃ	0.01	799	18238	55469	0.0
x r	0.01	970	15074	100474	0.0
s ɲ	0.01	1930	147640	44263	0.0
r m	0.01	1645	100474	50806	0.0
ɦ n	0.01	1156	25121	102062	0.0
m p	0.01	1516	50806	87019	0.0
b ɲ	0.01	862	32974	44263	0.0
f r	0.01	954	18238	100474	0.0
ʃ t	0.01	2361	55469	208763	0.0
s v	0.01	2919	147640	123628	0.0
m b	0.0	849	50806	32974	0.0
k t	0.0	3157	114660	208763	0.0
t n	0.0	2944	208763	102062	0.0
r k	0.0	2160	100474	114660	0.0
v n	0.0	2247	123628	102062	0.0
x n	0.0	782	15074	102062	0.0
ɦ ɲ	0.0	661	25121	44263	0.0
r t	0.0	2847	100474	208763	0.0
ʒ n	0.0	701	13290	102062	0.0
ʃ l	0.0	1387	55469	98696	0.0
f l	0.0	787	18238	98696	0.0
r g	0.0	582	100474	10056	0.0
s x	0.0	841	147640	15074	0.0
k n	0.0	1928	114660	102062	0.0
m l	0.0	1258	50806	98696	0.0
d ʒ	0.0	456	49602	13290	0.0
d b	0.0	716	49602	32974	0.0
ʃ p	0.0	1230	55469	87019	0.0
d m	0.0	887	49602	50806	0.0
b n	0.0	1009	32974	102062	0.0
m n	0.0	1229	50806	102062	0.0
ʒ l	0.0	602	13290	98696	0.0
