segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[d] [ʒ]	+voice,-strident,-continuant +voice,-anterior	0.004	4002	25859	4332	0.0
[ð|d] [ʒ]	+voice,-strident +voice,-anterior	0.0039	4002	26450	4332	0.0
[b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g] [b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	+consonantal -nasal,-syllabic	0.0027	95482	329528	281068	0.0
[w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ] [b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-syllabic -nasal,-syllabic	0.0027	95483	338903	281068	0.0
[b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g] [w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ]	+consonantal -syllabic	0.0025	100022	329528	338903	0.0
[b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g] [b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	+consonantal -nasal,+consonantal	0.0025	88984	329528	271693	0.0
[b|n|p|ŋ|d|m|k|t|g] [b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-continuant -nasal,-syllabic	0.0024	66682	180954	281068	0.0
[w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ] [w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ]	-syllabic -syllabic	0.0024	100023	338903	338903	0.0
[w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ] [b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-syllabic -nasal,+consonantal	0.0024	88984	338903	271693	0.0
[b|d|g] [ʒ]	+voice,-continuant +voice,-anterior	0.0023	4007	43792	4332	0.0
[b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g] [l|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	+consonantal -nasal,+coronal	0.0023	73535	329528	194004	0.0
[w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ] [l|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	-syllabic -nasal,+coronal	0.0023	73535	338903	194004	0.0
[b|n|p|ŋ|d|m|k|t|g] [l|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	-continuant -nasal,+coronal	0.0023	53543	180954	194004	0.0
[b|n|p|ŋ|d|m|k|t|g] [l|j|ɹ|w|v|ð|ʒ|z|s|ʃ|h|f|θ]	-continuant +continuant,-syllabic	0.0022	47988	180954	157949	0.0
[b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g] [b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g]	+consonantal +consonantal	0.0022	93524	329528	329528	0.0
[ð|z|d] [ʒ]	+voice,+anterior +voice,-anterior	0.0022	4002	47081	4332	0.0
