segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[ɟ] [ʒ]	+voice,-continuant,-anterior +voice,+strident,-anterior	0.022	4002	4002	4332	0.0
[c|ɟ] [ʒ]	-continuant,-anterior +voice,+strident,-anterior	0.0131	4002	6732	4332	0.0
[c|ɟ] [ʒ|ʃ]	-continuant,-anterior +strident,-anterior	0.0119	6732	6732	13494	0.0
[ɟ] [ʒ|ɟ]	+voice,-continuant,-anterior +voice,-anterior	0.0114	4002	4002	8334	0.0
[ʒ|ɟ] [ʒ]	+voice,-anterior +voice,+strident,-anterior	0.0105	4002	8334	4332	0.0
[c|ɟ] [ʒ|ʃ|c|ɟ]	-continuant,-anterior -sonorant,-anterior	0.0079	6732	6732	20226	0.0
[c] [ʃ]	-voice,-continuant,-anterior +continuant,-voice,-anterior	0.0071	2730	2730	9162	0.0
[ɟ] [ʒ|ʃ]	+voice,-continuant,-anterior +strident,-anterior	0.0071	4002	4002	13494	0.0
[c|ɟ] [ʒ|ɟ]	-continuant,-anterior +voice,-anterior	0.0068	4002	6732	8334	0.0
[ʒ|ɟ] [ʒ|ɟ]	+voice,-anterior +voice,-anterior	0.0055	4002	8334	8334	0.0
[c] [ʃ|c]	-voice,-continuant,-anterior -voice,-anterior	0.0055	2730	2730	11892	0.0
[c] [ʒ|ʃ]	-voice,-continuant,-anterior +strident,-anterior	0.0048	2730	2730	13494	0.0
[ɟ] [ʒ|ʃ|c|ɟ]	+voice,-continuant,-anterior -sonorant,-anterior	0.0047	4002	4002	20226	0.0
[ʒ|ʃ|c|ɟ] [ʒ]	-sonorant,-anterior +voice,+strident,-anterior	0.0043	4002	20226	4332	0.0
[ʒ|ʃ|c|ɟ] [ʒ|ʃ]	-sonorant,-anterior +strident,-anterior	0.004	6738	20226	13494	0.0
[c|ɟ] [ʒ|ʃ|ɹ]	-continuant,-anterior +continuant,-anterior	0.0039	6732	6732	40643	0.0
[ɟ] [ʒ|z]	+voice,-continuant,-anterior +voice,+strident	0.0038	4002	4002	24963	0.0
[ɟ] [ð|ʒ|z]	+voice,-continuant,-anterior +continuant,+voice,+coronal	0.0037	4002	4002	25554	0.0
[d|ɟ] [ʒ]	+voice,-strident,-continuant +voice,+strident,-anterior	0.0034	4002	25859	4332	0.0
[ʒ|ɟ] [ʒ|ʃ]	+voice,-anterior +strident,-anterior	0.0034	4004	8334	13494	0.0
[c|ɟ] [ʒ|ɟ|ɹ|c|ʃ]	-continuant,-anterior -anterior	0.0034	6732	6732	47375	0.0
[ð|d|ɟ] [ʒ]	+voice,-strident +voice,+strident,-anterior	0.0033	4002	26450	4332	0.0
[c] [ʒ|ʃ|c|ɟ]	-voice,-continuant,-anterior -sonorant,-anterior	0.0032	2730	2730	20226	0.0
