ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
s t	0.49	9813	49598	53380	0.0
t ʃ	0.46	4970	53380	13627	0.0
n d	0.2	5344	60324	32326	0.0
n t	0.18	6546	60324	53380	0.0
n z	0.15	4340	60324	27786	0.0
t s	0.12	4792	53380	49598	0.0
ɹ z	0.11	4136	74792	27786	0.0
k s	0.08	3610	42433	49598	0.0
s k	0.08	3527	49598	42433	0.0
ŋ k	0.07	1499	9878	42433	0.0
ŋ g	0.07	824	9878	13518	0.0
p ɹ	0.07	2732	19633	74792	0.0
m p	0.07	1668	29267	19633	0.0
g ɹ	0.06	2174	13518	74792	0.0
n s	0.06	3692	60324	49598	0.0
k w	0.06	1276	42433	8818	0.0
t ɹ	0.06	4075	53380	74792	0.0
s p	0.05	1974	49598	19633	0.0
b ɹ	0.05	2424	21032	74792	0.0
ɹ d	0.05	2845	74792	32326	0.0
l z	0.04	2058	49308	27786	0.0
ɹ t	0.04	3437	74792	53380	0.0
l d	0.04	2065	49308	32326	0.0
k j	0.03	701	42433	5164	0.0
k l	0.03	2117	42433	49308	0.0
k ɹ	0.03	2517	42433	74792	0.0
d z	0.03	1338	32326	27786	0.0
p l	0.03	1387	19633	49308	0.0
m b	0.03	1080	29267	21032	0.0
h w	0.02	386	9248	8818	0.0
k t	0.02	1979	42433	53380	0.0
ɹ g	0.02	1322	74792	13518	0.0
b l	0.02	1305	21032	49308	0.0
f ɹ	0.02	1280	13694	74792	0.0
f l	0.02	987	13694	49308	0.0
ɹ m	0.02	1715	74792	29267	0.0
n dʒ	0.02	694	60324	6319	0.0
g l	0.02	869	13518	49308	0.0
ŋ z	0.01	509	9878	27786	0.0
ɹ k	0.01	1715	74792	42433	0.0
m j	0.01	367	29267	5164	0.0
m z	0.01	834	29267	27786	0.0
h j	0.01	202	9248	5164	0.0
b j	0.01	298	21032	5164	0.0
ɹ s	0.01	1741	74792	49598	0.0
ɹ n	0.01	1870	74792	60324	0.0
s w	0.01	577	49598	8818	0.0
p j	0.01	272	19633	5164	0.0
l t	0.01	1364	49308	53380	0.0
d ɹ	0.01	1282	32326	74792	0.0
f j	0.01	219	13694	5164	0.0
ɹ b	0.01	1027	74792	21032	0.0
ɹ θ	0.01	375	74792	2873	0.0
n j	0.01	447	60324	5164	0.0
l j	0.01	395	49308	5164	0.0
n f	0.01	693	60324	13694	0.0
p s	0.01	750	19633	49598	0.0
s l	0.01	1116	49598	49308	0.0
f s	0.01	575	13694	49598	0.0
g z	0.01	419	13518	27786	0.0
g w	0.01	230	13518	8818	0.0
p t	0.01	681	19633	53380	0.0
ɹ dʒ	0.01	455	74792	6319	0.0
l m	0.01	783	49308	29267	0.0
ɹ v	0.01	582	74792	10696	0.0
n b	0.01	707	60324	21032	0.0
s m	0.01	743	49598	29267	0.0
ɹ l	0.0	1158	74792	49308	0.0
l v	0.0	434	49308	10696	0.0
g j	0.0	157	13518	5164	0.0
l f	0.0	479	49308	13694	0.0
f t	0.0	482	13694	53380	0.0
v z	0.0	304	10696	27786	0.0
l b	0.0	563	49308	21032	0.0
k ʃ	0.0	410	42433	13627	0.0
ɹ f	0.0	538	74792	13694	0.0
n v	0.0	418	60324	10696	0.0
n h	0.0	383	60324	9248	0.0
z d	0.0	466	27786	32326	0.0
d w	0.0	261	32326	8818	0.0
t w	0.0	332	53380	8818	0.0
ɹ p	0.0	581	74792	19633	0.0
t l	0.0	775	53380	49308	0.0
v j	0.0	111	10696	5164	0.0
n θ	0.0	196	60324	2873	0.0
θ ɹ	0.0	218	2873	74792	0.0
d l	0.0	568	32326	49308	0.0
g n	0.0	400	13518	60324	0.0
ʃ w	0.0	151	13627	8818	0.0
l s	0.0	680	49308	49598	0.0
n k	0.0	688	60324	42433	0.0
n ʃ	0.0	377	60324	13627	0.0
l k	0.0	577	49308	42433	0.0
ɹ ʃ	0.0	389	74792	13627	0.0
θ w	0.0	60	2873	8818	0.0
ʃ m	0.0	229	13627	29267	0.0
θ s	0.0	136	2873	49598	0.0
ɹ w	0.0	273	74792	8818	0.0
dʒ d	0.0	151	6319	32326	0.0
