ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ɟ ʒ	1.23	4002	4002	4332	0.0
c ʃ	0.4	2730	2730	9162	0.0
j u	0.26	2082	4601	4890	0.0
j ʊ	0.17	1406	4601	3384	0.0
ɪ ŋ	0.16	8154	58757	9515	0.0
ə n	0.1	11731	55155	32884	0.0
ə ɹ	0.06	8362	55155	27149	0.0
s t	0.06	7664	36515	36312	0.0
l ɪ	0.05	7971	29129	58757	0.0
ə l	0.05	7683	55155	29129	0.0
ʃ ə	0.05	4141	9162	55155	0.0
ɹ ɪ	0.04	7158	27149	58757	0.0
t ɪ	0.04	8183	36312	58757	0.0
eɪ ʃ	0.04	1722	10637	9162	0.0
eɪ t	0.03	3030	10637	36312	0.0
ɪ s	0.03	7043	58757	36515	0.0
n t	0.02	4698	32884	36312	0.0
n d	0.02	3639	32884	21857	0.0
ɹ i	0.02	1799	27149	6732	0.0
d ɪ	0.02	4697	21857	58757	0.0
aɪ z	0.02	1662	7988	20631	0.0
k ə	0.02	4691	23887	55155	0.0
ɪ z	0.02	4419	58757	20631	0.0
t ə	0.02	5620	36312	55155	0.0
æ n	0.02	2491	12122	32884	0.0
ɪ n	0.02	5419	58757	32884	0.0
ɛ n	0.02	2523	12843	32884	0.0
ʊ l	0.02	1158	3384	29129	0.0
ɹ eɪ	0.02	1978	27149	10637	0.0
p ɹ	0.02	2440	16398	27149	0.0
w ɔ	0.02	930	4774	13555	0.0
v ə	0.02	2070	6212	55155	0.0
ɪ k	0.02	4128	58757	23887	0.0
n z	0.02	2797	32884	20631	0.0
k ɔ	0.01	1892	23887	13555	0.0
t s	0.01	3803	36312	36515	0.0
ə z	0.01	3492	55155	20631	0.0
m ə	0.01	2990	15436	55155	0.0
ɹ ɛ	0.01	1887	27149	12843	0.0
t ɹ	0.01	3171	36312	27149	0.0
b ə	0.01	2530	11438	55155	0.0
ɹ ə	0.01	3882	27149	55155	0.0
g ɹ	0.01	1328	6495	27149	0.0
ə m	0.01	2857	55155	15436	0.0
ɹ æ	0.01	1771	27149	12122	0.0
s ɪ	0.01	4488	36515	58757	0.0
k w	0.01	1033	23887	4774	0.0
ɛ k	0.01	1685	12843	23887	0.0
n ɪ	0.01	4162	32884	58757	0.0
m p	0.01	1481	15436	16398	0.0
f ʊ	0.01	522	9379	3384	0.0
æ k	0.01	1573	12122	23887	0.0
ə b	0.01	2298	55155	11438	0.0
l aɪ	0.01	1387	29129	7988	0.0
k s	0.01	2678	23887	36515	0.0
oʊ v	0.01	628	7748	6212	0.0
ɪ d	0.01	3228	58757	21857	0.0
aʊ n	0.01	787	2353	32884	0.0
ɹ oʊ	0.01	1275	27149	7748	0.0
h ɑ	0.01	351	3880	4332	0.0
h ɛ	0.01	590	3880	12843	0.0
f aɪ	0.01	712	9379	7988	0.0
m ɪ	0.01	2473	15436	58757	0.0
p ə	0.01	2468	16398	55155	0.0
ɔ n	0.01	1727	13555	32884	0.0
ʒ ɪ	0.01	1301	4332	58757	0.0
h aʊ	0.01	243	3880	2353	0.0
l ə	0.01	3192	29129	55155	0.0
ɔ l	0.01	1576	13555	29129	0.0
l eɪ	0.01	1391	29129	10637	0.0
d ə	0.01	2705	21857	55155	0.0
n s	0.01	2663	32884	36515	0.0
ɪ v	0.01	1465	58757	6212	0.0
ɹ aɪ	0.01	1107	27149	7988	0.0
s p	0.01	1791	36515	16398	0.0
f ɔ	0.01	823	9379	13555	0.0
s k	0.01	2087	36515	23887	0.0
ŋ g	0.01	555	9515	6495	0.0
w ɛ	0.01	551	4774	12843	0.0
h æ	0.01	481	3880	12122	0.0
ɔ k	0.01	1259	13555	23887	0.0
h ɔ	0.01	506	3880	13555	0.0
m æ	0.01	954	15436	12122	0.0
ɹ u	0.01	792	27149	4890	0.0
æ m	0.01	937	12122	15436	0.0
p ɔ	0.01	1019	16398	13555	0.0
ɔ m	0.01	984	13555	15436	0.0
l z	0.01	1663	29129	20631	0.0
g ə	0.01	1274	6495	55155	0.0
k ɹ	0.01	1709	23887	27149	0.0
ɹ ɔ	0.01	1286	27149	13555	0.0
ɛ s	0.01	1448	12843	36515	0.0
ɛ l	0.01	1292	12843	29129	0.0
oʊ l	0.01	1002	7748	29129	0.0
ə s	0.01	2976	55155	36515	0.0
ɪ m	0.01	1996	58757	15436	0.0
w ɪ	0.01	1099	4774	58757	0.0
w eɪ	0.01	467	4774	10637	0.0
ŋ k	0.01	975	9515	23887	0.0
ɔ t	0.01	1423	13555	36312	0.0
k æ	0.01	1089	23887	12122	0.0
ʃ ɪ	0.01	1480	9162	58757	0.0
b æ	0.01	750	11438	12122	0.0
ə t	0.01	2840	55155	36312	0.0
ɪ t	0.01	2931	58757	36312	0.0
b ɔ	0.01	790	11438	13555	0.0
ʒ ə	0.01	979	4332	55155	0.0
b l	0.01	1140	11438	29129	0.0
l æ	0.01	1157	29129	12122	0.0
b ɹ	0.01	1085	11438	27149	0.0
s ə	0.01	2749	36515	55155	0.0
æ ŋ	0.0	644	12122	9515	0.0
s ɛ	0.0	1293	36515	12843	0.0
p ɛ	0.0	866	16398	12843	0.0
k j	0.0	618	23887	4601	0.0
m ɛ	0.0	828	15436	12843	0.0
f ɪ	0.0	1379	9379	58757	0.0
p l	0.0	1279	16398	29129	0.0
p æ	0.0	823	16398	12122	0.0
p ɪ	0.0	1794	16398	58757	0.0
d z	0.0	1224	21857	20631	0.0
ɔ g	0.0	540	13555	6495	0.0
ʊ ə	0.0	780	3384	55155	0.0
ɪ l	0.0	2348	58757	29129	0.0
aʊ t	0.0	523	2353	36312	0.0
aɪ d	0.0	746	7988	21857	0.0
l oʊ	0.0	846	29129	7748	0.0
ɪ f	0.0	1319	58757	9379	0.0
h oʊ	0.0	308	3880	7748	0.0
k eɪ	0.0	895	23887	10637	0.0
oʊ z	0.0	709	7748	20631	0.0
k t	0.0	1644	23887	36312	0.0
f l	0.0	921	9379	29129	0.0
n ə	0.0	2350	32884	55155	0.0
