segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[ŋ] [ɡ]	+nas,+dor -son,+dor,+voice	0.0368	1026	2281	1026	0.0
[m] [b]	+son,+lab +voice,+lab,-cont,-nas	0.0301	2328	6339	2328	0.0
[ŋ|n|m] [ɡ|b|d]	+nas -son,+voice,-cont	0.0295	5866	16273	5866	0.0
[n] [d]	+nas,+cor +voice,+ant,-cont,-nas	0.0269	2512	7653	2512	0.0
[ɡ|ŋ] [ɡ]	+dor,+voice,-cont -son,+dor,+voice	0.0254	1026	3307	1026	0.0
[w|ŋ] [ɡ]	+dor,+son -son,+dor,+voice	0.0241	1026	3483	1026	0.0
[b|m] [b]	+voice,+lab,-cont +voice,+lab,-cont,-nas	0.022	2328	8667	2328	0.0
[ŋ|ɡ|n|d|m|b] [ɡ|b|d]	+voice,-cont -son,+voice,-cont	0.0217	5866	22139	5866	0.0
[n|d] [d]	+voice,+ant,-cont +voice,+ant,-cont,-nas	0.0202	2512	10165	2512	0.0
[m] [p|b]	+son,+lab +lab,-cont,-nas	0.0202	2328	6339	3465	0.0
[p|b|m] [b]	+lab,-cont +voice,+lab,-cont,-nas	0.0194	2328	9804	2328	0.0
[t] [ʃ]	-strid,-voice,+cor -ant,-voice	0.0194	1985	8372	1985	0.0
[ɡ|w|ŋ] [ɡ]	+dor,+voice -son,+dor,+voice	0.0186	1026	4509	1026	0.0
[l|ŋ|r|n|m] [ɡ|b|d]	+cons,+son -son,+voice,-cont	0.0176	5866	27312	5866	0.0
[d|t] [ʃ|ʒ]	-son,+cor,-cont -son,-ant	0.0173	2305	10884	2305	0.0
[ŋ] [ɡ|w]	+nas,+dor +dor,+voice,-nas	0.017	1026	2281	2228	0.0
[t] [ʃ|ʒ]	-strid,-voice,+cor -son,-ant	0.0167	1985	8372	2305	0.0
[j|l|ŋ|r|w|n|m] [ɡ|b|d]	+son,-syll -son,+voice,-cont	0.0163	5866	29515	5866	0.0
[d|t] [ʃ]	-son,+cor,-cont -ant,-voice	0.0149	1985	10884	1985	0.0
[b|m] [p|b]	+voice,+lab,-cont +lab,-cont,-nas	0.0148	2328	8667	3465	0.0
[d|ð|t] [ʃ|ʒ]	-son,-strid,+ant -son,-ant	0.0141	2305	13351	2305	0.0
[n] [d|ð]	+nas,+cor -son,+voice,+ant	0.0136	2512	7653	4979	0.0
[p|b|m] [p|b]	+lab,-cont +lab,-cont,-nas	0.0131	2328	9804	3465	0.0
[n] [ʒ|d|ð]	+nas,+cor -son,+voice,+cor	0.0127	2512	7653	5299	0.0
[ŋ|n|m] [d]	+nas +voice,+ant,-cont,-nas	0.0126	2512	16273	2512	0.0
[s|t] [ʃ]	-voice,+ant -ant,-voice	0.0123	1985	13243	1985	0.0
[n|d] [ʒ|d|ð]	+voice,+ant,-cont -son,+voice,+cor	0.0122	2832	10165	5299	0.0
[d|ð|t] [ʃ]	-son,-strid,+ant -ant,-voice	0.0122	1985	13351	1985	0.0
[d|t] [j|ʃ|ʒ]	-son,+cor,-cont -ant	0.0121	2305	10884	3306	0.0
[m] [ɡ|b|d]	+son,+lab -son,+voice,-cont	0.0119	2328	6339	5866	0.0
[ŋ|n|m] [b]	+nas +voice,+lab,-cont,-nas	0.0117	2328	16273	2328	0.0
[ɡ|ŋ] [ɡ|w]	+dor,+voice,-cont +dor,+voice,-nas	0.0117	1026	3307	2228	0.0
[t] [j|ʃ|ʒ]	-strid,-voice,+cor -ant	0.0116	1985	8372	3306	0.0
[p|ŋ|ɡ|d|n|m|ʔ|b|k|t] [ɡ|b|d]	-cont -son,+voice,-cont	0.0116	5866	41486	5866	0.0
[n] [ɡ|b|d]	+nas,+cor -son,+voice,-cont	0.0115	2512	7653	5866	0.0
[ŋ] [ɡ|ŋ]	+nas,+dor +dor,+voice,-cont	0.0114	1026	2281	3307	0.0
[w|ŋ] [ɡ|w]	+dor,+son +dor,+voice,-nas	0.0111	1026	3483	2228	0.0
[n|d|t] [d]	+cor,-cont +voice,+ant,-cont,-nas	0.0111	2512	18537	2512	0.0
[n|r|l] [d]	+son,+ant +voice,+ant,-cont,-nas	0.011	2512	18692	2512	0.0
[b|β|m] [b]	+voice,+lab +voice,+lab,-cont,-nas	0.0109	2328	17501	2328	0.0
[β|l|ŋ|r|ð|ɡ|n|d|m|b] [ɡ|b|d]	+cons,+voice,-strid -son,+voice,-cont	0.0108	5866	44479	5866	0.0
[ʒ|β|l|ŋ|r|ð|ɡ|n|d|m|b] [ɡ|b|d]	+cons,+voice -son,+voice,-cont	0.0107	5866	44799	5866	0.0
[s|ʃ|t] [ʃ]	-voice,+cor -ant,-voice	0.0107	1985	15228	1985	0.0
[s|t] [ʃ|ʒ]	-voice,+ant -son,-ant	0.0106	1985	13243	2305	0.0
[j|n|r|l] [d]	+son,+cor +voice,+ant,-cont,-nas	0.0104	2512	19693	2512	0.0
[d] [ʒ]	+voice,+ant,-cont,-nas +voice,+strid	0.0104	320	2512	320	0.0
[s|d|ð|t] [ʃ|ʒ]	-son,+ant -son,-ant	0.0104	2305	18222	2305	0.0
[j|β|l|ŋ|r|ð|ɡ|w|n|d|m|b] [ɡ|b|d]	+voice,-strid,-syll -son,+voice,-cont	0.0103	5866	46682	5866	0.0
[j|ʒ|β|l|ŋ|r|ð|ɡ|w|n|d|m|b] [ɡ|b|d]	+voice,-syll -son,+voice,-cont	0.0102	5866	47002	5866	0.0
[n|d] [d|ð]	+voice,+ant,-cont -son,+voice,+ant	0.0102	2512	10165	4979	0.0
[n|d|t] [ʃ|ʒ]	+cor,-cont -son,-ant	0.0102	2305	18537	2305	0.0
[ŋ|n|m] [β|ð|ɡ|d|b]	+nas -son,+voice,-strid	0.0101	5866	16273	17167	0.0
[p|β|f|m|b] [b]	+lab +voice,+lab,-cont,-nas	0.01	2328	19032	2328	0.0
[ŋ|n|m] [ʒ|β|ð|ɡ|d|b]	+nas -son,+voice	0.0099	5866	16273	17487	0.0
[d|ð|t] [j|ʃ|ʒ]	-son,-strid,+ant -ant	0.0099	2305	13351	3306	0.0
[ŋ|ɡ|n|d|m|b] [d]	+voice,-cont +voice,+ant,-cont,-nas	0.0093	2512	22139	2512	0.0
[ʃ|ʒ|s|ð|d|t] [ʃ|ʒ]	-son,+cor -son,-ant	0.0092	2305	20527	2305	0.0
[s|ʃ|t] [ʃ|ʒ]	-voice,+cor -son,-ant	0.0092	1985	15228	2305	0.0
[s|d|ð|t] [ʃ]	-son,+ant -ant,-voice	0.0089	1985	18222	1985	0.0
[n|d|t] [ʃ]	+cor,-cont -ant,-voice	0.0088	1985	18537	1985	0.0
[b|m] [ɡ|b|d]	+voice,+lab,-cont -son,+voice,-cont	0.0087	2328	8667	5866	0.0
[l|ð|r|n|d] [d]	+voice,+ant +voice,+ant,-cont,-nas	0.0087	2512	23671	2512	0.0
[n|d] [ɡ|b|d]	+voice,+ant,-cont -son,+voice,-cont	0.0087	2512	10165	5866	0.0
[ŋ|ɡ|n|d|m|b] [b]	+voice,-cont +voice,+lab,-cont,-nas	0.0086	2328	22139	2328	0.0
[ɡ|w|ŋ] [ɡ|w]	+dor,+voice +dor,+voice,-nas	0.0086	1026	4509	2228	0.0
[ʒ|l|r|ð|n|d] [d]	+cons,+voice,+cor +voice,+ant,-cont,-nas	0.0086	2512	23991	2512	0.0
[ʔ|p|k|t] [ʃ]	-voice,-cont -ant,-voice	0.0084	1985	19347	1985	0.0
[ŋ] [ɡ|w|ŋ]	+nas,+dor +dor,+voice	0.0084	1026	2281	4509	0.0
[j|l|ð|r|n|d] [d]	+voice,-strid,+cor +voice,+ant,-cont,-nas	0.0083	2512	24672	2512	0.0
[p|f|ʔ|k|t] [ʃ]	-strid,-voice -ant,-voice	0.0082	1985	19741	1985	0.0
[j|ʒ|l|r|ð|n|d] [d]	+voice,+cor +voice,+ant,-cont,-nas	0.0082	2512	24992	2512	0.0
[ŋ|ɡ|n|d|m|b] [ʒ|β|ð|ɡ|d|b]	+voice,-cont -son,+voice	0.0081	6186	22139	17487	0.0
[m] [b|m]	+son,+lab +voice,+lab,-cont	0.0081	2328	6339	8667	0.0
[ʃ|ʒ|s|ð|d|t] [ʃ]	-son,+cor -ant,-voice	0.0079	1985	20527	1985	0.0
[ɡ|ŋ] [ɡ|ŋ]	+dor,+voice,-cont +dor,+voice,-cont	0.0079	1026	3307	3307	0.0
[ŋ|n|m] [p|b]	+nas +lab,-cont,-nas	0.0079	2328	16273	3465	0.0
[ŋ|n|m] [ŋ|ɡ|n|d|m|b]	+nas +voice,-cont	0.0078	5866	16273	22139	0.0
[l|ð|r|d|t] [ʃ|ʒ]	-strid,+ant,-nas -son,-ant	0.0077	2305	24390	2305	0.0
[p|b|m] [ɡ|b|d]	+lab,-cont -son,+voice,-cont	0.0077	2328	9804	5866	0.0
[ŋ|n|m] [β|l|r|ð|ɡ|d|b]	+nas +cons,+voice,-strid,-nas	0.0077	6574	16273	28206	0.0
[ŋ|n|m] [ʒ|β|l|r|ð|ɡ|d|b]	+nas +cons,+voice,-nas	0.0076	6574	16273	28526	0.0
[l|ŋ|r|n|m] [d]	+cons,+son +voice,+ant,-cont,-nas	0.0075	2512	27312	2512	0.0
[p|ɡ|d|ʔ|b|k|t] [ʃ|ʒ]	-cont,-nas -son,-ant	0.0075	2305	25213	2305	0.0
[w|ŋ] [ɡ|ŋ]	+dor,+son +dor,+voice,-cont	0.0075	1026	3483	3307	0.0
