ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ŋ ɡ	0.58	1026	2281	1026	0.0
m b	0.47	2328	6339	2328	0.0
n d	0.42	2512	7653	2512	0.0
t ʃ	0.3	1985	8372	1985	0.0
d ʒ	0.16	320	2512	320	0.0
a k	0.15	6094	32890	9824	0.0
k a	0.13	5620	9824	32890	0.0
β a	0.09	4417	8834	32890	0.0
t a	0.08	4137	8372	32890	0.0
ʃ i	0.08	1493	1985	18684	0.0
β e	0.06	1884	8834	9161	0.0
n i	0.04	2080	7653	18684	0.0
j a	0.04	986	1001	32890	0.0
k i	0.04	2312	9824	18684	0.0
a t	0.04	2796	32890	8372	0.0
w a	0.03	993	1202	32890	0.0
a l	0.03	2184	32890	6092	0.0
r a	0.03	1940	4947	32890	0.0
l e	0.03	1121	6092	9161	0.0
l o	0.03	979	6092	7204	0.0
e i	0.03	1927	9161	18684	0.0
d a	0.03	1281	2512	32890	0.0
i t	0.02	1710	18684	8372	0.0
s i	0.02	1300	4871	18684	0.0
a n	0.02	2137	32890	7653	0.0
l a	0.02	1901	6092	32890	0.0
l i	0.02	1430	6092	18684	0.0
a m	0.02	1930	32890	6339	0.0
m a	0.02	1896	6339	32890	0.0
r o	0.02	783	4947	7204	0.0
ʒ i	0.02	320	320	18684	0.0
s e	0.02	874	4871	9161	0.0
b u	0.02	589	2328	9467	0.0
s a	0.02	1581	4871	32890	0.0
β u	0.02	1125	8834	9467	0.0
ð a	0.02	1055	2467	32890	0.0
n r	0.02	708	7653	4947	0.0
r e	0.02	747	4947	9161	0.0
o l	0.02	735	7204	6092	0.0
o n	0.02	818	7204	7653	0.0
t u	0.02	980	8372	9467	0.0
e r	0.02	740	9161	4947	0.0
u n	0.02	925	9467	7653	0.0
e l	0.01	807	9161	6092	0.0
r i	0.01	1036	4947	18684	0.0
a r	0.01	1353	32890	4947	0.0
a u	0.01	1869	32890	9467	0.0
ð i	0.01	701	2467	18684	0.0
s o	0.01	603	4871	7204	0.0
a s	0.01	1277	32890	4871	0.0
i n	0.01	1195	18684	7653	0.0
a ŋ	0.01	856	32890	2281	0.0
u t	0.01	873	9467	8372	0.0
i β	0.01	1255	18684	8834	0.0
n a	0.01	1545	7653	32890	0.0
u l	0.01	738	9467	6092	0.0
i s	0.01	914	18684	4871	0.0
t o	0.01	742	8372	7204	0.0
o m	0.01	638	7204	6339	0.0
i m	0.01	1021	18684	6339	0.0
p e	0.01	300	1137	9161	0.0
a β	0.01	1534	32890	8834	0.0
i l	0.01	955	18684	6092	0.0
a ð	0.01	803	32890	2467	0.0
u m	0.01	676	9467	6339	0.0
l u	0.01	661	6092	9467	0.0
b a	0.01	755	2328	32890	0.0
a i	0.01	2130	32890	18684	0.0
ɡ a	0.01	499	1026	32890	0.0
e n	0.01	715	9161	7653	0.0
u β	0.01	771	9467	8834	0.0
u r	0.01	571	9467	4947	0.0
o r	0.01	490	7204	4947	0.0
d o	0.01	348	2512	7204	0.0
k o	0.01	687	9824	7204	0.0
β o	0.01	649	8834	7204	0.0
o s	0.01	469	7204	4871	0.0
o ŋ	0.01	311	7204	2281	0.0
ŋ a	0.01	656	2281	32890	0.0
s u	0.01	513	4871	9467	0.0
e s	0.01	500	9161	4871	0.0
o t	0.01	578	7204	8372	0.0
u k	0.01	711	9467	9824	0.0
b o	0.01	299	2328	7204	0.0
b e	0.01	337	2328	9161	0.0
o ð	0.01	303	7204	2467	0.0
m i	0.01	777	6339	18684	0.0
a w	0.01	442	32890	1202	0.0
m u	0.01	538	6339	9467	0.0
e ð	0.01	318	9161	2467	0.0
d u	0.01	324	2512	9467	0.0
u s	0.01	449	9467	4871	0.0
i r	0.01	635	18684	4947	0.0
r u	0.01	441	4947	9467	0.0
i k	0.01	870	18684	9824	0.0
e t	0.01	562	9161	8372	0.0
o k	0.01	537	7204	9824	0.0
k e	0.01	600	9824	9161	0.0
k u	0.01	605	9824	9467	0.0
p i	0.0	284	1137	18684	0.0
t e	0.0	528	8372	9161	0.0
p a	0.0	367	1137	32890	0.0
u ð	0.0	288	9467	2467	0.0
β i	0.0	759	8834	18684	0.0
ð e	0.0	274	2467	9161	0.0
e w	0.0	187	9161	1202	0.0
m e	0.0	429	6339	9161	0.0
e m	0.0	428	9161	6339	0.0
ð o	0.0	235	2467	7204	0.0
m o	0.0	371	6339	7204	0.0
