segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[b|v] [j|w|ɥ]	+labial,+voice +high,-syllabic	0.0044	9734	43941	41832	0.0
[b|d|f|g|k|l|m|n|p|s|t|v|z|ŋ|ɲ|ʁ|ʃ|ʒ] [b|d|f|g|j|k|l|p|s|t|v|w|z|ɥ|ʁ|ʃ|ʒ]	+consonantal -nasal,-syllabic	0.0042	109493	501340	485162	0.0
[v] [j|w|ɥ]	+continuant,+labial,+voice +high,-syllabic	0.004	7311	27122	41832	0.0
[b|d|f|g|k|l|p|s|t|v|z|ʁ|ʃ|ʒ] [b|d|f|g|j|k|l|p|s|t|v|w|z|ɥ|ʁ|ʃ|ʒ]	+consonantal,-nasal -nasal,-syllabic	0.004	99744	443330	485162	0.0
[b|d|f|g|k|l|m|n|p|s|t|v|z|ŋ|ɲ|ʁ|ʃ|ʒ] [j|w|ɥ]	+consonantal +high,-syllabic	0.0038	30591	501340	41832	0.0
[b|d|f|g|k|p|s|t|v|z|ʃ|ʒ] [j|l|w|ɥ|ʁ]	-sonorant +continuant,+sonorant,-syllabic	0.0038	48794	315850	169312	0.0
[b|d|f|g|k|l|m|n|p|s|t|v|z|ŋ|ɲ|ʁ|ʃ|ʒ] [j|l|w|ɥ|ʁ]	+consonantal +continuant,+sonorant,-syllabic	0.0037	60684	501340	169312	0.0
[b|d|f|g|j|k|l|p|s|t|v|w|z|ɥ|ʁ|ʃ|ʒ] [b|d|f|g|j|k|l|p|s|t|v|w|z|ɥ|ʁ|ʃ|ʒ]	-nasal,-syllabic -nasal,-syllabic	0.0037	100161	485162	485162	0.0
[b|d|f|g|k|l|p|s|t|v|z|ʁ|ʃ|ʒ] [j|l|w|ɥ|ʁ]	+consonantal,-nasal +continuant,+sonorant,-syllabic	0.0036	56488	443330	169312	0.0
[v] [w]	+continuant,+labial,+voice +back,+dorsal	0.0036	5172	27122	23274	0.0
[b|d|f|g|k|p|s|t|v|z|ʃ|ʒ] [j|w|ɥ]	-sonorant +high,-syllabic	0.0036	23525	315850	41832	0.0
[b|f|m|p|v] [j|w|ɥ]	+consonantal,+labial +high,-syllabic	0.0035	14726	127403	41832	0.0
[b|d|f|g|k|l|p|s|t|v|z|ʁ|ʃ|ʒ] [j|w|ɥ]	+consonantal,-nasal +high,-syllabic	0.0035	27429	443330	41832	0.0
[b|d|f|g|k|l|m|n|p|s|t|v|z|ŋ|ɲ|ʁ|ʃ|ʒ] [j|l|m|n|w|ŋ|ɥ|ɲ|ʁ]	+consonantal +sonorant,-syllabic	0.0034	67590	501340	227322	0.0
[b|d|f|g|k|l|m|n|p|s|t|v|z|ŋ|ɲ|ʁ|ʃ|ʒ] [f|j|l|s|v|w|z|ɥ|ʁ|ʃ|ʒ]	+consonantal +continuant,-syllabic	0.0034	76826	501340	295462	0.0
[b|d|f|g|j|k|l|p|s|t|v|w|z|ɥ|ʁ|ʃ|ʒ] [j|l|w|ɥ|ʁ]	-nasal,-syllabic +continuant,+sonorant,-syllabic	0.0033	56565	485162	169312	0.0
[b|d|f|g|k|l|p|s|t|v|z|ʁ|ʃ|ʒ] [j|l|m|n|w|ŋ|ɥ|ɲ|ʁ]	+consonantal,-nasal +sonorant,-syllabic	0.0033	62635	443330	227322	0.0
[b|d|f|g|k|l|p|s|t|v|z|ʁ|ʃ|ʒ] [f|j|l|s|v|w|z|ɥ|ʁ|ʃ|ʒ]	+consonantal,-nasal +continuant,-syllabic	0.0032	70007	443330	295462	0.0
[b|d|f|g|j|k|l|p|s|t|v|w|z|ɥ|ʁ|ʃ|ʒ] [j|w|ɥ]	-nasal,-syllabic +high,-syllabic	0.0032	27434	485162	41832	0.0
[v|z|ʒ] [j|w|ɥ]	+continuant,+voice +high,-syllabic	0.0032	8301	44601	41832	0.0
[b|f|p|v] [j|w|ɥ]	+labial,-sonorant +high,-syllabic	0.0032	11974	92835	41832	0.0
[b|d|f|g|k|p|s|t|v|z|ʃ|ʒ] [j|l|m|n|w|ŋ|ɥ|ɲ|ʁ]	-sonorant +sonorant,-syllabic	0.0031	51326	315850	227322	0.0
[v] [w|ɥ]	+continuant,+labial,+voice +high,+labial	0.0031	5172	27122	27052	0.0
