ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
v w	0.92	5172	27122	23274	0.0
b j	0.33	1946	16819	14780	0.0
ʁ d	0.28	4666	56847	29045	0.0
s k	0.28	5385	57718	39285	0.0
v j	0.25	2139	27122	14780	0.0
l ɥ	0.17	1461	70633	3778	0.0
t ʁ	0.16	5104	63158	56847	0.0
g ʁ	0.11	1389	6587	56847	0.0
k w	0.11	2114	39285	23274	0.0
t j	0.09	2019	63158	14780	0.0
m w	0.09	1792	34568	23274	0.0
p l	0.08	3051	34806	70633	0.0
p ʁ	0.07	2614	34806	56847	0.0
p ɥ	0.07	651	34806	3778	0.0
s j	0.06	1565	57718	14780	0.0
t w	0.06	1952	63158	23274	0.0
ʁ ʃ	0.05	1153	56847	9743	0.0
s ɥ	0.05	712	57718	3778	0.0
ʁ s	0.05	2641	56847	57718	0.0
b ʁ	0.04	1374	16819	56847	0.0
ʁ t	0.04	2576	56847	63158	0.0
ʁ l	0.04	2689	56847	70633	0.0
m j	0.04	958	34568	14780	0.0
k ʁ	0.03	1731	39285	56847	0.0
m s	0.03	1615	34568	57718	0.0
ʁ m	0.03	1550	56847	34568	0.0
ʁ w	0.02	1164	56847	23274	0.0
ʒ w	0.02	526	11663	23274	0.0
d l	0.02	1424	29045	70633	0.0
p j	0.02	707	34806	14780	0.0
ʒ v	0.02	554	11663	27122	0.0
z j	0.02	276	5816	14780	0.0
l f	0.02	921	70633	14088	0.0
b l	0.02	970	16819	70633	0.0
v ʁ	0.02	1081	27122	56847	0.0
ʁ k	0.02	1272	56847	39285	0.0
p t	0.02	1262	34806	63158	0.0
s t	0.02	1614	57718	63158	0.0
ʁ n	0.01	911	56847	22955	0.0
ʃ p	0.01	463	9743	34806	0.0
ʃ t	0.01	614	9743	63158	0.0
b w	0.01	472	16819	23274	0.0
d ʁ	0.01	954	29045	56847	0.0
k s	0.01	1110	39285	57718	0.0
ʃ j	0.01	272	9743	14780	0.0
k l	0.01	1181	39285	70633	0.0
k ɥ	0.01	273	39285	3778	0.0
f ʁ	0.01	634	14088	56847	0.0
ʁ j	0.01	615	56847	14780	0.0
p w	0.01	577	34806	23274	0.0
l m	0.01	980	70633	34568	0.0
ʃ ɥ	0.01	117	9743	3778	0.0
k t	0.01	928	39285	63158	0.0
t d	0.01	797	63158	29045	0.0
ʃ k	0.01	363	9743	39285	0.0
d w	0.01	482	29045	23274	0.0
l s	0.01	1166	70633	57718	0.0
f l	0.01	529	14088	70633	0.0
n p	0.01	472	22955	34806	0.0
l v	0.01	714	70633	27122	0.0
ʁ ɥ	0.01	236	56847	3778	0.0
t l	0.01	1056	63158	70633	0.0
ʒ l	0.01	442	11663	70633	0.0
s w	0.0	556	57718	23274	0.0
ʁ p	0.0	658	56847	34806	0.0
f w	0.0	265	14088	23274	0.0
l k	0.0	747	70633	39285	0.0
t ʃ	0.0	345	63158	9743	0.0
s p	0.0	597	57718	34806	0.0
n b	0.0	261	22955	16819	0.0
z w	0.0	154	5816	23274	0.0
s l	0.0	837	57718	70633	0.0
l d	0.0	589	70633	29045	0.0
k ʒ	0.0	271	39285	11663	0.0
d ɥ	0.0	130	29045	3778	0.0
t p	0.0	576	63158	34806	0.0
l p	0.0	598	70633	34806	0.0
s m	0.0	531	57718	34568	0.0
n f	0.0	207	22955	14088	0.0
t s	0.0	690	63158	57718	0.0
m m	0.0	377	34568	34568	0.0
t n	0.0	410	63158	22955	0.0
t f	0.0	321	63158	14088	0.0
t m	0.0	501	63158	34568	0.0
ʁ ʒ	0.0	276	56847	11663	0.0
t k	0.0	532	63158	39285	0.0
n k	0.0	318	22955	39285	0.0
g w	0.0	131	6587	23274	0.0
d s	0.0	424	29045	57718	0.0
ʁ f	0.0	291	56847	14088	0.0
m l	0.0	503	34568	70633	0.0
g z	0.0	61	6587	5816	0.0
m b	0.0	233	34568	16819	0.0
n ɥ	0.0	87	22955	3778	0.0
n l	0.0	375	22955	70633	0.0
n j	0.0	171	22955	14780	0.0
n g	0.0	112	22955	6587	0.0
l l	0.0	642	70633	70633	0.0
m d	0.0	284	34568	29045	0.0
l t	0.0	593	70633	63158	0.0
ŋ d	0.0	13	76	29045	0.0
ʃ w	0.0	131	9743	23274	0.0
n d	0.0	224	22955	29045	0.0
n t	0.0	328	22955	63158	0.0
d m	0.0	267	29045	34568	0.0
n m	0.0	237	22955	34568	0.0
z d	0.0	105	5816	29045	0.0
ʁ b	0.0	248	56847	16819	0.0
g l	0.0	168	6587	70633	0.0
ʒ p	0.0	156	11663	34806	0.0
l b	0.0	266	70633	16819	0.0
d p	0.0	242	29045	34806	0.0
ʒ d	0.0	139	11663	29045	0.0
k ʃ	0.0	141	39285	9743	0.0
z l	0.0	143	5816	70633	0.0
ʒ m	0.0	137	11663	34568	0.0
m p	0.0	236	34568	34806	0.0
ʁ v	0.0	262	56847	27122	0.0
d t	0.0	285	29045	63158	0.0
k m	0.0	245	39285	34568	0.0
k d	0.0	223	39285	29045	0.0
d k	0.0	221	29045	39285	0.0
n s	0.0	237	22955	57718	0.0
l j	0.0	208	70633	14780	0.0
n ʃ	0.0	96	22955	9743	0.0
z k	0.0	97	5816	39285	0.0
t b	0.0	207	63158	16819	0.0
t t	0.0	389	63158	63158	0.0
ɲ w	0.0	19	411	23274	0.0
v l	0.0	259	27122	70633	0.0
m t	0.0	276	34568	63158	0.0
n w	0.0	132	22955	23274	0.0
z m	0.0	79	5816	34568	0.0
n v	0.0	138	22955	27122	0.0
l w	0.0	220	70633	23274	0.0
ʒ t	0.0	147	11663	63158	0.0
s d	0.0	221	57718	29045	0.0
