ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
v w	0.92	5172	27122	23274	0.0
b j	0.33	1946	16819	14780	0.0
s k	0.28	5380	57028	39285	0.0
ʁ d	0.28	4226	56847	24678	0.0
v j	0.25	2139	27122	14780	0.0
t ʁ	0.23	5104	42854	56847	0.0
l ɥ	0.17	1461	70633	3778	0.0
t j	0.14	2019	42854	14780	0.0
g ʁ	0.11	1389	6587	56847	0.0
k w	0.11	2114	39285	23274	0.0
m w	0.09	1792	34568	23274	0.0
t w	0.08	1952	42854	23274	0.0
p l	0.08	3051	34806	70633	0.0
p ʁ	0.08	2614	34806	56847	0.0
p ɥ	0.07	651	34806	3778	0.0
s j	0.06	1563	57028	14780	0.0
ʁ ʃ	0.05	1153	56847	9743	0.0
s ɥ	0.05	705	57028	3778	0.0
ʁ s	0.05	2641	56847	57028	0.0
b ʁ	0.04	1374	16819	56847	0.0
ʁ l	0.04	2689	56847	70633	0.0
m j	0.04	958	34568	14780	0.0
p ts	0.03	1028	34806	20304	0.0
ʁ t	0.03	1831	56847	42854	0.0
k ʁ	0.03	1731	39285	56847	0.0
m s	0.03	1615	34568	57028	0.0
ʁ m	0.03	1550	56847	34568	0.0
d l	0.03	1424	24678	70633	0.0
ʁ w	0.02	1164	56847	23274	0.0
ʒ w	0.02	526	11663	23274	0.0
p j	0.02	707	34806	14780	0.0
ʒ v	0.02	554	11663	27122	0.0
z j	0.02	275	5776	14780	0.0
ʃ t	0.02	604	9743	42854	0.0
l f	0.02	921	70633	14088	0.0
b l	0.02	970	16819	70633	0.0
ʁ dz	0.02	440	56847	4367	0.0
v ʁ	0.02	1081	27122	56847	0.0
ʁ k	0.02	1272	56847	39285	0.0
s t	0.02	1326	57028	42854	0.0
d ʁ	0.01	954	24678	56847	0.0
ʁ n	0.01	911	56847	22955	0.0
ʃ p	0.01	463	9743	34806	0.0
b w	0.01	472	16819	23274	0.0
k s	0.01	1110	39285	57028	0.0
ʃ j	0.01	272	9743	14780	0.0
k l	0.01	1181	39285	70633	0.0
k ɥ	0.01	273	39285	3778	0.0
f ʁ	0.01	634	14088	56847	0.0
ʁ ts	0.01	745	56847	20304	0.0
t d	0.01	706	42854	24678	0.0
ʁ j	0.01	615	56847	14780	0.0
p w	0.01	577	34806	23274	0.0
d w	0.01	482	24678	23274	0.0
l m	0.01	980	70633	34568	0.0
ʃ ɥ	0.01	117	9743	3778	0.0
t l	0.01	1056	42854	70633	0.0
ʃ k	0.01	363	9743	39285	0.0
l s	0.01	1166	70633	57028	0.0
t ʃ	0.01	345	42854	9743	0.0
f l	0.01	529	14088	70633	0.0
n p	0.01	472	22955	34806	0.0
l v	0.01	714	70633	27122	0.0
ʁ ɥ	0.01	236	56847	3778	0.0
ʒ l	0.01	442	11663	70633	0.0
s w	0.01	553	57028	23274	0.0
t p	0.0	576	42854	34806	0.0
ʁ p	0.0	658	56847	34806	0.0
f w	0.0	265	14088	23274	0.0
l k	0.0	747	70633	39285	0.0
k ts	0.0	388	39285	20304	0.0
d ɥ	0.0	130	24678	3778	0.0
s p	0.0	597	57028	34806	0.0
n b	0.0	261	22955	16819	0.0
z w	0.0	154	5776	23274	0.0
k t	0.0	540	39285	42854	0.0
t n	0.0	410	42854	22955	0.0
t f	0.0	321	42854	14088	0.0
t m	0.0	501	42854	34568	0.0
s l	0.0	826	57028	70633	0.0
t k	0.0	532	42854	39285	0.0
k ʒ	0.0	271	39285	11663	0.0
l p	0.0	598	70633	34806	0.0
s m	0.0	530	57028	34568	0.0
n f	0.0	207	22955	14088	0.0
d s	0.0	424	24678	57028	0.0
l d	0.0	465	70633	24678	0.0
m m	0.0	377	34568	34568	0.0
ʁ ʒ	0.0	276	56847	11663	0.0
n k	0.0	318	22955	39285	0.0
g w	0.0	131	6587	23274	0.0
ʁ f	0.0	291	56847	14088	0.0
m l	0.0	503	34568	70633	0.0
g z	0.0	61	6587	5776	0.0
m b	0.0	233	34568	16819	0.0
l t	0.0	531	70633	42854	0.0
n ɥ	0.0	87	22955	3778	0.0
n l	0.0	375	22955	70633	0.0
n j	0.0	171	22955	14780	0.0
d m	0.0	267	24678	34568	0.0
n g	0.0	112	22955	6587	0.0
l l	0.0	642	70633	70633	0.0
n t	0.0	284	22955	42854	0.0
ʃ w	0.0	131	9743	23274	0.0
n d	0.0	202	22955	24678	0.0
n m	0.0	237	22955	34568	0.0
s ts	0.0	286	57028	20304	0.0
d p	0.0	242	24678	34806	0.0
z d	0.0	97	5776	24678	0.0
ŋ d	0.0	11	76	24678	0.001
ʁ b	0.0	248	56847	16819	0.0
t t	0.0	339	42854	42854	0.0
g l	0.0	168	6587	70633	0.0
ʒ p	0.0	156	11663	34806	0.0
l b	0.0	266	70633	16819	0.0
t b	0.0	207	42854	16819	0.0
m d	0.0	220	34568	24678	0.0
d t	0.0	241	24678	42854	0.0
k ʃ	0.0	141	39285	9743	0.0
d k	0.0	221	24678	39285	0.0
z l	0.0	143	5776	70633	0.0
l dz	0.0	124	70633	4367	0.0
ʒ m	0.0	137	11663	34568	0.0
m p	0.0	236	34568	34806	0.0
ʁ v	0.0	262	56847	27122	0.0
t dz	0.0	91	42854	4367	0.0
k m	0.0	245	39285	34568	0.0
n s	0.0	237	22955	57028	0.0
z k	0.0	97	5776	39285	0.0
l j	0.0	208	70633	14780	0.0
n ʃ	0.0	96	22955	9743	0.0
ʒ d	0.0	107	11663	24678	0.0
ʒ t	0.0	138	11663	42854	0.0
ɲ w	0.0	19	411	23274	0.0
p t	0.0	234	34806	42854	0.0
t ʒ	0.0	134	42854	11663	0.0
v l	0.0	259	27122	70633	0.0
