ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
d z	0.5	230	1749	972	0.0
t s	0.26	369	3005	2779	0.0
t ʁ	0.25	460	3005	4466	0.0
s j	0.24	205	2779	996	0.0
v w	0.21	77	934	472	0.0
p ʁ	0.17	277	1616	4466	0.0
s t	0.13	261	2779	3005	0.0
b l	0.1	128	918	2757	0.0
g ʁ	0.1	115	458	4466	0.0
p l	0.09	160	1616	2757	0.0
b ʁ	0.07	137	918	4466	0.0
k ʁ	0.07	189	1870	4466	0.0
v j	0.05	55	934	996	0.0
k s	0.05	126	1870	2779	0.0
s p	0.05	115	2779	1616	0.0
s ɥ	0.05	37	2779	168	0.0
d ʁ	0.04	141	1749	4466	0.0
s k	0.04	110	2779	1870	0.0
v ʁ	0.04	96	934	4466	0.0
ʁ t	0.03	171	4466	3005	0.0
d ɥ	0.03	25	1749	168	0.0
f ʁ	0.03	82	726	4466	0.0
p ɥ	0.03	23	1616	168	0.0
g l	0.03	47	458	2757	0.0
t w	0.02	47	3005	472	0.0
f l	0.02	55	726	2757	0.0
ʁ d	0.02	108	4466	1749	0.0
ʁ w	0.02	56	4466	472	0.0
ʒ w	0.02	22	719	472	0.0
k l	0.02	83	1870	2757	0.0
s w	0.02	40	2779	472	0.0
ʁ m	0.02	91	4466	1560	0.0
p w	0.02	30	1616	472	0.0
d p	0.02	56	1749	1616	0.0
k w	0.02	31	1870	472	0.0
g z	0.02	22	458	972	0.0
l m	0.02	67	2757	1560	0.0
l p	0.02	68	2757	1616	0.0
k ɥ	0.02	18	1870	168	0.0
k t	0.01	72	1870	3005	0.0
m w	0.01	26	1560	472	0.0
l b	0.01	47	2757	918	0.0
ʃ w	0.01	16	641	472	0.0
b w	0.01	19	918	472	0.0
l k	0.01	62	2757	1870	0.0
ʃ t	0.01	37	641	3005	0.0
m j	0.01	33	1560	996	0.0
t j	0.01	45	3005	996	0.0
ʁ j	0.01	54	4466	996	0.0
ʁ n	0.01	61	4466	1271	0.0
d b	0.01	32	1749	918	0.0
l j	0.01	41	2757	996	0.0
ʁ ʒ	0.01	44	4466	719	0.0
z j	0.01	24	972	996	0.0
d m	0.01	40	1749	1560	0.0
ʁ s	0.01	85	4466	2779	0.0
n j	0.01	27	1271	996	0.0
n ɥ	0.01	11	1271	168	0.001
l w	0.01	27	2757	472	0.0
d w	0.01	21	1749	472	0.0
f w	0.01	13	726	472	0.0
d k	0.01	40	1749	1870	0.0
p j	0.01	28	1616	996	0.0
ʁ ʃ	0.01	37	4466	641	0.0
l v	0.01	35	2757	934	0.0
ʒ m	0.01	23	719	1560	0.0
ʃ p	0.01	22	641	1616	0.0
d f	0.01	24	1749	726	0.0
ʁ v	0.01	42	4466	934	0.0
d l	0.01	44	1749	2757	0.0
ʁ ɥ	0.01	16	4466	168	0.0
l t	0.01	53	2757	3005	0.0
n w	0.01	14	1271	472	0.0
l d	0.01	39	2757	1749	0.0
d j	0.0	23	1749	996	0.0
l s	0.0	48	2757	2779	0.0
m n	0.0	24	1560	1271	0.0
t ɥ	0.0	12	3005	168	0.0
d t	0.0	38	1749	3005	0.0
f j	0.0	14	726	996	0.0
l f	0.0	23	2757	726	0.0
ʒ ʁ	0.0	29	719	4466	0.0
d ʃ	0.0	17	1749	641	0.0
l ʁ	0.0	56	2757	4466	0.0
l ʃ	0.0	21	2757	641	0.0
l g	0.0	17	2757	458	0.0
d s	0.0	33	1749	2779	0.0
z w	0.0	10	972	472	0.002
k ʒ	0.0	17	1870	719	0.0
ʁ b	0.0	29	4466	918	0.0
d ʒ	0.0	16	1749	719	0.0
ʒ l	0.0	19	719	2757	0.0
ɲ w	0.0	3	105	472	0.25
ʁ g	0.0	19	4466	458	0.0
m m	0.0	20	1560	1560	0.0
p t	0.0	28	1616	3005	0.0
d g	0.0	11	1749	458	0.001
t ʃ	0.0	17	3005	641	0.0
m l	0.0	25	1560	2757	0.0
m p	0.0	19	1560	1616	0.0
l ɥ	0.0	8	2757	168	0.008
ʒ d	0.0	13	719	1749	0.0
ʒ ɥ	0.0	4	719	168	0.125
f ɥ	0.0	4	726	168	0.125
v n	0.0	12	934	1271	0.0
ʒ v	0.0	9	719	934	0.004
d v	0.0	14	1749	934	0.0
g ɥ	0.0	3	458	168	0.25
g w	0.0	5	458	472	0.062
ʁ k	0.0	31	4466	1870	0.0
s b	0.0	17	2779	918	0.0
p s	0.0	22	1616	2779	0.0
s m	0.0	21	2779	1560	0.0
t p	0.0	22	3005	1616	0.0
s d	0.0	21	2779	1749	0.0
s f	0.0	13	2779	726	0.0
d d	0.0	16	1749	1749	0.0
ʃ f	0.0	6	641	726	0.031
t m	0.0	19	3005	1560	0.0
b ʒ	0.0	7	918	719	0.016
m d	0.0	14	1560	1749	0.0
b j	0.0	8	918	996	0.008
ʒ j	0.0	7	719	996	0.016
ʃ k	0.0	9	641	1870	0.004
t f	0.0	12	3005	726	0.0
m ʁ	0.0	21	1560	4466	0.0
s ʁ	0.0	28	2779	4466	0.0
l ʒ	0.0	11	2757	719	0.001
k j	0.0	10	1870	996	0.002
t l	0.0	21	3005	2757	0.0
m s	0.0	15	1560	2779	0.0
m f	0.0	7	1560	726	0.016
k m	0.0	11	1870	1560	0.001
ʁ p	0.0	17	4466	1616	0.0
ʁ f	0.0	11	4466	726	0.001
ʃ ɥ	0.0	2	641	168	0.5
n ʁ	0.0	14	1271	4466	0.0
m k	0.0	10	1560	1870	0.002
m b	0.0	7	1560	918	0.016
ʁ l	0.0	20	4466	2757	0.0
p f	0.0	6	1616	726	0.031
l l	0.0	15	2757	2757	0.0
s l	0.0	15	2779	2757	0.0
s g	0.0	6	2779	458	0.031
b ɥ	0.0	2	918	168	0.5
v m	0.0	6	934	1560	0.031
t v	0.0	8	3005	934	0.008
m ʒ	0.0	5	1560	719	0.062
d n	0.0	7	1749	1271	0.016
ʃ ʃ	0.0	3	641	641	0.25
m t	0.0	10	1560	3005	0.002
t t	0.0	12	3005	3005	0.0
s s	0.0	11	2779	2779	0.001
t d	0.0	9	3005	1749	0.004
ʃ s	0.0	5	641	2779	0.062
l n	0.0	7	2757	1271	0.016
s v	0.0	6	2779	934	0.031
t n	0.0	7	3005	1271	0.016
n m	0.0	5	1271	1560	0.062
m g	0.0	3	1560	458	0.25
p n	0.0	5	1616	1271	0.062
k f	0.0	4	1870	726	0.125
t ʒ	0.0	5	3005	719	0.062
k d	0.0	6	1870	1749	0.031
z m	0.0	4	972	1560	0.125
ɲ j	0.0	1	105	996	1.0
m ʃ	0.0	3	1560	641	0.25
t k	0.0	7	3005	1870	0.016
ʒ ʒ	0.0	2	719	719	0.5
k n	0.0	4	1870	1271	0.125
ʃ j	0.0	2	641	996	0.5
v l	0.0	4	934	2757	0.125
m v	0.0	3	1560	934	0.25
ɲ m	0.0	1	105	1560	1.0
ʒ b	0.0	2	719	918	0.5
z l	0.0	4	972	2757	0.125
j m	0.0	3	996	1560	0.25
g m	0.0	2	458	1560	0.5
k k	0.0	4	1870	1870	0.125
f t	0.0	3	726	3005	0.25
ʃ m	0.0	2	641	1560	0.5
m ɥ	0.0	1	1560	168	1.0
t b	0.0	3	3005	918	0.25
k v	0.0	2	1870	934	0.5
j w	0.0	1	996	472	1.0
s ʒ	0.0	2	2779	719	0.5
g n	0.0	1	458	1271	1.0
l z	0.0	2	2757	972	0.5
j t	0.0	2	996	3005	0.5
k p	0.0	2	1870	1616	0.5
s n	0.0	2	2779	1271	0.5
