ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
d z	0.91	2832	14740	11327	0.0
t s	0.64	5729	30449	31986	0.0
s j	0.47	3334	31986	13884	0.0
s t	0.27	3704	31986	30449	0.0
b l	0.26	1698	9871	21141	0.0
t ʁ	0.26	4658	30449	51792	0.0
p ʁ	0.15	2536	15826	51792	0.0
g ʁ	0.14	1572	6219	51792	0.0
p l	0.11	1422	15826	21141	0.0
k s	0.08	1731	20867	31986	0.0
v w	0.08	296	7422	2855	0.0
f l	0.07	802	8708	21141	0.0
b ʁ	0.07	1330	9871	51792	0.0
k ʁ	0.05	1719	20867	51792	0.0
n j	0.05	710	13563	13884	0.0
k l	0.05	1082	20867	21141	0.0
s p	0.05	1136	31986	15826	0.0
ʁ j	0.05	1313	51792	13884	0.0
f ʁ	0.04	1020	8708	51792	0.0
g l	0.04	549	6219	21141	0.0
k t	0.04	1187	20867	30449	0.0
d j	0.04	656	14740	13884	0.0
ʒ w	0.04	185	5753	2855	0.0
t ɥ	0.04	299	30449	1489	0.0
s k	0.04	1141	31986	20867	0.0
ʁ d	0.04	1219	51792	14740	0.0
f j	0.04	477	8708	13884	0.0
v j	0.03	430	7422	13884	0.0
d ɥ	0.03	195	14740	1489	0.0
g z	0.03	320	6219	11327	0.0
d ʁ	0.03	1014	14740	51792	0.0
ʁ t	0.02	1444	51792	30449	0.0
t j	0.02	732	30449	13884	0.0
z j	0.02	440	11327	13884	0.0
z m	0.02	460	11327	15507	0.0
ʁ m	0.02	964	51792	15507	0.0
t w	0.02	306	30449	2855	0.0
l j	0.02	549	21141	13884	0.0
ʁ n	0.02	799	51792	13563	0.0
n ɥ	0.02	133	13563	1489	0.0
ʁ ʒ	0.02	500	51792	5753	0.0
p w	0.02	194	15826	2855	0.0
k w	0.02	218	20867	2855	0.0
s ɥ	0.01	190	31986	1489	0.0
ʁ w	0.01	334	51792	2855	0.0
l w	0.01	210	21141	2855	0.0
p j	0.01	388	15826	13884	0.0
ʁ s	0.01	1033	51792	31986	0.0
n w	0.01	153	13563	2855	0.0
b w	0.01	130	9871	2855	0.0
ʒ j	0.01	196	5753	13884	0.0
k ɥ	0.01	122	20867	1489	0.0
ʁ v	0.01	425	51792	7422	0.0
m w	0.01	142	15507	2855	0.0
v ʁ	0.01	417	7422	51792	0.0
p s	0.01	468	15826	31986	0.0
ʁ b	0.01	456	51792	9871	0.0
ʃ w	0.01	70	4241	2855	0.0
p t	0.01	424	15826	30449	0.0
l t	0.01	489	21141	30449	0.0
p ɥ	0.01	92	15826	1489	0.0
ʁ ɥ	0.01	155	51792	1489	0.0
f w	0.01	88	8708	2855	0.0
s w	0.01	168	31986	2855	0.0
ʁ ʃ	0.01	260	51792	4241	0.0
g w	0.01	70	6219	2855	0.0
ʁ g	0.01	296	51792	6219	0.0
ʁ k	0.0	533	51792	20867	0.0
l ɥ	0.0	90	21141	1489	0.0
ʃ j	0.0	123	4241	13884	0.0
d ʒ	0.0	146	14740	5753	0.0
b j	0.0	181	9871	13884	0.0
m j	0.0	218	15507	13884	0.0
d w	0.0	92	14740	2855	0.0
ʁ p	0.0	363	51792	15826	0.0
t ʃ	0.0	137	30449	4241	0.0
b ɥ	0.0	44	9871	1489	0.0
s m	0.0	255	31986	15507	0.0
ʁ f	0.0	221	51792	8708	0.0
s f	0.0	166	31986	8708	0.0
g ɥ	0.0	30	6219	1489	0.0
k j	0.0	153	20867	13884	0.0
f ɥ	0.0	32	8708	1489	0.0
ʁ l	0.0	285	51792	21141	0.0
l v	0.0	103	21141	7422	0.0
l m	0.0	142	21141	15507	0.0
g m	0.0	71	6219	15507	0.0
l k	0.0	141	21141	20867	0.0
b ʒ	0.0	50	9871	5753	0.0
l p	0.0	120	21141	15826	0.0
m n	0.0	95	15507	13563	0.0
l s	0.0	170	21141	31986	0.0
l f	0.0	85	21141	8708	0.0
m ɥ	0.0	30	15507	1489	0.0
z ɥ	0.0	25	11327	1489	0.0
d m	0.0	86	14740	15507	0.0
ʁ ɲ	0.0	40	51792	1057	0.0
l d	0.0	87	21141	14740	0.0
l g	0.0	55	21141	6219	0.0
l b	0.0	68	21141	9871	0.0
f t	0.0	72	8708	30449	0.0
g n	0.0	39	6219	13563	0.0
ʒ ɥ	0.0	12	5753	1489	0.0
g ʒ	0.0	20	6219	5753	0.0
k n	0.0	55	20867	13563	0.0
ŋ g	0.0	3	136	6219	0.25
ʃ ɥ	0.0	8	4241	1489	0.008
l ʒ	0.0	35	21141	5753	0.0
n t	0.0	63	13563	30449	0.0
s b	0.0	55	31986	9871	0.0
n d	0.0	43	13563	14740	0.0
