ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t s	0.91	7991	40986	20710	0.0
ʃ t	0.28	3392	12167	40986	0.0
n t	0.26	5653	37025	40986	0.0
ʃ p	0.21	1443	12167	9845	0.0
s t	0.2	3740	20710	40986	0.0
n d	0.19	2122	37025	7608	0.0
χ t	0.12	1977	9885	40986	0.0
ŋ k	0.1	872	6075	14532	0.0
p f	0.1	1048	9845	14013	0.0
χ k	0.08	950	9885	14532	0.0
m p	0.06	732	11482	9845	0.0
ʃ v	0.05	634	12167	7442	0.0
ŋ s	0.04	676	6075	20710	0.0
l t	0.04	1790	23222	40986	0.0
k s	0.04	952	14532	20710	0.0
k l	0.04	1008	14532	23222	0.0
f l	0.03	930	14013	23222	0.0
s v	0.03	630	20710	7442	0.0
f t	0.03	1183	14013	40986	0.0
ʃ l	0.03	790	12167	23222	0.0
k t	0.03	1142	14532	40986	0.0
n h	0.03	611	37025	4711	0.0
n ʃ	0.02	957	37025	12167	0.0
p l	0.02	626	9845	23222	0.0
b l	0.02	639	10368	23222	0.0
k v	0.02	417	14532	7442	0.0
n f	0.02	892	37025	14013	0.0
s k	0.02	653	20710	14532	0.0
s m	0.02	566	20710	11482	0.0
s b	0.02	537	20710	10368	0.0
n z	0.02	603	37025	7481	0.0
n g	0.02	645	37025	8898	0.0
s f	0.01	593	20710	14013	0.0
n s	0.01	951	37025	20710	0.0
n b	0.01	668	37025	10368	0.0
g l	0.01	480	8898	23222	0.0
t ʃ	0.01	721	40986	12167	0.0
s p	0.01	437	20710	9845	0.0
s g	0.01	408	20710	8898	0.0
s ʃ	0.01	455	20710	12167	0.0
t l	0.01	857	40986	23222	0.0
d ʒ	0.01	34	7608	205	0.0
t h	0.01	363	40986	4711	0.0
p s	0.01	371	9845	20710	0.0
s h	0.01	250	20710	4711	0.0
n v	0.01	419	37025	7442	0.0
s l	0.01	549	20710	23222	0.0
l b	0.01	388	23222	10368	0.0
ʃ m	0.01	293	12167	11482	0.0
l n	0.01	724	23222	37025	0.0
p ʃ	0.01	252	9845	12167	0.0
