ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t s	0.91	481	2887	1422	0.0
ŋ k	0.46	106	245	1608	0.0
n t	0.35	356	2022	2887	0.0
n d	0.3	167	2022	738	0.0
s t	0.3	274	1422	2887	0.0
ʃ t	0.27	218	974	2887	0.0
p f	0.21	110	1077	873	0.0
ʃ p	0.18	107	974	1077	0.0
ʃ v	0.11	61	974	572	0.0
t ʀ	0.09	222	2887	2929	0.0
m p	0.09	87	1215	1077	0.0
d ʒ	0.08	13	738	49	0.0
g ʀ	0.06	95	779	2929	0.0
k s	0.06	91	1608	1422	0.0
ʀ t	0.05	169	2929	2887	0.0
b ʀ	0.05	89	862	2929	0.0
f l	0.05	76	873	2168	0.0
k l	0.04	97	1608	2168	0.0
p ʀ	0.04	87	1077	2929	0.0
k ʀ	0.04	102	1608	2929	0.0
ʃ l	0.03	66	974	2168	0.0
p l	0.03	68	1077	2168	0.0
n z	0.03	47	2022	576	0.0
l t	0.03	103	2168	2887	0.0
s v	0.03	37	1422	572	0.0
ŋ g	0.02	17	245	779	0.0
b l	0.02	52	862	2168	0.0
ʃ m	0.02	41	974	1215	0.0
ʀ m	0.02	68	2929	1215	0.0
k v	0.02	34	1608	572	0.0
f ʀ	0.02	56	873	2929	0.0
ʀ b	0.02	54	2929	862	0.0
k t	0.02	72	1608	2887	0.0
ʀ d	0.02	47	2929	738	0.0
n s	0.02	52	2022	1422	0.0
ʀ g	0.01	46	2929	779	0.0
t ʃ	0.01	50	2887	974	0.0
f t	0.01	47	873	2887	0.0
n f	0.01	39	2022	873	0.0
m b	0.01	29	1215	862	0.0
s k	0.01	42	1422	1608	0.0
d ʀ	0.01	40	738	2929	0.0
ʀ k	0.01	59	2929	1608	0.0
g l	0.01	35	779	2168	0.0
ʃ n	0.01	37	974	2022	0.0
ʀ n	0.01	64	2929	2022	0.0
p s	0.01	32	1077	1422	0.0
k n	0.01	45	1608	2022	0.0
ʀ v	0.01	32	2929	572	0.0
n ʃ	0.01	33	2022	974	0.0
ʀ z	0.01	30	2929	576	0.0
s p	0.01	28	1422	1077	0.0
l b	0.01	30	2168	862	0.0
l d	0.01	27	2168	738	0.0
ʀ f	0.01	34	2929	873	0.0
ʀ ʃ	0.01	35	2929	974	0.0
ʃ ʀ	0.01	33	974	2929	0.0
l k	0.01	36	2168	1608	0.0
l m	0.01	30	2168	1215	0.0
ʀ p	0.0	31	2929	1077	0.0
n h	0.0	14	2022	372	0.0
n g	0.0	19	2022	779	0.0
l p	0.0	23	2168	1077	0.0
ʀ l	0.0	37	2929	2168	0.0
l j	0.0	7	2168	105	0.016
l f	0.0	20	2168	873	0.0
n v	0.0	15	2022	572	0.0
ŋ s	0.0	8	245	1422	0.008
t v	0.0	17	2887	572	0.0
l g	0.0	17	2168	779	0.0
n j	0.0	6	2022	105	0.031
s m	0.0	17	1422	1215	0.0
ʀ s	0.0	24	2929	1422	0.0
m z	0.0	9	1215	576	0.004
ʀ h	0.0	11	2929	372	0.001
l z	0.0	11	2168	576	0.001
g n	0.0	12	779	2022	0.0
p t	0.0	15	1077	2887	0.0
ʀ ʒ	0.0	3	2929	49	0.25
n b	0.0	10	2022	862	0.002
n k	0.0	13	2022	1608	0.0
s l	0.0	12	1422	2168	0.0
m t	0.0	12	1215	2887	0.0
t l	0.0	16	2887	2168	0.0
p v	0.0	5	1077	572	0.062
l s	0.0	11	2168	1422	0.001
m s	0.0	8	1215	1422	0.008
p ʃ	0.0	6	1077	974	0.031
t h	0.0	6	2887	372	0.031
s f	0.0	6	1422	873	0.031
g m	0.0	5	779	1215	0.062
p z	0.0	4	1077	576	0.125
l ʃ	0.0	7	2168	974	0.016
s g	0.0	5	1422	779	0.062
m ʃ	0.0	5	1215	974	0.062
s b	0.0	5	1422	862	0.062
l v	0.0	5	2168	572	0.062
p d	0.0	4	1077	738	0.125
s h	0.0	3	1422	372	0.25
n l	0.0	8	2022	2168	0.008
ʀ j	0.0	2	2929	105	0.5
m v	0.0	3	1215	572	0.25
f b	0.0	3	873	862	0.25
l h	0.0	3	2168	372	0.25
f j	0.0	1	873	105	1.0
n m	0.0	5	2022	1215	0.062
n ʒ	0.0	1	2022	49	1.0
m d	0.0	3	1215	738	0.25
d l	0.0	4	738	2168	0.125
p h	0.0	2	1077	372	0.5
m l	0.0	5	1215	2168	0.062
m h	0.0	2	1215	372	0.5
p j	0.0	1	1077	105	1.0
m f	0.0	3	1215	873	0.25
n ʀ	0.0	7	2022	2929	0.016
ŋ l	0.0	2	245	2168	0.5
s ʃ	0.0	3	1422	974	0.25
f k	0.0	3	873	1608	0.25
f d	0.0	2	873	738	0.5
v ʀ	0.0	3	572	2929	0.25
s z	0.0	2	1422	576	0.5
ŋ b	0.0	1	245	862	1.0
ŋ f	0.0	1	245	873	1.0
t m	0.0	4	2887	1215	0.125
k z	0.0	2	1608	576	0.5
f p	0.0	2	873	1077	0.5
ŋ ʃ	0.0	1	245	974	1.0
p n	0.0	3	1077	2022	0.25
t g	0.0	3	2887	779	0.25
s d	0.0	2	1422	738	0.5
f m	0.0	2	873	1215	0.5
t f	0.0	3	2887	873	0.25
t j	0.0	1	2887	105	1.0
f h	0.0	1	873	372	1.0
ʀ ʀ	0.0	5	2929	2929	0.062
t n	0.0	4	2887	2022	0.125
k ʃ	0.0	2	1608	974	0.5
l ʀ	0.0	4	2168	2929	0.125
t z	0.0	2	2887	576	0.5
d v	0.0	1	738	572	1.0
f n	0.0	2	873	2022	0.5
