ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
s t	0.94	96422	242732	421210	0.0
t s	0.43	65012	421210	242732	0.0
n d	0.22	18392	266700	59704	0.0
ʃ t	0.22	28216	90283	421210	0.0
n t	0.19	45719	266700	421210	0.0
ʃ p	0.17	10259	90283	70736	0.0
ŋ k	0.14	5859	27117	90900	0.0
χ t	0.11	16921	65367	421210	0.0
χ s	0.09	11473	65367	242732	0.0
p f	0.08	7556	70736	107587	0.0
l t	0.06	20098	154210	421210	0.0
ʃ v	0.06	5064	90283	51373	0.0
k t	0.05	13820	90900	421210	0.0
m p	0.04	5079	94067	70736	0.0
k l	0.04	7289	90900	154210	0.0
ʃ l	0.03	6856	90283	154210	0.0
k s	0.03	8615	90900	242732	0.0
f t	0.03	12027	107587	421210	0.0
b l	0.03	5834	74023	154210	0.0
ŋ s	0.03	4334	27117	242732	0.0
f l	0.03	6674	107587	154210	0.0
n h	0.02	3974	266700	38035	0.0
k v	0.02	2649	90900	51373	0.0
n ʃ	0.02	6004	266700	90283	0.0
s v	0.02	4315	242732	51373	0.0
n g	0.01	5614	266700	81518	0.0
p l	0.01	3902	70736	154210	0.0
n s	0.01	9344	266700	242732	0.0
p t	0.01	5758	70736	421210	0.0
n f	0.01	5362	266700	107587	0.0
n z	0.01	3605	266700	48775	0.0
n b	0.01	4182	266700	74023	0.0
g l	0.01	3336	81518	154210	0.0
l s	0.01	5460	154210	242732	0.0
p s	0.01	3419	70736	242732	0.0
ʃ m	0.01	2393	90283	94067	0.0
s b	0.01	3314	242732	74023	0.0
p ʃ	0.01	1932	70736	90283	0.0
l d	0.01	2303	154210	59704	0.0
s k	0.01	3519	242732	90900	0.0
s f	0.01	3821	242732	107587	0.0
t l	0.01	5956	421210	154210	0.0
t ʃ	0.01	4538	421210	90283	0.0
χ k	0.0	1682	65367	90900	0.0
m t	0.0	4199	94067	421210	0.0
s g	0.0	2926	242732	81518	0.0
p g	0.0	1561	70736	81518	0.0
n v	0.0	2157	266700	51373	0.0
n k	0.0	2783	266700	90900	0.0
d ʒ	0.0	128	59704	864	0.0
s ʃ	0.0	2628	242732	90283	0.0
m b	0.0	1473	94067	74023	0.0
l f	0.0	2270	154210	107587	0.0
l k	0.0	2056	154210	90900	0.0
l b	0.0	1819	154210	74023	0.0
s l	0.0	3274	242732	154210	0.0
s p	0.0	2211	242732	70736	0.0
m s	0.0	2531	94067	242732	0.0
m h	0.0	970	94067	38035	0.0
l p	0.0	1685	154210	70736	0.0
χ ʃ	0.0	1227	65367	90283	0.0
p j	0.0	227	70736	3164	0.0
k n	0.0	2354	90900	266700	0.0
t g	0.0	2748	421210	81518	0.0
f s	0.0	2387	107587	242732	0.0
n l	0.0	2920	266700	154210	0.0
ʃ n	0.0	2169	90283	266700	0.0
l n	0.0	2834	154210	266700	0.0
t b	0.0	2463	421210	74023	0.0
l h	0.0	1064	154210	38035	0.0
χ v	0.0	804	65367	51373	0.0
χ g	0.0	1000	65367	81518	0.0
s h	0.0	1314	242732	38035	0.0
m ʃ	0.0	1249	94067	90283	0.0
p z	0.0	788	70736	48775	0.0
ŋ t	0.0	1421	27117	421210	0.0
p h	0.0	659	70736	38035	0.0
f ʃ	0.0	1247	107587	90283	0.0
f g	0.0	1183	107587	81518	0.0
χ b	0.0	875	65367	74023	0.0
l g	0.0	1400	154210	81518	0.0
ŋ g	0.0	586	27117	81518	0.0
k z	0.0	813	90900	48775	0.0
t v	0.0	1777	421210	51373	0.0
ŋ l	0.0	771	27117	154210	0.0
p v	0.0	709	70736	51373	0.0
t h	0.0	1483	421210	38035	0.0
t f	0.0	2472	421210	107587	0.0
χ l	0.0	1128	65367	154210	0.0
l j	0.0	241	154210	3164	0.0
s m	0.0	1625	242732	94067	0.0
χ f	0.0	896	65367	107587	0.0
χ z	0.0	600	65367	48775	0.0
f b	0.0	928	107587	74023	0.0
m l	0.0	1232	94067	154210	0.0
k b	0.0	835	90900	74023	0.0
n j	0.0	283	266700	3164	0.0
l ʃ	0.0	1134	154210	90283	0.0
χ h	0.0	467	65367	38035	0.0
t z	0.0	1319	421210	48775	0.0
l m	0.0	1105	154210	94067	0.0
k h	0.0	537	90900	38035	0.0
m f	0.0	918	94067	107587	0.0
l z	0.0	780	154210	48775	0.0
s z	0.0	969	242732	48775	0.0
k ʃ	0.0	784	90900	90283	0.0
g n	0.0	1233	81518	266700	0.0
p b	0.0	605	70736	74023	0.0
χ n	0.0	1094	65367	266700	0.0
k f	0.0	796	90900	107587	0.0
n m	0.0	1259	266700	94067	0.0
m v	0.0	538	94067	51373	0.0
f h	0.0	490	107587	38035	0.0
n p	0.0	1051	266700	70736	0.0
m g	0.0	668	94067	81518	0.0
l v	0.0	638	154210	51373	0.0
t m	0.0	1389	421210	94067	0.0
p k	0.0	552	70736	90900	0.0
v j	0.0	86	51373	3164	0.0
m z	0.0	449	94067	48775	0.0
f v	0.0	481	107587	51373	0.0
f z	0.0	427	107587	48775	0.0
χ d	0.0	362	65367	59704	0.0
d l	0.0	554	59704	154210	0.0
p d	0.0	375	70736	59704	0.0
k g	0.0	458	90900	81518	0.0
ŋ h	0.0	165	27117	38035	0.0
s d	0.0	595	242732	59704	0.0
m k	0.0	450	94067	90900	0.0
m d	0.0	352	94067	59704	0.0
χ m	0.0	366	65367	94067	0.0
f k	0.0	461	107587	90900	0.0
f f	0.0	473	107587	107587	0.0
t k	0.0	831	421210	90900	0.0
l l	0.0	640	154210	154210	0.0
t j	0.0	149	421210	3164	0.0
ŋ f	0.0	205	27117	107587	0.0
f p	0.0	325	107587	70736	0.0
d n	0.0	458	59704	266700	0.0
t t	0.0	1464	421210	421210	0.0
ŋ b	0.0	150	27117	74023	0.0
p m	0.0	267	70736	94067	0.0
f m	0.0	327	107587	94067	0.0
k k	0.0	293	90900	90900	0.0
g m	0.0	277	81518	94067	0.0
s j	0.0	87	242732	3164	0.0
f n	0.0	518	107587	266700	0.0
ʃ s	0.0	450	90283	242732	0.0
l χ	0.0	303	154210	65367	0.0
p n	0.0	414	70736	266700	0.0
p p	0.0	193	70736	70736	0.0
k d	0.0	185	90900	59704	0.0
n ʒ	0.0	38	266700	864	0.0
f d	0.0	198	107587	59704	0.0
t n	0.0	817	421210	266700	0.0
χ j	0.0	35	65367	3164	0.0
k m	0.0	224	90900	94067	0.0
ŋ v	0.0	90	27117	51373	0.0
t d	0.0	366	421210	59704	0.0
m n	0.0	355	94067	266700	0.0
s n	0.0	551	242732	266700	0.0
n n	0.0	551	266700	266700	0.0
ŋ ʃ	0.0	100	27117	90283	0.0
t p	0.0	338	421210	70736	0.0
ʃ b	0.0	160	90283	74023	0.0
ŋ z	0.0	66	27117	48775	0.0
ʃ h	0.0	104	90283	38035	0.0
k p	0.0	116	90900	70736	0.0
m m	0.0	136	94067	94067	0.0
f j	0.0	26	107587	3164	0.0
χ p	0.0	93	65367	70736	0.0
ŋ m	0.0	55	27117	94067	0.0
n χ	0.0	143	266700	65367	0.0
s χ	0.0	136	242732	65367	0.0
ʃ f	0.0	106	90283	107587	0.0
t χ	0.0	177	421210	65367	0.0
ŋ n	0.0	89	27117	266700	0.0
ʃ g	0.0	84	90283	81518	0.0
m j	0.0	16	94067	3164	0.0
p χ	0.0	63	70736	65367	0.0
l ʒ	0.0	10	154210	864	0.002
ʃ z	0.0	52	90283	48775	0.0
z l	0.0	65	48775	154210	0.0
k χ	0.0	51	90900	65367	0.0
k j	0.0	11	90900	3164	0.001
ŋ j	0.0	6	27117	3164	0.031
b n	0.0	90	74023	266700	0.0
ʃ k	0.0	55	90283	90900	0.0
m χ	0.0	42	94067	65367	0.0
ʃ ʃ	0.0	43	90283	90283	0.0
j t	0.0	17	3164	421210	0.0
ŋ p	0.0	20	27117	70736	0.0
f χ	0.0	36	107587	65367	0.0
z n	0.0	46	48775	266700	0.0
s ʒ	0.0	5	242732	864	0.062
v f	0.0	23	51373	107587	0.0
ʒ m	0.0	2	864	94067	0.5
ʃ χ	0.0	10	90283	65367	0.002
j s	0.0	3	3164	242732	0.25
d m	0.0	7	59704	94067	0.016
ʃ d	0.0	6	90283	59704	0.031
ʒ s	0.0	1	864	242732	1.0
ŋ d	0.0	2	27117	59704	0.5
ŋ χ	0.0	2	27117	65367	0.5
d ʃ	0.0	3	59704	90283	0.25
d v	0.0	2	59704	51373	0.5
g v	0.0	2	81518	51373	0.5
z v	0.0	1	48775	51373	1.0
v s	0.0	2	51373	242732	0.5
s s	0.0	4	242732	242732	0.125
d s	0.0	1	59704	242732	1.0
b s	0.0	1	74023	242732	1.0
g t	0.0	1	81518	421210	1.0
