ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
n d	0.97	63459	349455	121141	0.0
t s	0.66	78017	376161	249805	0.0
s t	0.25	48341	249805	376161	0.0
ʃ t	0.19	25909	97322	376161	0.0
n t	0.17	46557	349455	376161	0.0
ʃ p	0.14	10023	97322	77680	0.0
ŋ s	0.13	12017	46009	249805	0.0
ç t	0.11	13440	46408	376161	0.0
ŋ k	0.07	6017	46009	110400	0.0
l t	0.06	20501	181100	376161	0.0
p f	0.06	7552	77680	122071	0.0
k t	0.05	14784	110400	376161	0.0
m p	0.04	5944	118515	77680	0.0
χ t	0.03	4762	17613	376161	0.0
f t	0.03	12203	122071	376161	0.0
n s	0.03	16347	349455	249805	0.0
ʃ v	0.03	4114	97322	57528	0.0
f l	0.03	7848	122071	181100	0.0
s v	0.03	5971	249805	57528	0.0
k l	0.02	6752	110400	181100	0.0
k s	0.02	7703	110400	249805	0.0
ʃ l	0.02	6070	97322	181100	0.0
b l	0.02	5953	95193	181100	0.0
n ʃ	0.02	7969	349455	97322	0.0
s p	0.02	5830	249805	77680	0.0
n g	0.02	8498	349455	123295	0.0
s b	0.02	6169	249805	95193	0.0
p l	0.02	4704	77680	181100	0.0
s g	0.02	6896	249805	123295	0.0
s f	0.01	6482	249805	122071	0.0
n z	0.01	5296	349455	58969	0.0
n f	0.01	7614	349455	122071	0.0
k v	0.01	2857	110400	57528	0.0
l d	0.01	4988	181100	121141	0.0
ç k	0.01	2374	46408	110400	0.0
g l	0.01	4826	123295	181100	0.0
s k	0.01	5341	249805	110400	0.0
n h	0.01	3640	349455	41069	0.0
t ʃ	0.01	5716	376161	97322	0.0
n b	0.01	5257	349455	95193	0.0
s ʃ	0.01	4431	249805	97322	0.0
p t	0.01	4721	77680	376161	0.0
l b	0.01	3517	181100	95193	0.0
n k	0.01	5240	349455	110400	0.0
p g	0.01	2517	77680	123295	0.0
χ g	0.01	1135	17613	123295	0.0
n v	0.01	3338	349455	57528	0.0
d ʒ	0.0	183	121141	565	0.0
p ʃ	0.0	1868	77680	97322	0.0
l f	0.0	3113	181100	122071	0.0
s h	0.0	2082	249805	41069	0.0
ç n	0.0	2594	46408	349455	0.0
t l	0.0	5276	376161	181100	0.0
s m	0.0	3382	249805	118515	0.0
l k	0.0	2770	181100	110400	0.0
s l	0.0	4072	249805	181100	0.0
l s	0.0	4049	181100	249805	0.0
f g	0.0	2221	122071	123295	0.0
m b	0.0	1884	118515	95193	0.0
d l	0.0	2609	121141	181100	0.0
ʃ m	0.0	1862	97322	118515	0.0
l n	0.0	4282	181100	349455	0.0
ç z	0.0	890	46408	58969	0.0
ŋ ʒ	0.0	86	46009	565	0.0
m t	0.0	3523	118515	376161	0.0
t v	0.0	2433	376161	57528	0.0
t g	0.0	3532	376161	123295	0.0
t h	0.0	2037	376161	41069	0.0
l g	0.0	2423	181100	123295	0.0
p h	0.0	913	77680	41069	0.0
t b	0.0	2978	376161	95193	0.0
χ b	0.0	620	17613	95193	0.0
l p	0.0	1765	181100	77680	0.0
g s	0.0	2606	123295	249805	0.0
ç s	0.0	1580	46408	249805	0.0
n l	0.0	3658	349455	181100	0.0
l ʃ	0.0	1927	181100	97322	0.0
ŋ g	0.0	1079	46009	123295	0.0
ʃ n	0.0	2581	97322	349455	0.0
t f	0.0	2979	376161	122071	0.0
χ z	0.0	440	17613	58969	0.0
χ ʃ	0.0	562	17613	97322	0.0
p z	0.0	910	77680	58969	0.0
p s	0.0	1852	77680	249805	0.0
χ v	0.0	416	17613	57528	0.0
m s	0.0	2239	118515	249805	0.0
