segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[l|b|c|ʎ|j|f|k|ʝ|s|d|g|z|r|θ|x|ɣ|ç|v|t|ð|p] [l|b|c|ʎ|ɲ|j|f|k|n|ʝ|s|d|ŋ|g|z|r|θ|x|ɣ|m|ç|v|t|ð|p]	-nas,+cons +cons	0.0036	58114	281700	334625	0.0
[l|b|c|ʎ|ɲ|j|f|k|n|ʝ|s|d|ŋ|g|z|r|θ|x|ɣ|m|ç|v|t|ð|p] [l|b|c|ʎ|ɲ|j|f|k|n|ʝ|s|d|ŋ|g|z|r|θ|x|ɣ|m|ç|v|t|ð|p]	+cons +cons	0.0033	61426	334625	334625	0.0
[l|b|c|ʎ|j|f|k|ʝ|s|d|g|z|r|θ|x|ɣ|ç|v|t|ð|p] [l|ʝ|s|c|ç|d|z|ʎ|r|t|θ|ð|j]	-nas,+cons +cor,-nas	0.0033	43313	281700	200860	0.0
[l|b|c|ʎ|j|f|k|ʝ|s|d|g|z|r|θ|x|ɣ|ç|v|t|ð|p] [n|ʝ|l|s|c|ç|d|z|ʎ|r|ɲ|t|θ|ð|j]	-nas,+cons +cor	0.0031	44994	281700	226917	0.0
[l|b|c|ʎ|j|f|k|ʝ|s|d|g|z|r|θ|x|ɣ|ç|v|t|ð|p] [l|s|d|z|r|θ|t|ð]	-nas,+cons -nas,+anterior	0.0031	41081	281700	190610	0.0
[f|s|ç|θ|x] [c|t]	+delrel,-voice +cor,-voice,-cont	0.0031	10887	97397	39529	0.0
[l|b|c|ʎ|j|f|k|ʝ|s|d|g|z|r|θ|x|ɣ|ç|v|t|ð|p] [l|b|c|ʎ|j|f|k|ʝ|s|d|g|z|r|θ|x|ɣ|ç|v|t|ð|p]	-nas,+cons -nas,+cons	0.003	49261	281700	281700	0.0
[f|k|s|c|ç|t|θ|x|p] [l|ʝ|s|c|ç|d|z|ʎ|r|t|θ|ð|j]	-voice +cor,-nas	0.003	33517	186590	200860	0.0
[f|s|ç|θ|x] [t]	+delrel,-voice -voice,-cont,+anterior	0.003	10148	97397	35284	0.0
[l|b|c|ʎ|j|f|k|ʝ|s|d|g|z|r|θ|x|ɣ|ç|v|t|ð|p] [n|l|s|d|z|r|θ|t|ð]	-nas,+cons +anterior	0.003	42762	281700	216667	0.0
[f|k|s|c|ç|t|θ|x|p] [l|b|c|ʎ|ɲ|j|f|k|n|ʝ|s|d|ŋ|g|z|r|θ|x|ɣ|m|ç|v|t|ð|p]	-voice +cons	0.003	43242	186590	334625	0.0
[f|s|ç|θ|x] [c|θ|t]	+delrel,-voice -voice,-strid	0.003	11415	97397	44749	0.0
[l|b|c|ʎ|ɲ|j|f|k|n|ʝ|s|d|ŋ|g|z|r|θ|x|ɣ|m|ç|v|t|ð|p] [l|ʝ|s|c|ç|d|z|ʎ|r|t|θ|ð|j]	+cons +cor,-nas	0.0029	44594	334625	200860	0.0
[f|k|s|c|ç|t|θ|x|p] [l|s|d|z|r|θ|t|ð]	-voice -nas,+anterior	0.0029	32309	186590	190610	0.0
[f|s|ç|θ|x] [θ|t]	+delrel,-voice -voice,-strid,+anterior	0.0029	10676	97397	40504	0.0
[l|b|c|ʎ|ɲ|j|f|k|n|ʝ|s|d|ŋ|g|z|r|θ|x|ɣ|m|ç|v|t|ð|p] [n|ʝ|l|s|c|ç|d|z|ʎ|r|ɲ|t|θ|ð|j]	+cons +cor	0.0029	46791	334625	226917	0.0
[f|k|s|c|ç|t|θ|x|p] [n|ʝ|l|s|c|ç|d|z|ʎ|r|ɲ|t|θ|ð|j]	-voice +cor	0.0028	34493	186590	226917	0.0
[l|b|c|ʎ|ɲ|j|f|k|n|ʝ|s|d|ŋ|g|z|r|θ|x|ɣ|m|ç|v|t|ð|p] [l|s|d|z|r|θ|t|ð]	+cons -nas,+anterior	0.0028	42304	334625	190610	0.0
[l|b|c|ʎ|ɲ|j|f|k|n|ʝ|s|d|ŋ|g|z|r|θ|x|ɣ|m|ç|v|t|ð|p] [l|b|c|ʎ|j|f|k|ʝ|s|d|g|z|r|θ|x|ɣ|ç|v|t|ð|p]	+cons -nas,+cons	0.0028	51325	334625	281700	0.0
[f|s|ç|θ|x] [c|t|d|j]	+delrel,-voice -delrel,+cor	0.0028	10887	97397	43666	0.0
[f|k|s|c|ç|t|θ|x|p] [n|l|s|d|z|r|θ|t|ð]	-voice +anterior	0.0027	33285	186590	216667	0.0
[l|b|c|ʎ|ɲ|j|f|k|n|ʝ|s|d|ŋ|g|z|r|θ|x|ɣ|m|ç|v|t|ð|p] [n|l|s|d|z|r|θ|t|ð]	+cons +anterior	0.0027	44501	334625	216667	0.0
[f|s|ç|θ|x] [d|t]	+delrel,-voice -delrel,+anterior	0.0027	10148	97397	39421	0.0
