ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
s t	0.7	7832	74207	35284	0.0
ŋ x	0.44	114	167	5252	0.0
t r	0.34	3741	35284	34759	0.0
s m	0.33	4699	74207	26701	0.0
d z	0.23	275	4137	2377	0.0
ŋ ç	0.21	51	167	2232	0.0
f t	0.18	1492	10486	35284	0.0
ɣ r	0.17	1178	6818	34759	0.0
p r	0.17	2003	20752	34759	0.0
k s	0.15	3292	28912	74207	0.0
p l	0.14	1473	20752	22963	0.0
v r	0.11	941	6913	34759	0.0
x t	0.11	824	5252	35284	0.0
x r	0.1	789	5252	34759	0.0
k t	0.09	1713	28912	35284	0.0
l l	0.07	1154	22963	22963	0.0
ɣ m	0.07	673	6818	26701	0.0
k r	0.07	1522	28912	34759	0.0
n θ	0.07	554	26057	5220	0.0
θ r	0.06	583	5220	34759	0.0
v l	0.05	526	6913	22963	0.0
s c	0.05	717	74207	4245	0.0
f r	0.05	757	10486	34759	0.0
ð r	0.05	792	11663	34759	0.0
r ʝ	0.04	430	34759	3773	0.0
k l	0.04	934	28912	22963	0.0
r ç	0.04	304	34759	2232	0.0
p t	0.03	872	20752	35284	0.0
p s	0.03	1234	20752	74207	0.0
d r	0.03	371	4137	34759	0.0
x n	0.03	356	5252	26057	0.0
n ð	0.03	513	26057	11663	0.0
r ɣ	0.03	450	34759	6818	0.0
r m	0.02	860	34759	26701	0.0
m m	0.02	732	26701	26701	0.0
v m	0.02	370	6913	26701	0.0
s k	0.02	1206	74207	28912	0.0
ɣ l	0.02	322	6818	22963	0.0
m v	0.02	334	26701	6913	0.0
ɣ n	0.02	323	6818	26057	0.0
r t	0.02	848	34759	35284	0.0
s ç	0.01	286	74207	2232	0.0
s p	0.01	851	74207	20752	0.0
f θ	0.01	158	10486	5220	0.0
r f	0.01	386	34759	10486	0.0
v θ	0.01	117	6913	5220	0.0
r θ	0.01	254	34759	5220	0.0
t s	0.01	963	35284	74207	0.0
b l	0.01	117	1707	22963	0.0
b r	0.01	143	1707	34759	0.0
f k	0.01	316	10486	28912	0.0
r ð	0.01	365	34759	11663	0.0
v ð	0.01	153	6913	11663	0.0
x θ	0.01	87	5252	5220	0.0
f l	0.01	254	10486	22963	0.0
θ m	0.01	191	5220	26701	0.0
m f	0.01	264	26701	10486	0.0
s f	0.01	421	74207	10486	0.0
s θ	0.01	283	74207	5220	0.0
x l	0.01	144	5252	22963	0.0
v ɣ	0.01	90	6913	6818	0.0
p n	0.0	295	20752	26057	0.0
r v	0.0	181	34759	6913	0.0
r r	0.0	395	34759	34759	0.0
k c	0.0	119	28912	4245	0.0
m n	0.0	283	26701	26057	0.0
ɣ ð	0.0	95	6818	11663	0.0
r c	0.0	127	34759	4245	0.0
r k	0.0	327	34759	28912	0.0
r n	0.0	308	34759	26057	0.0
r x	0.0	128	34759	5252	0.0
s s	0.0	693	74207	74207	0.0
l t	0.0	263	22963	35284	0.0
r p	0.0	241	34759	20752	0.0
n n	0.0	233	26057	26057	0.0
s v	0.0	201	74207	6913	0.0
θ n	0.0	99	5220	26057	0.0
l m	0.0	209	22963	26701	0.0
f s	0.0	214	10486	74207	0.0
θ l	0.0	81	5220	22963	0.0
s x	0.0	140	74207	5252	0.0
l ʝ	0.0	66	22963	3773	0.0
f ç	0.0	30	10486	2232	0.0
l c	0.0	61	22963	4245	0.0
k x	0.0	76	28912	5252	0.0
r d	0.0	71	34759	4137	0.0
v ʝ	0.0	28	6913	3773	0.0
k n	0.0	148	28912	26057	0.0
b t	0.0	40	1707	35284	0.0
l k	0.0	126	22963	28912	0.0
l v	0.0	57	22963	6913	0.0
v n	0.0	59	6913	26057	0.0
x m	0.0	52	5252	26701	0.0
r b	0.0	33	34759	1707	0.0
l p	0.0	92	22963	20752	0.0
l f	0.0	64	22963	10486	0.0
k ð	0.0	71	28912	11663	0.0
n z	0.0	28	26057	2377	0.0
f p	0.0	52	10486	20752	0.0
t t	0.0	117	35284	35284	0.0
k p	0.0	81	28912	20752	0.0
f c	0.0	21	10486	4245	0.0
f n	0.0	52	10486	26057	0.0
k k	0.0	88	28912	28912	0.0
f x	0.0	22	10486	5252	0.0
r l	0.0	82	34759	22963	0.0
r s	0.0	142	34759	74207	0.0
k ç	0.0	22	28912	2232	0.0
v f	0.0	23	6913	10486	0.0
