+ant,+cont	l,s,z
+ant,+cont,+voice	l,z
+ant,+cor,+delrel,+strid,+voice	z
+ant,+cor,+voice,-approx	d,n,z
+ant,+cor,+voice,-cont,-delrel,-strid	d
+ant,+cor,+voice,-cont,-strid	d,n
+ant,+cor,+voice,-nasal,-strid	d,l
+ant,+cor,-approx	d,n,s,t,z
+ant,+cor,-nasal,-strid	d,l,t
+ant,+son	l,n
+ant,+strid	s,z
+ant,+strid,-voice	s
+ant,+voice,-son	d,z
+ant,-cont,-strid	d,n,t
+ant,-son	d,s,t,z
+ant,-voice	s,t
+approx	A,E,I,O,U,a,e,i,j,l,o,u,w,ʁ
+approx,+back	A,O,U,a,o,u,w,ʁ
+approx,+back,-syllabic	w,ʁ
+approx,+cons	l,ʁ
+approx,+cor,-strid	j,l
+approx,+dor	ʁ
+approx,-cons	A,E,I,O,U,a,e,i,j,o,u,w
+approx,-syllabic	j,l,w,ʁ
+back	A,O,U,a,k,o,u,w,ɡ,ʁ,χ
+back,+cont	A,O,U,a,o,u,w,ʁ,χ
+back,+cont,+high,-low	U,u,χ
+back,+cont,+high,-syllabic	w,χ
+back,+cont,-low	O,U,o,u,χ
+back,+high,+stress	U
+back,+high,+syllabic	U,u
+back,+high,+voice,-low	U,u,ɡ
+back,+high,+voice,-syllabic	w,ɡ
+back,+high,-cons	U,u,w
+back,+high,-low	U,k,u,ɡ,χ
+back,+high,-stress	u
+back,+high,-syllabic	k,w,ɡ,χ
+back,+stress	A,O,U
+back,+stress,-high	A,O
+back,+stress,-high,-low	O
+back,+stress,-low	O,U
+back,+syllabic	A,O,U,a,o,u
+back,+syllabic,-low	O,U,o,u
+back,+voice	A,O,U,a,o,u,w,ɡ,ʁ
+back,+voice,-low	O,U,o,u,ɡ
+back,-cons	A,O,U,a,o,u,w
+back,-high	A,O,a,o
+back,-high,-low	O,o
+back,-high,-low,-stress	o
+back,-high,-stress	a,o
+back,-low	O,U,k,o,u,ɡ,χ
+back,-low,-stress	o,u
+back,-stress	a,o,u
+cons,+cont	f,h,l,s,z,ʁ,ʃ,ʒ,χ
+cons,+cont,+cor	l,s,z,ʃ,ʒ
+cons,+cont,+cor,+voice	l,z,ʒ
+cons,+cont,+voice,-lateral	z,ʁ,ʒ
+cons,+cont,-lateral	f,h,s,z,ʁ,ʃ,ʒ,χ
+cons,+delrel	f,h,s,z,ʃ,ʒ,χ
+cons,+lab	b,f,m,p
+cons,+lab,-son	b,f,p
+cons,+son	l,m,n,ʁ
+cons,+voice,-approx	b,d,m,n,z,ɡ,ʒ
+cons,+voice,-lateral,-nasal	b,d,z,ɡ,ʁ,ʒ
+cons,+voice,-nasal	b,d,l,z,ɡ,ʁ,ʒ
+cons,+voice,-son	b,d,z,ɡ,ʒ
+cons,-approx	b,d,f,h,k,m,n,p,s,t,z,ɡ,ʃ,ʒ,χ
+cons,-lateral,-nasal	b,d,f,h,k,p,s,t,z,ɡ,ʁ,ʃ,ʒ,χ
+cons,-nasal	b,d,f,h,k,l,p,s,t,z,ɡ,ʁ,ʃ,ʒ,χ
+cons,-son	b,d,f,h,k,p,s,t,z,ɡ,ʃ,ʒ,χ
+cont	A,E,I,O,U,a,e,f,h,i,j,l,o,s,u,v,w,z,ʁ,ʃ,ʒ,χ
+cont,+cor	j,l,s,z,ʃ,ʒ
+cont,+cor,+voice	j,l,z,ʒ
+cont,+dor	ʁ,χ
+cont,+high,-low	I,U,i,u,χ
+cont,+high,-syllabic	j,w,χ
+cont,+lab	f,v,w
+cont,+voice	A,E,I,O,U,a,e,i,j,l,o,u,v,w,z,ʁ,ʒ
