segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[t] [s]	-strid,-voice +cont,-voice,+ant	0.0013	1257	7225	3396	0.0
[d|t] [s]	-son,-strid +cont,-voice,+ant	0.001	1258	8948	3396	0.0
[t] [s|z]	-strid,-voice +ant,+strid	0.001	1261	7225	4329	0.0
[k|p|t] [s]	-cont,-voice +cont,-voice,+ant	0.001	1378	11281	3396	0.0
[t] [s|ʃ]	-strid,-voice -voice,+strid	0.0009	1301	7225	4954	0.0
[s|t] [s]	-voice,+ant +cont,-voice,+ant	0.0009	1257	10621	3396	0.0
[d|t] [s|z]	-son,-strid +ant,+strid	0.0008	1262	8948	4329	0.0
[l|d|t] [s]	-nasal,-strid,+ant +cont,-voice,+ant	0.0008	1269	11772	3396	0.0
[d|n|t] [s]	-strid,-lateral +cont,-voice,+ant	0.0008	1311	12654	3396	0.0
[t] [ʃ|s|z|ʒ]	-strid,-voice +strid	0.0008	1305	7225	5944	0.0
[k|p|t] [s|z]	-cont,-voice +ant,+strid	0.0008	1386	11281	4329	0.0
[d|t] [s|ʃ]	-son,-strid -voice,+strid	0.0008	1306	8948	4954	0.0
[s|ʃ|t] [s]	-voice,+cor +cont,-voice,+ant	0.0008	1257	12179	3396	0.0
[k|p|t] [s|ʃ]	-cont,-voice -voice,+strid	0.0008	1449	11281	4954	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d]	-lateral -nasal,-syllabic	0.0007	7300	39074	36723	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d]	-syllabic -syllabic	0.0007	8478	44006	44006	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d]	-syllabic -nasal,-syllabic	0.0007	7743	44006	36723	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d]	+cons -nasal,-syllabic	0.0007	7437	40605	36723	0.0
[b|k|ɡ|t|p|d] [s]	-delrel +cont,-voice,+ant	0.0007	1395	15481	3396	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d]	+cons -syllabic	0.0007	8125	40605	44006	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d]	-lateral -syllabic	0.0007	7960	39074	44006	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d]	+cons,-lateral -nasal,-syllabic	0.0007	7119	37781	36723	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d]	+cons,-lateral -syllabic	0.0007	7763	37781	44006	0.0
[f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d]	-nasal,-lateral -syllabic	0.0007	7061	31791	44006	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d]	-nasal,+cons -syllabic	0.0007	7226	33322	44006	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d]	-nasal,-syllabic -syllabic	0.0007	7579	36723	44006	0.0
[f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d]	-nasal,-lateral -nasal,-syllabic	0.0007	6418	31791	36723	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d]	-nasal,+cons -nasal,-syllabic	0.0007	6555	33322	36723	0.0
[f|s|b|k|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d]	+cons,-nasal,-lateral -syllabic	0.0007	6864	30498	44006	0.0
[d|s|z|t] [s]	-son,+ant +cont,-voice,+ant	0.0007	1258	13277	3396	0.0
[l|d|j|t] [s]	-nasal,-strid +cont,-voice,+ant	0.0007	1282	13845	3396	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d]	-nasal,-syllabic -nasal,-syllabic	0.0007	6861	36723	36723	0.0
[f|s|b|k|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d]	+cons,-nasal,-lateral -nasal,-syllabic	0.0007	6237	30498	36723	0.0
[s|t] [s|z]	-voice,+ant +ant,+strid	0.0007	1261	10621	4329	0.0
[f|s|b|k|ʒ|ɡ|m|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d]	-approx -nasal,-syllabic	0.0007	6602	34852	36723	0.0
[d|t] [ʃ|s|z|ʒ]	-son,-strid +strid	0.0007	1341	8948	5944	0.0
[f|s|b|k|ʒ|ɡ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d]	+cons,-approx -nasal,-syllabic	0.0007	6421	33559	36723	0.0
[f|s|b|k|ʒ|ɡ|m|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d]	-approx -syllabic	0.0007	7144	34852	44006	0.0
[l|d|n|t] [s]	+cons,-strid +cont,-voice,+ant	0.0007	1322	15478	3396	0.0
[t] [l|s|z]	-strid,-voice +cont,+ant	0.0007	1300	7225	7153	0.0
[f|s|b|k|ʒ|ɡ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d]	+cons,-approx -syllabic	0.0007	6947	33559	44006	0.0
[f|s|b|k|ʒ|ɡ|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d]	-son -nasal,-syllabic	0.0006	5720	27569	36723	0.0
[d|n|t] [s|z]	-strid,-lateral +ant,+strid	0.0006	1329	12654	4329	0.0
[s|t] [s|ʃ]	-voice,+ant -voice,+strid	0.0006	1301	10621	4954	0.0
[f|s|b|k|ʒ|ɡ|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d]	-son -syllabic	0.0006	6245	27569	44006	0.0
[l|d|t] [s|z]	-nasal,-strid,+ant +ant,+strid	0.0006	1276	11772	4329	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	-syllabic +cons	0.0006	7539	44006	40605	0.0
[f|s|b|k|ʒ|ɡ|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d]	+cons,-son -nasal,-syllabic	0.0006	5539	26276	36723	0.0
[k|p|t] [ʃ|s|z|ʒ]	-cont,-voice +strid	0.0006	1457	11281	5944	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	-lateral -nasal,+cons	0.0006	6419	39074	33322	0.0
[f|s|b|k|ʒ|ɡ|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d]	+cons,-son -syllabic	0.0006	6048	26276	44006	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	-lateral +cons	0.0006	7079	39074	40605	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	-syllabic -nasal,+cons	0.0006	6804	44006	33322	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	+cons +cons	0.0006	7209	40605	40605	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	+cons -nasal,+cons	0.0006	6521	40605	33322	0.0
[s|ʒ|ʃ|z|t|d] [s]	-son,+cor +cont,-voice,+ant	0.0006	1258	14892	3396	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	+cons,-lateral -nasal,+cons	0.0006	6256	37781	33322	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	+cons,-lateral +cons	0.0006	6900	37781	40605	0.0
[l|d|t] [s|ʃ]	-nasal,-strid,+ant -voice,+strid	0.0006	1338	11772	4954	0.0
[f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	-nasal,-lateral +cons	0.0006	6267	31791	40605	0.0
[b|k|ɡ|t|p|d] [s|z]	-delrel +ant,+strid	0.0006	1427	15481	4329	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	-nasal,-syllabic +cons	0.0006	6727	36723	40605	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d]	-syllabic -lateral	0.0006	7213	44006	39074	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	-nasal,+cons +cons	0.0006	6397	33322	40605	0.0
[s|ʃ|t] [s|z]	-voice,+cor +ant,+strid	0.0006	1262	12179	4329	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d]	+cons -lateral	0.0006	6916	40605	39074	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d]	+cons -nasal,-lateral	0.0006	6228	40605	31791	0.0
[k|p|t] [l|s|z]	-cont,-voice +cont,+ant	0.0006	1556	11281	7153	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d]	-syllabic -nasal,-lateral	0.0006	6478	44006	31791	0.0
[f|s|b|k|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	+cons,-nasal,-lateral +cons	0.0006	6088	30498	40605	0.0
[l|j|n|t|d] [s]	-strid +cont,-voice,+ant	0.0006	1335	17551	3396	0.0
[d|n|t] [s|ʃ]	-strid,-lateral -voice,+strid	0.0006	1369	12654	4954	0.0
[f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	-nasal,-lateral -nasal,+cons	0.0006	5624	31791	33322	0.0
[s|n|z|t|d] [s]	+ant,-approx +cont,-voice,+ant	0.0006	1311	16983	3396	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d]	-lateral -nasal,-lateral	0.0006	6084	39074	31791	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d]	-lateral -lateral	0.0006	6744	39074	39074	0.0
[f|s|b|k|ʒ|ɡ|v|χ|h|z|ʃ|t|p|d] [f|s|l|ʒ|w|j|v|h|χ|z|ʃ|ʁ]	-son +cont,-syllabic	0.0006	4176	27569	21242	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	-nasal,+cons -nasal,+cons	0.0006	5726	33322	33322	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	-nasal,-syllabic -nasal,+cons	0.0006	6009	36723	33322	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d]	+cons,-lateral -nasal,-lateral	0.0006	5948	37781	31791	0.0
[l|s|z|t|d] [s]	-nasal,+ant +cont,-voice,+ant	0.0006	1269	16101	3396	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d]	+cons,-lateral -lateral	0.0006	6592	37781	39074	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	-syllabic +cons,-lateral	0.0006	6991	44006	37781	0.0
[f|s|b|k|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	+cons,-nasal,-lateral -nasal,+cons	0.0006	5461	30498	33322	0.0
[f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d] [f|s|l|ʒ|w|j|v|h|χ|z|ʃ|ʁ]	-nasal,-lateral +cont,-syllabic	0.0006	4450	31791	21242	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	+cons +cons,-lateral	0.0006	6699	40605	37781	0.0
