ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
u t	0.18	1891	3906	7225	0.0
t s	0.09	1257	7225	3396	0.0
h i	0.06	624	1482	6112	0.0
o n	0.06	699	3139	3706	0.0
i j	0.05	666	6112	2073	0.0
j u	0.05	531	2073	3906	0.0
a n	0.05	1236	12276	3706	0.0
m a	0.04	1160	3577	12276	0.0
j a	0.04	883	2073	12276	0.0
i t	0.04	1142	6112	7225	0.0
e ʁ	0.03	708	4811	4222	0.0
χ a	0.03	796	2207	12276	0.0
a ʁ	0.03	1063	12276	4222	0.0
h a	0.03	613	1482	12276	0.0
m e	0.03	595	3577	4811	0.0
k a	0.03	831	2775	12276	0.0
ʁ a	0.03	994	4222	12276	0.0
a χ	0.03	703	12276	2207	0.0
a l	0.02	782	12276	2824	0.0
m i	0.02	608	3577	6112	0.0
e t	0.02	745	4811	7225	0.0
i z	0.02	279	6112	933	0.0
l i	0.02	467	2824	6112	0.0
o ʁ	0.02	406	3139	4222	0.0
ʁ e	0.02	495	4222	4811	0.0
l a	0.02	642	2824	12276	0.0
i k	0.02	447	6112	2775	0.0
n u	0.02	408	3706	3906	0.0
s i	0.02	485	3396	6112	0.0
a v	0.02	414	12276	1293	0.0
s a	0.01	665	3396	12276	0.0
a t	0.01	964	12276	7225	0.0
e l	0.01	377	4811	2824	0.0
t a	0.01	955	7225	12276	0.0
o l	0.01	298	3139	2824	0.0
d ʒ	0.01	31	1723	57	0.0
k o	0.01	288	2775	3139	0.0
ʁ i	0.01	492	4222	6112	0.0
d a	0.01	444	1723	12276	0.0
n i	0.01	446	3706	6112	0.0
l e	0.01	344	2824	4811	0.0
s j	0.01	247	3396	2073	0.0
i n	0.01	439	6112	3706	0.0
v a	0.01	364	1293	12276	0.0
i l	0.01	371	6112	2824	0.0
ʁ o	0.01	324	4222	3139	0.0
l u	0.01	294	2824	3906	0.0
n a	0.01	597	3706	12276	0.0
b a	0.01	313	1036	12276	0.0
p a	0.01	347	1281	12276	0.0
o ɡ	0.01	185	3139	1441	0.0
e v	0.01	213	4811	1293	0.0
e n	0.01	358	4811	3706	0.0
s e	0.01	339	3396	4811	0.0
z e	0.01	177	933	4811	0.0
i s	0.01	380	6112	3396	0.0
ɡ a	0.01	350	1441	12276	0.0
b u	0.01	165	1036	3906	0.0
i ʃ	0.01	253	6112	1558	0.0
e m	0.01	338	4811	3577	0.0
ʃ a	0.01	353	1558	12276	0.0
l o	0.01	240	2824	3139	0.0
a d	0.01	369	12276	1723	0.0
a f	0.01	299	12276	1162	0.0
n e	0.01	334	3706	4811	0.0
e k	0.01	286	4811	2775	0.0
t i	0.01	518	7225	6112	0.0
d i	0.01	250	1723	6112	0.0
ʁ u	0.01	310	4222	3906	0.0
e f	0.01	179	4811	1162	0.0
d e	0.01	217	1723	4811	0.0
