ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t s	1.74	1257	7225	3396	0.0
d ʒ	0.26	31	1723	57	0.0
s j	0.23	247	3396	2073	0.0
s t	0.12	325	3396	7225	0.0
ɡ ʁ	0.05	111	1441	4222	0.0
p ʁ	0.04	94	1281	4222	0.0
t ʁ	0.04	221	7225	4222	0.0
n t	0.04	206	3706	7225	0.0
ɡ j	0.04	68	1441	2073	0.0
k t	0.03	160	2775	7225	0.0
k ʁ	0.03	119	2775	4222	0.0
s p	0.03	68	3396	1281	0.0
n d	0.03	81	3706	1723	0.0
ʁ ɡ	0.02	74	4222	1441	0.0
k l	0.02	83	2775	2824	0.0
d ʁ	0.02	74	1723	4222	0.0
f ʁ	0.02	60	1162	4222	0.0
b ʁ	0.02	56	1036	4222	0.0
k s	0.02	82	2775	3396	0.0
ʁ j	0.02	77	4222	2073	0.0
ʁ b	0.02	53	4222	1036	0.0
ʃ t	0.02	85	1558	7225	0.0
ɡ l	0.02	51	1441	2824	0.0
p l	0.02	48	1281	2824	0.0
s k	0.02	77	3396	2775	0.0
ʁ k	0.01	80	4222	2775	0.0
χ l	0.01	58	2207	2824	0.0
ʁ t	0.01	120	4222	7225	0.0
n ɡ	0.01	50	3706	1441	0.0
b l	0.01	37	1036	2824	0.0
ʁ d	0.01	58	4222	1723	0.0
d j	0.01	40	1723	2073	0.0
f l	0.01	37	1162	2824	0.0
v ʁ	0.01	47	1293	4222	0.0
ʁ χ	0.01	61	4222	2207	0.0
f j	0.01	31	1162	2073	0.0
m b	0.01	38	3577	1036	0.0
m p	0.01	42	3577	1281	0.0
ʃ l	0.01	41	1558	2824	0.0
χ ʃ	0.01	36	2207	1558	0.0
s χ	0.01	53	3396	2207	0.0
ʃ k	0.01	40	1558	2775	0.0
ʃ m	0.01	45	1558	3577	0.0
ɡ z	0.01	22	1441	933	0.0
p s	0.01	39	1281	3396	0.0
s f	0.01	37	3396	1162	0.0
ʁ m	0.01	72	4222	3577	0.0
n j	0.01	51	3706	2073	0.0
t χ	0.01	73	7225	2207	0.0
s l	0.01	56	3396	2824	0.0
k v	0.01	33	2775	1293	0.0
ʁ p	0.01	39	4222	1281	0.0
ɡ d	0.01	26	1441	1723	0.0
z ʁ	0.01	32	933	4222	0.0
w t	0.01	8	35	7225	0.008
l j	0.01	38	2824	2073	0.0
χ b	0.01	23	2207	1036	0.0
p t	0.01	46	1281	7225	0.0
k d	0.01	33	2775	1723	0.0
z d	0.01	19	933	1723	0.0
n s	0.01	53	3706	3396	0.0
ɡ v	0.01	20	1441	1293	0.0
t p	0.01	44	7225	1281	0.0
z j	0.01	20	933	2073	0.0
s m	0.01	50	3396	3577	0.0
t b	0.01	39	7225	1036	0.0
ʃ p	0.01	20	1558	1281	0.0
v l	0.01	27	1293	2824	0.0
ʃ v	0.01	20	1558	1293	0.0
s ʁ	0.01	53	3396	4222	0.0
s b	0.01	26	3396	1036	0.0
χ ʁ	0.01	42	2207	4222	0.0
l t	0.01	62	2824	7225	0.0
z m	0.01	25	933	3577	0.0
ɡ m	0.01	31	1441	3577	0.0
ʃ χ	0.0	25	1558	2207	0.0
