ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
c ʃ	4.42	512	687	1552	0.0
t s	1.97	614	2449	1408	0.0
ɟ ʒ	0.29	28	223	221	0.0
n ɡ	0.18	133	1431	1216	0.0
n d	0.18	105	1431	776	0.0
ʒ ʒ	0.18	22	221	221	0.0
n t	0.16	178	1431	2449	0.0
m b	0.07	60	1066	923	0.0
m p	0.06	65	1066	1244	0.0
s t	0.05	99	1408	2449	0.0
ʃ t	0.05	101	1552	2449	0.0
t r	0.05	130	2449	2593	0.0
t t	0.05	126	2449	2449	0.0
l l	0.05	96	1867	1867	0.0
s s	0.05	72	1408	1408	0.0
f f	0.04	30	602	602	0.0
r t	0.04	125	2593	2449	0.0
n c	0.04	48	1431	687	0.0
p p	0.04	58	1244	1244	0.0
c c	0.04	31	687	687	0.0
n ɟ	0.04	25	1431	223	0.0
r ɡ	0.03	78	2593	1216	0.0
k k	0.03	78	1824	1824	0.0
r d	0.03	60	2593	776	0.0
ʃ k	0.03	65	1552	1824	0.0
f r	0.03	48	602	2593	0.0
ɲ ɲ	0.02	15	406	406	0.0
p r	0.02	65	1244	2593	0.0
d r	0.02	51	776	2593	0.0
p l	0.02	53	1244	1867	0.0
ʃ p	0.02	48	1552	1244	0.0
s k	0.02	54	1408	1824	0.0
n k	0.02	54	1431	1824	0.0
f l	0.02	35	602	1867	0.0
b r	0.02	51	923	2593	0.0
n z	0.02	28	1431	526	0.0
ɟ ɟ	0.02	7	223	223	0.016
b l	0.02	40	923	1867	0.0
k l	0.01	53	1824	1867	0.0
r v	0.01	35	2593	629	0.0
j t	0.01	32	569	2449	0.0
z z	0.01	14	526	526	0.0
r m	0.01	43	2593	1066	0.0
ɡ r	0.01	45	1216	2593	0.0
r b	0.01	38	2593	923	0.0
k r	0.01	53	1824	2593	0.0
b b	0.01	22	923	923	0.0
l t	0.01	48	1867	2449	0.0
r k	0.01	48	2593	1824	0.0
m m	0.01	22	1066	1066	0.0
ʃ ʃ	0.01	32	1552	1552	0.0
k v	0.01	22	1824	629	0.0
z d	0.01	13	526	776	0.0
d v	0.01	14	776	629	0.0
j j	0.01	11	569	569	0.001
k t	0.01	39	1824	2449	0.0
ʃ l	0.01	31	1552	1867	0.0
m l	0.01	25	1066	1867	0.0
ɲ h	0.01	8	406	522	0.008
z m	0.01	13	526	1066	0.0
s l	0.01	28	1408	1867	0.0
d z	0.01	11	776	526	0.001
z l	0.01	17	526	1867	0.0
ʃ m	0.01	22	1552	1066	0.0
d l	0.0	20	776	1867	0.0
j h	0.0	9	569	522	0.004
r c	0.0	22	2593	687	0.0
z ɡ	0.0	13	526	1216	0.0
ʃ v	0.0	16	1552	629	0.0
n n	0.0	23	1431	1431	0.0
ɡ l	0.0	24	1216	1867	0.0
r ʒ	0.0	12	2593	221	0.0
r ɲ	0.0	16	2593	406	0.0
r n	0.0	30	2593	1431	0.0
r z	0.0	17	2593	526	0.0
ʒ d	0.0	6	221	776	0.031
r j	0.0	17	2593	569	0.0
