ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t s	2.19	579	2709	1264	0.0
t ʃ	1.32	492	2709	1512	0.0
d ʒː	0.63	22	788	22	0.0
n t	0.29	220	1385	2709	0.0
n d	0.25	111	1385	788	0.0
n ɡ	0.24	133	1385	1184	0.0
t ʃː	0.17	20	2709	20	0.0
t sː	0.14	35	2709	72	0.0
m b	0.09	60	1022	879	0.0
m p	0.08	65	1022	1128	0.0
s t	0.06	99	1264	2709	0.0
r t	0.06	138	2521	2709	0.0
ʃ t	0.06	103	1512	2709	0.0
t r	0.06	130	2709	2521	0.0
r ɡ	0.05	78	2521	1184	0.0
r d	0.04	60	2521	788	0.0
f r	0.04	48	542	2521	0.0
ʃ k	0.04	65	1512	1668	0.0
p l	0.03	53	1128	1675	0.0
p r	0.03	65	1128	2521	0.0
n ɟ	0.03	19	1385	181	0.0
s k	0.03	54	1264	1668	0.0
ʃ p	0.03	48	1512	1128	0.0
f l	0.03	35	542	1675	0.0
d r	0.03	51	788	2521	0.0
n k	0.03	54	1385	1668	0.0
b r	0.03	51	879	2521	0.0
n z	0.03	28	1385	498	0.0
b l	0.02	40	879	1675	0.0
k l	0.02	53	1668	1675	0.0
j t	0.02	35	547	2709	0.0
l t	0.02	60	1675	2709	0.0
r v	0.02	35	2521	629	0.0
r m	0.02	43	2521	1022	0.0
ɡ r	0.02	45	1184	2521	0.0
k r	0.01	53	1668	2521	0.0
r b	0.01	38	2521	879	0.0
r k	0.01	48	2521	1668	0.0
c k	0.01	10	113	1668	0.002
k v	0.01	22	1668	629	0.0
z d	0.01	13	498	788	0.0
d v	0.01	14	788	629	0.0
ʃ l	0.01	31	1512	1675	0.0
s l	0.01	28	1264	1675	0.0
m l	0.01	25	1022	1675	0.0
k t	0.01	40	1668	2709	0.0
z l	0.01	17	498	1675	0.0
z m	0.01	13	498	1022	0.0
ɲ h	0.01	8	376	522	0.008
r ʒ	0.01	12	2521	177	0.0
ʃ m	0.01	22	1512	1022	0.0
d z	0.01	11	788	498	0.001
d l	0.01	20	788	1675	0.0
ɡ l	0.01	24	1184	1675	0.0
z ɡ	0.01	13	498	1184	0.0
r c	0.01	9	2521	113	0.004
j h	0.01	9	547	522	0.004
r ɲ	0.01	16	2521	376	0.0
ʃ v	0.01	16	1512	629	0.0
d ʒ	0.01	6	788	177	0.031
ʒ d	0.01	6	177	788	0.031
r n	0.01	30	2521	1385	0.0
r z	0.01	17	2521	498	0.0
n c	0.01	6	1385	113	0.031
p s	0.01	18	1128	1264	0.0
p t	0.0	26	1128	2709	0.0
r j	0.0	17	2521	547	0.0
l d	0.0	16	1675	788	0.0
k s	0.0	19	1668	1264	0.0
t v	0.0	17	2709	629	0.0
l ɡ	0.0	18	1675	1184	0.0
j k	0.0	12	547	1668	0.0
r h	0.0	14	2521	522	0.0
m f	0.0	9	1022	542	0.004
j s	0.0	10	547	1264	0.002
l v	0.0	12	1675	629	0.0
ɡ d	0.0	11	1184	788	0.001
ʒ ɟ	0.0	2	177	181	0.5
r f	0.0	13	2521	542	0.0
f j	0.0	6	542	547	0.031
f t	0.0	13	542	2709	0.0
r p	0.0	18	2521	1128	0.0
ʃ n	0.0	15	1512	1385	0.0
ɲ v	0.0	5	376	629	0.062
b ʒ	0.0	4	879	177	0.125
j ɡ	0.0	8	547	1184	0.008
l m	0.0	13	1675	1022	0.0
r ʃ	0.0	19	2521	1512	0.0
l k	0.0	16	1675	1668	0.0
r l	0.0	19	2521	1675	0.0
j f	0.0	5	547	542	0.062
j d	0.0	6	547	788	0.031
n s	0.0	12	1385	1264	0.0
t l	0.0	19	2709	1675	0.0
c m	0.0	3	113	1022	0.25
j ɲ	0.0	4	547	376	0.125
ʒ ɡ	0.0	4	177	1184	0.125
ɡ n	0.0	11	1184	1385	0.001
ɡ v	0.0	7	1184	629	0.016
j n	0.0	7	547	1385	0.016
s c	0.0	3	1264	113	0.25
ʃ ʃ	0.0	12	1512	1512	0.0
z b	0.0	5	498	879	0.062
s p	0.0	9	1264	1128	0.004
l f	0.0	7	1675	542	0.016
k j	0.0	7	1668	547	0.016
ʃ c	0.0	3	1512	113	0.25
z n	0.0	6	498	1385	0.031
l n	0.0	11	1675	1385	0.001
b d	0.0	6	879	788	0.031
t k	0.0	15	2709	1668	0.0
s m	0.0	8	1264	1022	0.008
p ʃ	0.0	9	1128	1512	0.004
ɡ b	0.0	7	1184	879	0.016
j v	0.0	4	547	629	0.125
s n	0.0	9	1264	1385	0.004
s v	0.0	6	1264	629	0.031
k h	0.0	6	1668	522	0.031
p f	0.0	5	1128	542	0.062
k f	0.0	6	1668	542	0.031
f k	0.0	6	542	1668	0.031
k ʃ	0.0	10	1668	1512	0.002
ɡ j	0.0	5	1184	547	0.062
ɟ v	0.0	2	181	629	0.5
n h	0.0	5	1385	522	0.062
n f	0.0	5	1385	542	0.062
l b	0.0	7	1675	879	0.016
j z	0.0	3	547	498	0.25
t n	0.0	11	2709	1385	0.001
m z	0.0	4	1022	498	0.125
h m	0.0	4	522	1022	0.125
ɡ m	0.0	6	1184	1022	0.031
l ɟ	0.0	3	1675	181	0.25
j m	0.0	4	547	1022	0.125
ʃ ɲ	0.0	4	1512	376	0.125
j l	0.0	5	547	1675	0.062
p k	0.0	7	1128	1668	0.016
l p	0.0	7	1675	1128	0.016
p j	0.0	4	1128	547	0.125
m t	0.0	8	1022	2709	0.008
ʒ m	0.0	2	177	1022	0.5
m ʒ	0.0	2	1022	177	0.5
sː v	0.0	1	72	629	1.0
k n	0.0	7	1668	1385	0.016
k m	0.0	6	1668	1022	0.031
ʃ h	0.0	4	1512	522	0.125
r s	0.0	8	2521	1264	0.008
r ɟ	0.0	3	2521	181	0.25
h t	0.0	5	522	2709	0.062
c h	0.0	1	113	522	1.0
ʒ n	0.0	2	177	1385	0.5
ɡ z	0.0	3	1184	498	0.25
v l	0.0	4	629	1675	0.125
ɡ h	0.0	3	1184	522	0.25
c v	0.0	1	113	629	1.0
sː m	0.0	1	72	1022	1.0
ɟ l	0.0	2	181	1675	0.5
s f	0.0	3	1264	542	0.25
z v	0.0	2	498	629	0.5
f n	0.0	3	542	1385	0.25
ɡ t	0.0	6	1184	2709	0.031
j ʃ	0.0	3	547	1512	0.25
n v	0.0	3	1385	629	0.25
j ʒ	0.0	1	547	177	1.0
l h	0.0	3	1675	522	0.25
l ʃ	0.0	5	1675	1512	0.062
b z	0.0	2	879	498	0.5
b j	0.0	2	879	547	0.5
j b	0.0	2	547	879	0.5
n ʃ	0.0	4	1385	1512	0.125
m j	0.0	2	1022	547	0.5
p h	0.0	2	1128	522	0.5
ʃ r	0.0	5	1512	2521	0.062
j p	0.0	2	547	1128	0.5
ʒ b	0.0	1	177	879	1.0
ɟ b	0.0	1	181	879	1.0
m v	0.0	2	1022	629	0.5
z ɲ	0.0	1	498	376	1.0
l c	0.0	1	1675	113	1.0
d m	0.0	2	788	1022	0.5
l z	0.0	2	1675	498	0.5
v ɲ	0.0	1	629	376	1.0
n ʒ	0.0	1	1385	177	1.0
t ɲ	0.0	2	2709	376	0.5
d n	0.0	2	788	1385	0.5
f h	0.0	1	542	522	1.0
h j	0.0	1	522	547	1.0
l ʒ	0.0	1	1675	177	1.0
z r	0.0	2	498	2521	0.5
h r	0.0	2	522	2521	0.5
v j	0.0	1	629	547	1.0
j r	0.0	2	547	2521	0.5
t h	0.0	2	2709	522	0.5
m n	0.0	2	1022	1385	0.5
m ʃ	0.0	2	1022	1512	0.5
p n	0.0	2	1128	1385	0.5
v r	0.0	2	629	2521	0.5
s ɲ	0.0	1	1264	376	1.0
m h	0.0	1	1022	522	1.0
ɲ ʃ	0.0	1	376	1512	1.0
k ɲ	0.0	1	1668	376	1.0
ɲ l	0.0	1	376	1675	1.0
f ɡ	0.0	1	542	1184	1.0
v m	0.0	1	629	1022	1.0
s h	0.0	1	1264	522	1.0
f s	0.0	1	542	1264	1.0
d b	0.0	1	788	879	1.0
h l	0.0	1	522	1675	1.0
l j	0.0	1	1675	547	1.0
p m	0.0	1	1128	1022	1.0
m ɡ	0.0	1	1022	1184	1.0
n b	0.0	1	1385	879	1.0
n p	0.0	1	1385	1128	1.0
m k	0.0	1	1022	1668	1.0
ɡ ʃ	0.0	1	1184	1512	1.0
k p	0.0	1	1668	1128	1.0
n l	0.0	1	1385	1675	1.0
m r	0.0	1	1022	2521	1.0
t m	0.0	1	2709	1022	1.0
s r	0.0	1	1264	2521	1.0
t ɡ	0.0	1	2709	1184	1.0
l r	0.0	1	1675	2521	1.0
