ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t ʃ	0.37	4958	46254	28604	0.0
t s	0.32	3619	46254	18097	0.0
n t	0.3	3725	20108	46254	0.0
n d	0.19	1687	20108	14712	0.0
s t	0.19	2819	18097	46254	0.0
t ʃː	0.18	420	46254	421	0.0
t sː	0.12	808	46254	2283	0.0
n ɡ	0.12	1464	20108	17351	0.0
r t	0.09	2600	34316	46254	0.0
l t	0.07	2329	34693	46254	0.0
m b	0.07	782	18032	10192	0.0
d ʒː	0.07	50	14712	52	0.0
j t	0.05	935	7379	46254	0.0
ʃ t	0.05	1750	28604	46254	0.0
r m	0.04	1131	34316	18032	0.0
n k	0.04	1080	20108	29746	0.0
ʃ k	0.04	1255	28604	29746	0.0
r d	0.03	934	34316	14712	0.0
m p	0.03	558	18032	11562	0.0
ʒ b	0.03	149	1466	10192	0.0
s k	0.03	877	18097	29746	0.0
l v	0.03	771	34693	12467	0.0
p r	0.03	733	11562	34316	0.0
r k	0.03	1148	34316	29746	0.0
l m	0.03	894	34693	18032	0.0
r v	0.02	718	34316	12467	0.0
l d	0.02	718	34693	14712	0.0
z m	0.02	465	12297	18032	0.0
r ɡ	0.02	759	34316	17351	0.0
ʒ d	0.02	143	1466	14712	0.0
c h	0.02	91	1042	8736	0.0
l k	0.02	897	34693	29746	0.0
t r	0.01	1084	46254	34316	0.0
ɲ v	0.01	227	5876	12467	0.0
l h	0.01	458	34693	8736	0.0
r ʃ	0.01	787	34316	28604	0.0
n z	0.01	390	20108	12297	0.0
ɡ b	0.01	326	17351	10192	0.0
z d	0.01	322	12297	14712	0.0
ɡ h	0.01	293	17351	8736	0.0
t l	0.01	944	46254	34693	0.0
ɡ r	0.01	569	17351	34316	0.0
ʃ p	0.01	424	28604	11562	0.0
k s	0.01	532	29746	18097	0.0
k t	0.01	829	29746	46254	0.0
c k	0.01	124	1042	29746	0.0
l f	0.01	399	34693	9598	0.0
t h	0.01	437	46254	8736	0.0
ʒ ɡ	0.01	109	1466	17351	0.0
ɟ v	0.01	149	3839	12467	0.0
r c	0.01	128	34316	1042	0.0
r h	0.01	367	34316	8736	0.0
r z	0.01	426	34316	12297	0.0
ɡ t	0.01	545	17351	46254	0.0
r f	0.01	346	34316	9598	0.0
t v	0.01	453	46254	12467	0.0
p l	0.01	377	11562	34693	0.0
ɡ v	0.01	275	17351	12467	0.0
