ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
c ʃ	2.78	5036	6420	28604	0.0
c ʃː	1.31	420	6420	421	0.0
t s	0.36	3619	40876	18097	0.0
n t	0.28	3351	20108	40876	0.0
ɟ ʒː	0.25	50	3937	52	0.0
s t	0.21	2780	18097	40876	0.0
n d	0.19	1661	20108	14614	0.0
t sː	0.14	808	40876	2283	0.0
n ɡ	0.12	1464	20108	17351	0.0
r t	0.08	2388	34316	40876	0.0
m b	0.07	782	18032	10192	0.0
j t	0.05	893	7379	40876	0.0
l t	0.05	1892	34693	40876	0.0
ʃ t	0.05	1692	28604	40876	0.0
r m	0.04	1131	34316	18032	0.0
n k	0.04	1080	20108	29746	0.0
ʃ k	0.04	1255	28604	29746	0.0
r d	0.03	931	34316	14614	0.0
n c	0.03	448	20108	6420	0.0
m p	0.03	558	18032	11562	0.0
ʒ b	0.03	149	1466	10192	0.0
s k	0.03	877	18097	29746	0.0
l v	0.03	771	34693	12467	0.0
p r	0.03	733	11562	34316	0.0
r k	0.03	1148	34316	29746	0.0
l m	0.03	894	34693	18032	0.0
r v	0.02	718	34316	12467	0.0
l d	0.02	713	34693	14614	0.0
z m	0.02	465	12297	18032	0.0
r ɡ	0.02	759	34316	17351	0.0
ʒ d	0.02	142	1466	14614	0.0
l c	0.02	452	34693	6420	0.0
t r	0.02	1084	40876	34316	0.0
l k	0.02	897	34693	29746	0.0
ɲ v	0.01	227	5876	12467	0.0
l h	0.01	458	34693	8736	0.0
r ʃ	0.01	787	34316	28604	0.0
t l	0.01	944	40876	34693	0.0
n z	0.01	390	20108	12297	0.0
ɡ b	0.01	326	17351	10192	0.0
z d	0.01	322	12297	14614	0.0
ɡ h	0.01	293	17351	8736	0.0
ɡ r	0.01	569	17351	34316	0.0
ʃ p	0.01	424	28604	11562	0.0
t h	0.01	437	40876	8736	0.0
k s	0.01	532	29746	18097	0.0
r c	0.01	340	34316	6420	0.0
k t	0.01	789	29746	40876	0.0
l f	0.01	399	34693	9598	0.0
ʒ ɡ	0.01	109	1466	17351	0.0
ɟ v	0.01	149	3937	12467	0.0
r h	0.01	367	34316	8736	0.0
n ɟ	0.01	185	20108	3937	0.0
r z	0.01	426	34316	12297	0.0
t v	0.01	453	40876	12467	0.0
ɟ ʒ	0.01	48	3937	1466	0.0
t k	0.01	683	40876	29746	0.0
r f	0.01	346	34316	9598	0.0
p l	0.01	377	11562	34693	0.0
ɡ v	0.01	275	17351	12467	0.0
n ʃ	0.01	446	20108	28604	0.0
j z	0.01	177	7379	12297	0.0
ɡ f	0.01	239	17351	9598	0.0
d v	0.01	248	14614	12467	0.0
r ɲ	0.01	257	34316	5876	0.0
k r	0.01	560	29746	34316	0.0
m l	0.01	432	18032	34693	0.0
r b	0.01	323	34316	10192	0.0
ʃ ʃ	0.01	490	28604	28604	0.0
ɡ l	0.01	420	17351	34693	0.0
ɡ t	0.01	455	17351	40876	0.0
ɲ h	0.01	122	5876	8736	0.0
ɡ s	0.01	299	17351	18097	0.0
ɡ z	0.01	245	17351	12297	0.0
p s	0.01	242	11562	18097	0.0
ɲ f	0.01	125	5876	9598	0.0
d r	0.01	372	14614	34316	0.0
r n	0.01	434	34316	20108	0.0
b l	0.01	310	10192	34693	0.0
l ɡ	0.01	403	34693	17351	0.0
r j	0.01	258	34316	7379	0.0
r ʒ	0.01	114	34316	1466	0.0
r l	0.0	527	34316	34693	0.0
t f	0.0	299	40876	9598	0.0
k l	0.0	479	29746	34693	0.0
z b	0.0	162	12297	10192	0.0
s f	0.0	189	18097	9598	0.0
ɡ k	0.0	316	17351	29746	0.0
d b	0.0	169	14614	10192	0.0
n f	0.0	192	20108	9598	0.0
p t	0.0	298	11562	40876	0.0
r s	0.0	337	34316	18097	0.0
l b	0.0	254	34693	10192	0.0
p c	0.0	116	11562	6420	0.0
k v	0.0	257	29746	12467	0.0
ʃ m	0.0	303	28604	18032	0.0
ɲ s	0.0	137	5876	18097	0.0
z ɡ	0.0	191	12297	17351	0.0
s p	0.0	188	18097	11562	0.0
j d	0.0	134	7379	14614	0.0
b r	0.0	238	10192	34316	0.0
j h	0.0	102	7379	8736	0.0
ɟ b	0.0	80	3937	10192	0.0
d z	0.0	167	14614	12297	0.0
r p	0.0	246	34316	11562	0.0
p k	0.0	227	11562	29746	0.0
c h	0.0	91	6420	8736	0.0
f r	0.0	219	9598	34316	0.0
j k	0.0	176	7379	29746	0.0
l s	0.0	297	34693	18097	0.0
n s	0.0	225	20108	18097	0.0
m f	0.0	154	18032	9598	0.0
ʒ ɟ	0.0	28	1466	3937	0.0
ɡ m	0.0	204	17351	18032	0.0
s l	0.0	285	18097	34693	0.0
ʃ f	0.0	187	28604	9598	0.0
l p	0.0	225	34693	11562	0.0
j s	0.0	129	7379	18097	0.0
b z	0.0	122	10192	12297	0.0
n v	0.0	170	20108	12467	0.0
p f	0.0	112	11562	9598	0.0
j l	0.0	168	7379	34693	0.0
s h	0.0	132	18097	8736	0.0
ɲ k	0.0	138	5876	29746	0.0
ʃ h	0.0	165	28604	8736	0.0
j f	0.0	87	7379	9598	0.0
ɟ m	0.0	87	3937	18032	0.0
ɟ z	0.0	70	3937	12297	0.0
n h	0.0	133	20108	8736	0.0
ɡ d	0.0	158	17351	14614	0.0
ɡ ʃ	0.0	221	17351	28604	0.0
ʃ v	0.0	185	28604	12467	0.0
l ʃ	0.0	304	34693	28604	0.0
z l	0.0	199	12297	34693	0.0
r ɟ	0.0	111	34316	3937	0.0
ɡ p	0.0	129	17351	11562	0.0
c k	0.0	124	6420	29746	0.0
ɡ c	0.0	90	17351	6420	0.0
t m	0.0	230	40876	18032	0.0
b d	0.0	103	10192	14614	0.0
l ɟ	0.0	98	34693	3937	0.0
ɲ t	0.0	129	5876	40876	0.0
ɡ j	0.0	94	17351	7379	0.0
z v	0.0	100	12297	12467	0.0
s m	0.0	138	18097	18032	0.0
k f	0.0	129	29746	9598	0.0
j v	0.0	73	7379	12467	0.0
j b	0.0	65	7379	10192	0.0
ʃ l	0.0	235	28604	34693	0.0
c f	0.0	58	6420	9598	0.0
m z	0.0	110	18032	12297	0.0
ɡ ɲ	0.0	74	17351	5876	0.0
ɡ n	0.0	136	17351	20108	0.0
m s	0.0	129	18032	18097	0.0
k h	0.0	115	29746	8736	0.0
ɟ l	0.0	83	3937	34693	0.0
ɲ b	0.0	54	5876	10192	0.0
l z	0.0	144	34693	12297	0.0
ɲ ʃ	0.0	90	5876	28604	0.0
d ɟ	0.0	51	14614	3937	0.0
m v	0.0	100	18032	12467	0.0
j n	0.0	81	7379	20108	0.0
n b	0.0	94	20108	10192	0.0
p ʃ	0.0	118	11562	28604	0.0
m k	0.0	148	18032	29746	0.0
ɲ z	0.0	54	5876	12297	0.0
m t	0.0	172	18032	40876	0.0
j m	0.0	73	7379	18032	0.0
f l	0.0	115	9598	34693	0.0
m h	0.0	79	18032	8736	0.0
d l	0.0	139	14614	34693	0.0
