ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t s	0.94	4149	41754	19694	0.0
s p	0.71	2454	19694	19496	0.0
m p	0.54	2376	24011	19496	0.0
nt s	0.49	1629	12383	19694	0.0
ŋ ʎ	0.49	18	18	1670	0.0
t r	0.47	5342	41754	65860	0.0
p r	0.37	3247	19496	65860	0.0
s m	0.32	1835	19694	24011	0.0
g r	0.31	1825	7268	65860	0.0
m b	0.27	1357	24011	12704	0.0
st r	0.24	1756	8993	65860	0.0
n f	0.18	1132	31811	10056	0.0
n s	0.18	1577	31811	19694	0.0
n tʃ	0.17	1034	31811	8717	0.0
n dʒ	0.15	736	31811	5195	0.0
b r	0.1	1390	12704	65860	0.0
z b	0.09	487	8949	12704	0.0
r t	0.09	2387	65860	41754	0.0
s f	0.09	611	19694	10056	0.0
l t	0.08	1478	29363	41754	0.0
f r	0.07	1017	10056	65860	0.0
r d	0.06	1155	65860	14390	0.0
p l	0.06	849	19496	29363	0.0
nt r	0.06	1008	12383	65860	0.0
r m	0.06	1400	65860	24011	0.0
k r	0.05	1324	22136	65860	0.0
g: r	0.05	149	283	65860	0.0
n v	0.05	612	31811	10619	0.0
z g	0.05	262	8949	7268	0.0
r b	0.04	830	65860	12704	0.0
d r	0.03	849	14390	65860	0.0
r s	0.03	968	65860	19694	0.0
r k	0.03	979	65860	22136	0.0
k l	0.03	616	22136	29363	0.0
r dʒ	0.03	440	65860	5195	0.0
s v	0.02	336	19694	10619	0.0
r g	0.02	501	65860	7268	0.0
f l	0.02	390	10056	29363	0.0
r n	0.02	956	65860	31811	0.0
l v	0.02	356	29363	10619	0.0
sk r	0.02	324	4090	65860	0.0
r tʃ	0.02	470	65860	8717	0.0
p: r	0.02	205	1692	65860	0.0
t: r	0.02	413	7102	65860	0.0
l d	0.01	364	29363	14390	0.0
b: r	0.01	140	1041	65860	0.0
d z	0.01	186	14390	8949	0.0
ŋk r	0.01	184	1995	65860	0.0
r v	0.01	419	65860	10619	0.0
ŋg r	0.01	135	1191	65860	0.0
l tʃ	0.01	241	29363	8717	0.0
b l	0.01	283	12704	29363	0.0
l f	0.01	246	29363	10056	0.0
l g	0.01	207	29363	7268	0.0
l s	0.01	336	29363	19694	0.0
l m	0.01	363	29363	24011	0.0
r p	0.01	474	65860	19496	0.0
l k	0.01	337	29363	22136	0.0
l dʒ	0.01	163	29363	5195	0.0
g l	0.01	189	7268	29363	0.0
f: r	0.01	114	1299	65860	0.0
r f	0.01	305	65860	10056	0.0
l b	0.0	201	29363	12704	0.0
b: l	0.0	52	1041	29363	0.0
s d	0.0	158	19694	14390	0.0
