ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
d ʒ	2.14	7256	34524	7256	0.0
t ʃ	0.93	10500	98285	12232	0.0
n d	0.6	10755	57015	34524	0.0
ŋ g	0.5	1191	3204	9025	0.0
ŋ k	0.37	1995	3204	34547	0.0
n t	0.33	13417	57015	98285	0.0
t s	0.23	10123	98285	46037	0.0
t t	0.18	13222	98285	98285	0.0
s t	0.18	8995	46037	98285	0.0
l l	0.16	4884	39131	39131	0.0
s k	0.11	4094	46037	34547	0.0
f f	0.11	1299	12654	12654	0.0
t r	0.11	8519	98285	70360	0.0
s s	0.1	4463	46037	46037	0.0
m p	0.09	2376	27297	22880	0.0
k k	0.09	3163	34547	34547	0.0
p r	0.08	3452	22880	70360	0.0
g r	0.07	2109	9025	70360	0.0
s p	0.06	2454	46037	22880	0.0
p p	0.06	1692	22880	22880	0.0
d d	0.05	2460	34524	34524	0.0
b b	0.05	1041	14786	14786	0.0
m b	0.05	1357	27297	14786	0.0
m m	0.04	1643	27297	27297	0.0
s m	0.03	1840	46037	27297	0.0
v v	0.02	559	11737	11737	0.0
b r	0.02	1530	14786	70360	0.0
z b	0.02	487	8949	14786	0.0
n f	0.02	1132	57015	12654	0.0
f r	0.01	1131	12654	70360	0.0
k r	0.01	1855	34547	70360	0.0
r t	0.01	2858	70360	98285	0.0
n s	0.01	1673	57015	46037	0.0
r d	0.01	1595	70360	34524	0.0
r r	0.01	2251	70360	70360	0.0
r m	0.01	1400	70360	27297	0.0
g g	0.01	283	9025	9025	0.0
p l	0.01	914	22880	39131	0.0
z g	0.01	262	8949	9025	0.0
l t	0.01	1719	39131	98285	0.0
r b	0.01	830	70360	14786	0.0
s f	0.01	611	46037	12654	0.0
n n	0.01	1401	57015	57015	0.0
n v	0.01	612	57015	11737	0.0
k l	0.0	809	34547	39131	0.0
d r	0.0	1027	34524	70360	0.0
r g	0.0	501	70360	9025	0.0
r k	0.0	979	70360	34547	0.0
f l	0.0	433	12654	39131	0.0
r s	0.0	995	70360	46037	0.0
l v	0.0	356	39131	11737	0.0
r n	0.0	956	70360	57015	0.0
r v	0.0	419	70360	11737	0.0
s v	0.0	336	46037	11737	0.0
l d	0.0	527	39131	34524	0.0
b l	0.0	335	14786	39131	0.0
g l	0.0	252	9025	39131	0.0
r p	0.0	474	70360	22880	0.0
d z	0.0	197	34524	8949	0.0
l m	0.0	363	39131	27297	0.0
l f	0.0	246	39131	12654	0.0
l g	0.0	207	39131	9025	0.0
r f	0.0	305	70360	12654	0.0
l k	0.0	337	39131	34547	0.0
l b	0.0	201	39131	14786	0.0
l s	0.0	341	39131	46037	0.0
ŋ ʎ	0.0	18	3204	1670	0.0
v r	0.0	218	11737	70360	0.0
l p	0.0	193	39131	22880	0.0
r l	0.0	330	70360	39131	0.0
g m	0.0	85	9025	27297	0.0
s d	0.0	180	46037	34524	0.0
s l	0.0	154	46037	39131	0.0
p s	0.0	115	22880	46037	0.0
k s	0.0	139	34547	46037	0.0
p t	0.0	141	22880	98285	0.0
k n	0.0	118	34547	57015	0.0
k t	0.0	134	34547	98285	0.0
s n	0.0	92	46037	57015	0.0
f t	0.0	61	12654	98285	0.0
m n	0.0	59	27297	57015	0.0
b d	0.0	32	14786	34524	0.0
r ɲ	0.0	12	70360	1284	0.0
p n	0.0	44	22880	57015	0.0
t m	0.0	57	98285	27297	0.0
b s	0.0	28	14786	46037	0.0
n ʃ	0.0	25	57015	12232	0.0
m v	0.0	14	27297	11737	0.0
s r	0.0	40	46037	70360	0.0
l n	0.0	33	39131	57015	0.0
b n	0.0	17	14786	57015	0.0
t l	0.0	34	98285	39131	0.0
t n	0.0	37	98285	57015	0.0
n l	0.0	23	57015	39131	0.0
r ʎ	0.0	5	70360	1670	0.062
n m	0.0	18	57015	27297	0.0
g d	0.0	8	9025	34524	0.008
n p	0.0	15	57015	22880	0.0
b k	0.0	9	14786	34547	0.004
d s	0.0	14	34524	46037	0.0
l ʃ	0.0	7	39131	12232	0.016
n r	0.0	20	57015	70360	0.0
n b	0.0	9	57015	14786	0.004
g t	0.0	8	9025	98285	0.008
g s	0.0	5	9025	46037	0.062
m l	0.0	8	27297	39131	0.008
t d	0.0	14	98285	34524	0.0
d m	0.0	7	34524	27297	0.016
b f	0.0	3	14786	12654	0.25
m f	0.0	4	27297	12654	0.125
d v	0.0	4	34524	11737	0.125
t k	0.0	11	98285	34547	0.001
f g	0.0	2	12654	9025	0.5
g f	0.0	2	9025	12654	0.5
m t	0.0	9	27297	98285	0.004
g b	0.0	2	9025	14786	0.5
d g	0.0	3	34524	9025	0.25
k m	0.0	5	34547	27297	0.062
d n	0.0	7	34524	57015	0.016
l r	0.0	8	39131	70360	0.008
t f	0.0	5	98285	12654	0.062
k b	0.0	3	34547	14786	0.25
k d	0.0	4	34547	34524	0.125
m s	0.0	4	27297	46037	0.125
m ʃ	0.0	2	27297	12232	0.5
ʃ m	0.0	2	12232	27297	0.5
b t	0.0	4	14786	98285	0.125
t b	0.0	4	98285	14786	0.125
b m	0.0	2	14786	27297	0.5
m k	0.0	3	27297	34547	0.25
f k	0.0	2	12654	34547	0.5
v l	0.0	2	11737	39131	0.5
d k	0.0	3	34524	34547	0.25
b g	0.0	1	14786	9025	1.0
f ʃ	0.0	1	12654	12232	1.0
b v	0.0	1	14786	11737	1.0
f n	0.0	2	12654	57015	0.5
t g	0.0	2	98285	9025	0.5
t v	0.0	2	98285	11737	0.5
k g	0.0	1	34547	9025	1.0
g k	0.0	1	9025	34547	1.0
b p	0.0	1	14786	22880	1.0
v k	0.0	1	11737	34547	1.0
v s	0.0	1	11737	46037	1.0
f s	0.0	1	12654	46037	1.0
v n	0.0	1	11737	57015	1.0
p d	0.0	1	22880	34524	1.0
k p	0.0	1	34547	22880	1.0
r ʃ	0.0	1	70360	12232	1.0
m d	0.0	1	27297	34524	1.0
m r	0.0	1	27297	70360	1.0
t p	0.0	1	98285	22880	1.0
d t	0.0	1	34524	98285	1.0
