ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
d z	3.68	2937	10680	3220	0.0
t ʃ	1.56	3306	31132	3306	0.0
d ʒ	1.47	1074	10680	1074	0.0
t s	0.54	7294	31132	46179	0.0
n t	0.29	3661	22138	31132	0.0
k w	0.23	1416	21908	5909	0.0
k h	0.21	1106	21908	3884	0.0
p r	0.2	2256	12920	29110	0.0
n d	0.17	1674	22138	10680	0.0
s t	0.13	3585	46179	31132	0.0
t h	0.13	1035	31132	3884	0.0
t r	0.12	2688	31132	29110	0.0
k t	0.09	2080	21908	31132	0.0
m p	0.08	1033	14323	12920	0.0
k s	0.08	2331	21908	46179	0.0
n s	0.06	2111	22138	46179	0.0
s k	0.06	1952	46179	21908	0.0
n k	0.05	1348	22138	21908	0.0
n g	0.05	612	22138	4839	0.0
g r	0.04	613	4839	29110	0.0
b r	0.04	679	6464	29110	0.0
p l	0.04	709	12920	16052	0.0
f l	0.03	407	4895	16052	0.0
s p	0.03	1094	46179	12920	0.0
g n	0.03	460	4839	22138	0.0
m b	0.03	398	14323	6464	0.0
f r	0.02	476	4895	29110	0.0
r t	0.02	1193	29110	31132	0.0
n f	0.02	408	22138	4895	0.0
p t	0.02	756	12920	31132	0.0
k r	0.02	935	21908	29110	0.0
r k	0.02	919	29110	21908	0.0
r: h	0.02	62	810	3884	0.0
k: h	0.02	46	515	3884	0.0
r d	0.02	572	29110	10680	0.0
r m	0.01	640	29110	14323	0.0
k s:	0.01	158	21908	1352	0.0
r g	0.01	342	29110	4839	0.0
r w	0.01	367	29110	5909	0.0
k l	0.01	513	21908	16052	0.0
r b	0.01	374	29110	6464	0.0
b l	0.01	258	6464	16052	0.0
b j	0.01	53	6464	694	0.0
l t	0.01	541	16052	31132	0.0
g w	0.01	127	4839	5909	0.0
g l	0.01	206	4839	16052	0.0
r n	0.01	566	29110	22138	0.0
n w	0.01	255	22138	5909	0.0
f: l	0.01	57	408	16052	0.0
d r	0.01	360	10680	29110	0.0
h r	0.01	211	3884	29110	0.0
b s	0.01	340	6464	46179	0.0
r p	0.01	380	29110	12920	0.0
r s	0.01	686	29110	46179	0.0
n j	0.01	73	22138	694	0.0
r f	0.0	205	29110	4895	0.0
l w	0.0	147	16052	5909	0.0
m f	0.0	126	14323	4895	0.0
p: l	0.0	37	403	16052	0.0
m n	0.0	256	14323	22138	0.0
p: r	0.0	44	403	29110	0.0
g: r	0.0	15	47	29110	0.0
f: r	0.0	42	408	29110	0.0
d j	0.0	33	10680	694	0.0
p s	0.0	289	12920	46179	0.0
g m	0.0	98	4839	14323	0.0
r h	0.0	125	29110	3884	0.0
l k	0.0	218	16052	21908	0.0
l g	0.0	92	16052	4839	0.0
b d	0.0	86	6464	10680	0.0
b t	0.0	141	6464	31132	0.0
l b	0.0	99	16052	6464	0.0
b w	0.0	59	6464	5909	0.0
l p	0.0	117	16052	12920	0.0
k: l	0.0	22	515	16052	0.0
d w	0.0	59	10680	5909	0.0
n h	0.0	68	22138	3884	0.0
s m	0.0	179	46179	14323	0.0
r j	0.0	30	29110	694	0.0
l m	0.0	101	16052	14323	0.0
m w	0.0	57	14323	5909	0.0
d m	0.0	76	10680	14323	0.0
s f	0.0	88	46179	4895	0.0
l s	0.0	159	16052	46179	0.0
s: p	0.0	24	1352	12920	0.0
t: r	0.0	16	275	29110	0.0
p: h	0.0	6	403	3884	0.031
b: r	0.0	4	25	29110	0.125
h l	0.0	37	3884	16052	0.0
d h	0.0	30	10680	3884	0.0
l f	0.0	41	16052	4895	0.0
b n	0.0	54	6464	22138	0.0
r l	0.0	94	29110	16052	0.0
g d	0.0	31	4839	10680	0.0
h n	0.0	36	3884	22138	0.0
s: t	0.0	25	1352	31132	0.0
b h	0.0	18	6464	3884	0.0
s j	0.0	20	46179	694	0.0
h m	0.0	26	3884	14323	0.0
g: l	0.0	3	47	16052	0.25
k: r	0.0	13	515	29110	0.0
l d	0.0	43	16052	10680	0.0
m k	0.0	56	14323	21908	0.0
b: l	0.0	2	25	16052	0.5
t: h	0.0	3	275	3884	0.25
f t	0.0	33	4895	31132	0.0
s h	0.0	34	46179	3884	0.0
s: k	0.0	13	1352	21908	0.0
m j	0.0	7	14323	694	0.016
m s	0.0	54	14323	46179	0.0
m t	0.0	41	14323	31132	0.0
l n	0.0	35	16052	22138	0.0
n s:	0.0	10	22138	1352	0.002
s d	0.0	39	46179	10680	0.0
s w	0.0	29	46179	5909	0.0
m d	0.0	21	14323	10680	0.0
k n	0.0	37	21908	22138	0.0
p n	0.0	27	12920	22138	0.0
z m	0.0	10	3220	14323	0.002
b m	0.0	14	6464	14323	0.0
m l	0.0	22	14323	16052	0.0
d n	0.0	21	10680	22138	0.0
s b	0.0	23	46179	6464	0.0
h t	0.0	13	3884	31132	0.0
f n	0.0	12	4895	22138	0.0
s g	0.0	17	46179	4839	0.0
m g	0.0	7	14323	4839	0.016
s l	0.0	22	46179	16052	0.0
k m	0.0	14	21908	14323	0.0
t l	0.0	17	31132	16052	0.0
t w	0.0	9	31132	5909	0.004
k k	0.0	13	21908	21908	0.0
n l	0.0	11	22138	16052	0.001
b g	0.0	3	6464	4839	0.25
b f	0.0	3	6464	4895	0.25
d b	0.0	4	10680	6464	0.125
t m	0.0	10	31132	14323	0.002
s n	0.0	13	46179	22138	0.0
d s	0.0	9	10680	46179	0.004
t p	0.0	8	31132	12920	0.008
n z	0.0	3	22138	3220	0.25
m r	0.0	7	14323	29110	0.016
d p	0.0	4	10680	12920	0.125
b k	0.0	4	6464	21908	0.125
k b	0.0	4	21908	6464	0.125
b p	0.0	3	6464	12920	0.25
k d	0.0	5	21908	10680	0.062
d k	0.0	5	10680	21908	0.062
t f	0.0	4	31132	4895	0.125
d f	0.0	2	10680	4895	0.5
m h	0.0	2	14323	3884	0.5
t k	0.0	7	31132	21908	0.016
n p	0.0	4	22138	12920	0.125
t n	0.0	6	31132	22138	0.031
s r	0.0	8	46179	29110	0.008
n: s	0.0	1	467	46179	1.0
t j	0.0	1	31132	694	1.0
n r	0.0	5	22138	29110	0.062
k f	0.0	2	21908	4895	0.5
n b	0.0	2	22138	6464	0.5
d t	0.0	3	10680	31132	0.25
t g	0.0	2	31132	4839	0.5
l: n	0.0	1	1910	22138	1.0
m z	0.0	1	14323	3220	1.0
d g	0.0	1	10680	4839	1.0
l z	0.0	1	16052	3220	1.0
r z	0.0	1	29110	3220	1.0
