ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
n t	0.42	3433	22138	27826	0.0
p r	0.29	2256	12920	29110	0.0
k w	0.29	1416	25214	5909	0.0
k h	0.27	1106	25214	3884	0.0
n d	0.26	1587	22138	9606	0.0
t h	0.22	1035	27826	3884	0.0
s t	0.21	3213	38892	27826	0.0
t r	0.19	2688	27826	29110	0.0
k t	0.13	2080	25214	27826	0.0
m p	0.13	1033	14323	12920	0.0
k s	0.12	2331	25214	38892	0.0
s k	0.12	2324	38892	25214	0.0
n s	0.11	2111	22138	38892	0.0
n k	0.1	1576	22138	25214	0.0
n g	0.08	699	22138	5913	0.0
b r	0.05	679	6464	29110	0.0
p l	0.05	709	12920	16052	0.0
s p	0.05	1094	38892	12920	0.0
g r	0.05	613	5913	29110	0.0
f l	0.05	407	4895	16052	0.0
m b	0.04	398	14323	6464	0.0
r k	0.04	1107	29110	25214	0.0
g n	0.04	460	5913	22138	0.0
f r	0.03	476	4895	29110	0.0
p t	0.03	756	12920	27826	0.0
n f	0.03	408	22138	4895	0.0
r g	0.03	479	29110	5913	0.0
r t	0.03	1005	29110	27826	0.0
r: h	0.03	62	810	3884	0.0
k r	0.03	935	25214	29110	0.0
k: h	0.02	46	515	3884	0.0
r m	0.02	640	29110	14323	0.0
r w	0.02	367	29110	5909	0.0
r b	0.02	374	29110	6464	0.0
k s:	0.02	158	25214	1352	0.0
r d	0.01	435	29110	9606	0.0
k l	0.01	513	25214	16052	0.0
b l	0.01	258	6464	16052	0.0
b j	0.01	53	6464	694	0.0
r n	0.01	566	29110	22138	0.0
n w	0.01	255	22138	5909	0.0
f: l	0.01	57	408	16052	0.0
d r	0.01	360	9606	29110	0.0
g w	0.01	127	5913	5909	0.0
l t	0.01	454	16052	27826	0.0
b s	0.01	340	6464	38892	0.0
g l	0.01	206	5913	16052	0.0
r s	0.01	686	29110	38892	0.0
h r	0.01	211	3884	29110	0.0
r p	0.01	380	29110	12920	0.0
n j	0.01	73	22138	694	0.0
r f	0.01	205	29110	4895	0.0
l k	0.0	305	16052	25214	0.0
l w	0.0	147	16052	5909	0.0
m f	0.0	126	14323	4895	0.0
p: l	0.0	37	403	16052	0.0
m n	0.0	256	14323	22138	0.0
p s	0.0	289	12920	38892	0.0
p: r	0.0	44	403	29110	0.0
g: r	0.0	15	47	29110	0.0
d j	0.0	33	9606	694	0.0
f: r	0.0	42	408	29110	0.0
r h	0.0	125	29110	3884	0.0
l g	0.0	112	16052	5913	0.0
b d	0.0	86	6464	9606	0.0
g m	0.0	98	5913	14323	0.0
b t	0.0	140	6464	27826	0.0
l b	0.0	99	16052	6464	0.0
b w	0.0	59	6464	5909	0.0
l p	0.0	117	16052	12920	0.0
d w	0.0	59	9606	5909	0.0
k: l	0.0	22	515	16052	0.0
s m	0.0	179	38892	14323	0.0
n h	0.0	68	22138	3884	0.0
r j	0.0	30	29110	694	0.0
l m	0.0	101	16052	14323	0.0
d m	0.0	76	9606	14323	0.0
s f	0.0	88	38892	4895	0.0
l s	0.0	159	16052	38892	0.0
m w	0.0	57	14323	5909	0.0
s: p	0.0	24	1352	12920	0.0
t: r	0.0	16	275	29110	0.0
z m	0.0	10	282	14323	0.002
d h	0.0	30	9606	3884	0.0
p: h	0.0	6	403	3884	0.031
b: r	0.0	4	25	29110	0.125
h l	0.0	37	3884	16052	0.0
l f	0.0	41	16052	4895	0.0
b n	0.0	54	6464	22138	0.0
r l	0.0	94	29110	16052	0.0
g d	0.0	31	5913	9606	0.0
h n	0.0	36	3884	22138	0.0
s j	0.0	20	38892	694	0.0
s: t	0.0	23	1352	27826	0.0
b h	0.0	18	6464	3884	0.0
m k	0.0	68	14323	25214	0.0
h m	0.0	26	3884	14323	0.0
g: l	0.0	3	47	16052	0.25
k: r	0.0	13	515	29110	0.0
b: l	0.0	2	25	16052	0.5
t: h	0.0	3	275	3884	0.25
f t	0.0	33	4895	27826	0.0
s h	0.0	34	38892	3884	0.0
s: k	0.0	15	1352	25214	0.0
m s	0.0	54	14323	38892	0.0
m j	0.0	7	14323	694	0.016
s d	0.0	37	38892	9606	0.0
s w	0.0	29	38892	5909	0.0
l n	0.0	35	16052	22138	0.0
l d	0.0	23	16052	9606	0.0
n s:	0.0	10	22138	1352	0.002
m d	0.0	21	14323	9606	0.0
p n	0.0	27	12920	22138	0.0
k n	0.0	37	25214	22138	0.0
b m	0.0	14	6464	14323	0.0
m t	0.0	29	14323	27826	0.0
m l	0.0	22	14323	16052	0.0
s b	0.0	23	38892	6464	0.0
d n	0.0	21	9606	22138	0.0
s g	0.0	19	38892	5913	0.0
h t	0.0	13	3884	27826	0.0
n z	0.0	3	22138	282	0.25
f n	0.0	12	4895	22138	0.0
s l	0.0	22	38892	16052	0.0
t l	0.0	17	27826	16052	0.0
m g	0.0	7	14323	5913	0.016
k m	0.0	14	25214	14323	0.0
t w	0.0	9	27826	5909	0.004
d z	0.0	1	9606	282	1.0
n l	0.0	11	22138	16052	0.001
