ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
u s	0.12	16313	50281	54611	0.0
u m	0.11	11201	50281	27713	0.0
o n	0.07	10406	48236	39661	0.0
k o	0.06	11121	50763	48236	0.0
t i	0.06	15241	50669	95560	0.0
a t	0.06	13786	79132	50669	0.0
e r	0.06	12928	66710	54177	0.0
t u	0.06	10516	50669	50281	0.0
w i	0.04	6668	13352	95560	0.0
r e	0.04	11134	54177	66710	0.0
r i	0.04	12735	54177	95560	0.0
o r	0.04	8523	48236	54177	0.0
i s	0.04	12040	95560	54611	0.0
i n	0.03	10042	95560	39661	0.0
d e	0.03	5658	20111	66710	0.0
a r	0.03	10093	79132	54177	0.0
u l	0.03	5487	50281	25852	0.0
e n	0.03	7747	66710	39661	0.0
l i	0.03	7284	25852	95560	0.0
d i	0.03	6390	20111	95560	0.0
n t	0.03	6497	39661	50669	0.0
t a	0.03	9044	50669	79132	0.0
r a	0.03	9310	54177	79132	0.0
l a	0.03	6353	25852	79132	0.0
k u	0.02	6598	50763	50281	0.0
p e	0.02	4660	20112	66710	0.0
i k	0.02	8734	95560	50763	0.0
e k	0.02	6826	66710	50763	0.0
k h	0.02	1963	50763	5668	0.0
n i	0.02	7074	39661	95560	0.0
k a	0.02	7233	50763	79132	0.0
a w	0.02	3699	79132	13352	0.0
s t	0.02	5747	54611	50669	0.0
i o	0.01	7256	95560	48236	0.0
S i	0.01	1849	3256	95560	0.0
p r	0.01	3445	20112	54177	0.0
i t	0.01	7256	95560	50669	0.0
a e	0.01	7451	79132	66710	0.0
a l	0.01	4565	79132	25852	0.0
k i	0.01	6951	50763	95560	0.0
l e	0.01	4052	25852	66710	0.0
i S	0.01	1720	95560	3256	0.0
n d	0.01	2742	39661	20111	0.0
a n	0.01	5426	79132	39661	0.0
b i	0.01	3117	11306	95560	0.0
t o	0.01	4687	50669	48236	0.0
n a	0.01	5136	39661	79132	0.0
t e	0.01	5150	50669	66710	0.0
k w	0.01	2282	50763	13352	0.0
j u	0.01	720	1364	50281	0.0
l u	0.01	3134	25852	50281	0.0
s u	0.01	4541	54611	50281	0.0
m p	0.01	2039	27713	20112	0.0
w e	0.01	2576	13352	66710	0.0
a b	0.01	2550	79132	11306	0.0
o l	0.01	2982	48236	25852	0.0
t r	0.01	4386	50669	54177	0.0
a d	0.01	3335	79132	20111	0.0
r o	0.01	4112	54177	48236	0.0
o M	0.01	656	48236	1392	0.0
t h	0.01	1345	50669	5668	0.0
k t	0.01	3992	50763	50669	0.0
i m	0.01	3891	95560	27713	0.0
f i	0.01	2080	8291	95560	0.0
m i	0.01	3738	27713	95560	0.0
m e	0.01	3103	27713	66710	0.0
m a	0.01	3351	27713	79132	0.0
i g	0.01	2173	95560	9758	0.0
n s	0.01	3300	39661	54611	0.0
i l	0.01	3514	95560	25852	0.0
g e	0.01	1786	9758	66710	0.0
p o	0.01	2175	20112	48236	0.0
i a	0.01	6055	95560	79132	0.0
s k	0.01	3628	54611	50763	0.0
k e	0.01	3976	50763	66710	0.0
e L	0.01	1004	66710	3269	0.0
k s	0.01	3572	50763	54611	0.0
g i	0.01	2050	9758	95560	0.0
L a	0.01	1065	3269	79132	0.0
e s	0.01	3980	66710	54611	0.0
w a	0.01	2142	13352	79132	0.0
s i	0.01	4720	54611	95560	0.0
h i	0.01	1515	5668	95560	0.0
n k	0.01	2912	39661	50763	0.0
f e	0.01	1500	8291	66710	0.0
a k	0.01	4030	79132	50763	0.0
o s	0.01	3224	48236	54611	0.0
u b	0.0	1496	50281	11306	0.0
m u	0.0	2336	27713	50281	0.0
h o	0.0	1030	5668	48236	0.0
o m	0.0	2255	48236	27713	0.0
b u	0.0	1469	11306	50281	0.0
l o	0.0	2164	25852	48236	0.0
p a	0.0	2427	20112	79132	0.0
h e	0.0	1162	5668	66710	0.0
i u	0.0	4104	95560	50281	0.0
a K	0.0	518	79132	969	0.0
n g	0.0	1160	39661	9758	0.0
d u	0.0	1843	20111	50281	0.0
n u	0.0	2556	39661	50281	0.0
f a	0.0	1465	8291	79132	0.0
e m	0.0	2443	66710	27713	0.0
p l	0.0	1292	20112	25852	0.0
u r	0.0	2944	50281	54177	0.0
p i	0.0	2462	20112	95560	0.0
e p	0.0	2055	66710	20112	0.0
L i	0.0	982	3269	95560	0.0
g a	0.0	1530	9758	79132	0.0
i d	0.0	2408	95560	20111	0.0
i f	0.0	1538	95560	8291	0.0
s p	0.0	1799	54611	20112	0.0
a m	0.0	2531	79132	27713	0.0
e f	0.0	1263	66710	8291	0.0
b a	0.0	1575	11306	79132	0.0
h a	0.0	1114	5668	79132	0.0
g r	0.0	1193	9758	54177	0.0
a g	0.0	1418	79132	9758	0.0
m o	0.0	1862	27713	48236	0.0
e l	0.0	2095	66710	25852	0.0
e d	0.0	1833	66710	20111	0.0
d o	0.0	1558	20111	48236	0.0
r u	0.0	2607	54177	50281	0.0
i w	0.0	1782	95560	13352	0.0
o b	0.0	1165	48236	11306	0.0
d a	0.0	1990	20111	79132	0.0
e t	0.0	2851	66710	50669	0.0
i L	0.0	863	95560	3269	0.0
o g	0.0	1056	48236	9758	0.0
a T	0.0	325	79132	565	0.0
a P	0.0	343	79132	632	0.0
o L	0.0	609	48236	3269	0.0
f o	0.0	969	8291	48236	0.0
p u	0.0	1540	20112	50281	0.0
n f	0.0	874	39661	8291	0.0
n e	0.0	2465	39661	66710	0.0
u n	0.0	2130	50281	39661	0.0
b e	0.0	1291	11306	66710	0.0
e R	0.0	478	66710	1559	0.0
f l	0.0	674	8291	25852	0.0
b r	0.0	1130	11306	54177	0.0
n o	0.0	1966	39661	48236	0.0
e S	0.0	658	66710	3256	0.0
r k	0.0	2287	54177	50763	0.0
w o	0.0	1106	13352	48236	0.0
s e	0.0	2623	54611	66710	0.0
p t	0.0	1366	20112	50669	0.0
M o	0.0	349	1392	48236	0.0
L u	0.0	545	3269	50281	0.0
e g	0.0	1084	66710	9758	0.0
g n	0.0	831	9758	39661	0.0
o R	0.0	366	48236	1559	0.0
o p	0.0	1301	48236	20112	0.0
o k	0.0	2061	48236	50763	0.0
m b	0.0	736	27713	11306	0.0
R e	0.0	419	1559	66710	0.0
i b	0.0	1347	95560	11306	0.0
s a	0.0	2689	54611	79132	0.0
u t	0.0	2010	50281	50669	0.0
a s	0.0	2526	79132	54611	0.0
f r	0.0	814	8291	54177	0.0
i r	0.0	2756	95560	54177	0.0
a N	0.0	287	79132	726	0.0
a L	0.0	601	79132	3269	0.0
g o	0.0	802	9758	48236	0.0
a p	0.0	1474	79132	20112	0.0
f u	0.0	739	8291	50281	0.0
b o	0.0	843	11306	48236	0.0
k r	0.0	1888	50763	54177	0.0
u p	0.0	1142	50281	20112	0.0
a S	0.0	569	79132	3256	0.0
r t	0.0	1822	54177	50669	0.0
g u	0.0	770	9758	50281	0.0
R i	0.0	424	1559	95560	0.0
e w	0.0	1036	66710	13352	0.0
S u	0.0	429	3256	50281	0.0
u d	0.0	1057	50281	20111	0.0
w u	0.0	846	13352	50281	0.0
i p	0.0	1413	95560	20112	0.0
u k	0.0	1615	50281	50763	0.0
M i	0.0	359	1392	95560	0.0
s o	0.0	1588	54611	48236	0.0
a M	0.0	324	79132	1392	0.0
u g	0.0	682	50281	9758	0.0
o d	0.0	958	48236	20111	0.0
L e	0.0	450	3269	66710	0.0
b l	0.0	518	11306	25852	0.0
a G	0.0	90	79132	113	0.0
o K	0.0	205	48236	969	0.0
a D	0.0	82	79132	95	0.0
b j	0.0	117	11306	1364	0.0
T e	0.0	180	565	66710	0.0
N u	0.0	177	726	50281	0.0
F l	0.0	133	802	25852	0.0
i N	0.0	243	95560	726	0.0
r g	0.0	670	54177	9758	0.0
K u	0.0	202	969	50281	0.0
k l	0.0	1046	50763	25852	0.0
a u	0.0	1729	79132	50281	0.0
e F	0.0	200	66710	802	0.0
r m	0.0	1053	54177	27713	0.0
u P	0.0	152	50281	632	0.0
o t	0.0	1328	48236	50669	0.0
u R	0.0	237	50281	1559	0.0
e j	0.0	255	66710	1364	0.0
N a	0.0	201	726	79132	0.0
K h	0.0	62	969	5668	0.0
j e	0.0	252	1364	66710	0.0
r b	0.0	639	54177	11306	0.0
R u	0.0	227	1559	50281	0.0
a F	0.0	201	79132	802	0.0
M a	0.0	259	1392	79132	0.0
b s	0.0	601	11306	54611	0.0
S a	0.0	384	3256	79132	0.0
M e	0.0	228	1392	66710	0.0
M u	0.0	197	1392	50281	0.0
g w	0.0	267	9758	13352	0.0
F e	0.0	171	802	66710	0.0
N i	0.0	193	726	95560	0.0
a R	0.0	256	79132	1559	0.0
F u	0.0	146	802	50281	0.0
n w	0.0	529	39661	13352	0.0
r d	0.0	758	54177	20111	0.0
r w	0.0	610	54177	13352	0.0
R a	0.0	247	1559	79132	0.0
l t	0.0	794	25852	50669	0.0
K e	0.0	175	969	66710	0.0
S e	0.0	317	3256	66710	0.0
o f	0.0	427	48236	8291	0.0
n j	0.0	157	39661	1364	0.0
g l	0.0	339	9758	25852	0.0
R o	0.0	185	1559	48236	0.0
P e	0.0	138	632	66710	0.0
r n	0.0	962	54177	39661	0.0
S o	0.0	257	3256	48236	0.0
i T	0.0	150	95560	565	0.0
K i	0.0	193	969	95560	0.0
n p	0.0	566	39661	20112	0.0
h r	0.0	351	5668	54177	0.0
u M	0.0	167	50281	1392	0.0
e b	0.0	547	66710	11306	0.0
p s	0.0	653	20112	54611	0.0
G e	0.0	54	113	66710	0.0
i F	0.0	172	95560	802	0.0
i i	0.0	1877	95560	95560	0.0
F i	0.0	171	802	95560	0.0
d j	0.0	102	20111	1364	0.0
r s	0.0	1059	54177	54611	0.0
e u	0.0	1121	66710	50281	0.0
P r	0.0	113	632	54177	0.0
R h	0.0	56	1559	5668	0.0
a f	0.0	482	79132	8291	0.0
u F	0.0	119	50281	802	0.0
