ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
n ts	0.65	530	5587	2518	0.0
p r	0.51	521	2712	6465	0.0
n t	0.37	539	5587	4590	0.0
k w	0.27	196	4468	1059	0.0
s t	0.26	470	6177	4590	0.0
k t	0.25	396	4468	4590	0.0
g n	0.2	184	1011	5587	0.0
t r	0.18	400	4590	6465	0.0
m p	0.13	255	6024	2712	0.0
n s	0.13	366	5587	6177	0.0
n dz	0.12	145	5587	1029	0.0
g r	0.1	143	1011	6465	0.0
s ts	0.1	218	6177	2518	0.0
t h	0.09	74	4590	418	0.0
p l	0.09	155	2712	3364	0.0
k s	0.09	269	4468	6177	0.0
n k	0.08	253	5587	4468	0.0
g w	0.08	52	1011	1059	0.0
b r	0.07	158	1778	6465	0.0
f r	0.07	131	1257	6465	0.0
k r	0.06	222	4468	6465	0.0
f l	0.05	83	1257	3364	0.0
n d	0.05	99	5587	1204	0.0
k l	0.05	147	4468	3364	0.0
n tʃ	0.04	85	5587	943	0.0
n g	0.04	87	5587	1011	0.0
r w	0.04	93	6465	1059	0.0
r b	0.04	115	6465	1778	0.0
r t	0.04	182	6465	4590	0.0
s p	0.03	127	6177	2712	0.0
m b	0.03	100	6024	1778	0.0
r ts	0.03	121	6465	2518	0.0
n w	0.03	70	5587	1059	0.0
r n	0.03	168	6465	5587	0.0
s tʃ	0.02	65	6177	943	0.0
d w	0.02	30	1204	1059	0.0
l t	0.02	102	3364	4590	0.0
r k	0.02	139	6465	4468	0.0
r m	0.02	157	6465	6024	0.0
r tʃ	0.02	62	6465	943	0.0
p ts	0.02	65	2712	2518	0.0
s k	0.02	130	6177	4468	0.0
k ts	0.02	83	4468	2518	0.0
g l	0.02	45	1011	3364	0.0
n f	0.02	64	5587	1257	0.0
K h	0.02	5	103	418	0.062
p t	0.02	77	2712	4590	0.0
D r	0.02	3	3	6465	0.25
r s	0.01	134	6465	6177	0.0
n dʒ	0.01	24	5587	265	0.0
r g	0.01	45	6465	1011	0.0
r dʒ	0.01	23	6465	265	0.0
b s	0.01	58	1778	6177	0.0
b l	0.01	41	1778	3364	0.0
r dz	0.01	41	6465	1029	0.0
l w	0.01	30	3364	1059	0.0
l g	0.01	28	3364	1011	0.0
F l	0.01	7	76	3364	0.016
d r	0.01	38	1204	6465	0.0
K l	0.01	8	103	3364	0.008
m n	0.0	70	6024	5587	0.0
l k	0.0	39	3364	4468	0.0
r d	0.0	28	6465	1204	0.0
r f	0.0	28	6465	1257	0.0
P r	0.0	6	66	6465	0.031
l tʃ	0.0	16	3364	943	0.0
r p	0.0	35	6465	2712	0.0
l ts	0.0	24	3364	2518	0.0
d m	0.0	22	1204	6024	0.0
m f	0.0	21	6024	1257	0.0
l f	0.0	14	3364	1257	0.0
l m	0.0	29	3364	6024	0.0
h l	0.0	7	418	3364	0.016
l s	0.0	26	3364	6177	0.0
n h	0.0	7	5587	418	0.016
l p	0.0	13	3364	2712	0.0
l n	0.0	15	3364	5587	0.0
d s	0.0	8	1204	6177	0.008
g m	0.0	7	1011	6024	0.016
p s	0.0	11	2712	6177	0.001
s s	0.0	14	6177	6177	0.0
k n	0.0	9	4468	5587	0.004
l b	0.0	3	3364	1778	0.25
l dʒ	0.0	1	3364	265	1.0
m s	0.0	1	6024	6177	1.0
