ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
n t	0.94	1069	5595	7109	0.0
p r	0.51	521	2716	6472	0.0
s t	0.35	688	6182	7109	0.0
k w	0.22	196	5408	1059	0.0
k t	0.2	479	5408	7109	0.0
n d	0.16	244	5595	2235	0.0
g n	0.16	184	1276	5595	0.0
m p	0.13	255	6028	2716	0.0
n s	0.13	366	5595	6182	0.0
n k	0.12	338	5595	5408	0.0
t r	0.11	400	7109	6472	0.0
p l	0.09	155	2716	3366	0.0
g r	0.08	143	1276	6472	0.0
b r	0.07	158	1777	6472	0.0
k s	0.07	269	5408	6182	0.0
f r	0.07	131	1257	6472	0.0
g w	0.07	52	1276	1059	0.0
r t	0.07	303	6472	7109	0.0
t h	0.06	74	7109	418	0.0
n g	0.06	111	5595	1276	0.0
f l	0.05	83	1257	3366	0.0
k r	0.05	222	5408	6472	0.0
r w	0.04	93	6472	1059	0.0
k l	0.04	148	5408	3366	0.0
r k	0.04	201	6472	5408	0.0
r b	0.04	115	6472	1777	0.0
s k	0.04	196	6182	5408	0.0
p t	0.03	142	2716	7109	0.0
s p	0.03	128	6182	2716	0.0
m b	0.03	100	6028	1777	0.0
n w	0.03	70	5595	1059	0.0
r n	0.03	168	6472	5595	0.0
l t	0.02	126	3366	7109	0.0
r m	0.02	157	6472	6028	0.0
n f	0.02	64	5595	1257	0.0
K h	0.02	5	104	418	0.062
r g	0.02	68	6472	1276	0.0
g l	0.02	45	1276	3366	0.0
D r	0.02	3	3	6472	0.25
r s	0.01	135	6472	6182	0.0
d w	0.01	30	2235	1059	0.0
r d	0.01	69	6472	2235	0.0
b s	0.01	59	1777	6182	0.0
b l	0.01	41	1777	3366	0.0
l w	0.01	30	3366	1059	0.0
l g	0.01	29	3366	1276	0.0
F l	0.01	7	76	3366	0.016
K l	0.01	8	104	3366	0.008
l k	0.01	55	3366	5408	0.0
m n	0.0	70	6028	5595	0.0
d r	0.0	38	2235	6472	0.0
r f	0.0	28	6472	1257	0.0
P r	0.0	6	66	6472	0.031
r p	0.0	35	6472	2716	0.0
m f	0.0	21	6028	1257	0.0
l f	0.0	14	3366	1257	0.0
l m	0.0	29	3366	6028	0.0
d m	0.0	22	2235	6028	0.0
h l	0.0	7	418	3366	0.016
l s	0.0	26	3366	6182	0.0
n h	0.0	7	5595	418	0.016
l p	0.0	13	3366	2716	0.0
l n	0.0	15	3366	5595	0.0
p s	0.0	12	2716	6182	0.0
g m	0.0	7	1276	6028	0.016
s s	0.0	14	6182	6182	0.0
d s	0.0	8	2235	6182	0.008
k n	0.0	9	5408	5595	0.004
l b	0.0	3	3366	1777	0.25
m s	0.0	1	6028	6182	1.0
