ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t s	1.08	15250	50669	69852	0.0
n t	0.35	6497	39661	50669	0.0
k h	0.25	1963	43812	5668	0.0
p r	0.18	3445	20112	54177	0.0
s t	0.15	5747	69852	50669	0.0
k w	0.15	2282	43812	13352	0.0
m p	0.12	2039	27713	20112	0.0
k t	0.12	3992	43812	50669	0.0
t r	0.12	4386	50669	54177	0.0
t h	0.1	1345	50669	5668	0.0
n d	0.1	1815	39661	13721	0.0
k s	0.07	3572	43812	69852	0.0
n s	0.06	3300	39661	69852	0.0
n g	0.06	1050	39661	7708	0.0
g r	0.06	1193	7708	54177	0.0
n k	0.06	2433	39661	43812	0.0
n dz	0.06	927	39661	6390	0.0
p l	0.05	1292	20112	25852	0.0
s k	0.05	3019	69852	43812	0.0
n f	0.04	874	39661	8291	0.0
s p	0.04	1799	69852	20112	0.0
g n	0.04	831	7708	39661	0.0
f l	0.03	674	8291	25852	0.0
b r	0.03	1130	11306	54177	0.0
p t	0.03	1366	20112	50669	0.0
m b	0.03	736	27713	11306	0.0
r k	0.03	1981	54177	43812	0.0
k r	0.02	1888	43812	54177	0.0
f r	0.02	814	8291	54177	0.0
r t	0.02	1822	54177	50669	0.0
k l	0.02	1046	43812	25852	0.0
b l	0.02	518	11306	25852	0.0
b j	0.01	117	11306	1364	0.0
F l	0.01	133	802	25852	0.0
n tʃ	0.01	479	39661	6951	0.0
s tʃ	0.01	609	69852	6951	0.0
r m	0.01	1053	54177	27713	0.0
K h	0.01	62	969	5668	0.0
g w	0.01	267	7708	13352	0.0
r b	0.01	639	54177	11306	0.0
g l	0.01	339	7708	25852	0.0
d j	0.01	102	13721	1364	0.0
r g	0.01	472	54177	7708	0.0
n w	0.01	529	39661	13352	0.0
r w	0.01	610	54177	13352	0.0
l t	0.01	794	25852	50669	0.0
b s	0.01	601	11306	69852	0.0
n j	0.01	157	39661	1364	0.0
r n	0.01	962	54177	39661	0.0
d r	0.01	565	13721	54177	0.0
n p	0.01	566	39661	20112	0.0
h r	0.01	351	5668	54177	0.0
P r	0.01	113	632	54177	0.0
R h	0.01	56	1559	5668	0.0
r dʒ	0.01	198	54177	2050	0.0
r dz	0.01	343	54177	6390	0.0
d f	0.01	193	13721	8291	0.0
p s	0.0	653	20112	69852	0.0
P l	0.0	70	632	25852	0.0
r s	0.0	1059	54177	69852	0.0
r tʃ	0.0	306	54177	6951	0.0
d p	0.0	260	13721	20112	0.0
m f	0.0	235	27713	8291	0.0
r p	0.0	509	54177	20112	0.0
r d	0.0	415	54177	13721	0.0
G r	0.0	35	113	54177	0.0
d w	0.0	191	13721	13352	0.0
l tʃ	0.0	183	25852	6951	0.0
n l	0.0	430	39661	25852	0.0
s m	0.0	581	69852	27713	0.0
l w	0.0	236	25852	13352	0.0
d s	0.0	388	13721	69852	0.0
n dʒ	0.0	110	39661	2050	0.0
l g	0.0	163	25852	7708	0.0
K l	0.0	57	969	25852	0.0
m n	0.0	374	27713	39661	0.0
l k	0.0	377	25852	43812	0.0
r f	0.0	237	54177	8291	0.0
F r	0.0	71	802	54177	0.0
l b	0.0	168	25852	11306	0.0
g m	0.0	140	7708	27713	0.0
T r	0.0	51	565	54177	0.0
