segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[n|s|p|k|h|g|d|b|t|r|l|m|f] [n|s|p|j|k|h|g|d|w|b|t|r|l|m|f]	+cons,-long -long	0.0017	88130	378692	393408	0.0
[s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S] [n|s|p|j|k|h|g|d|w|b|t|r|l|m|f]	+cons -long	0.0017	88863	392135	393408	0.0
[n|s|p|k|h|g|d|b|t|r|l|m|f] [s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S]	+cons,-long -syll	0.0016	88152	378692	406851	0.0
[n|s|p|j|k|h|g|d|w|b|t|r|l|m|f] [n|s|p|j|k|h|g|d|w|b|t|r|l|m|f]	-long -long	0.0016	88144	393408	393408	0.0
[s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S] [s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S]	+cons -syll	0.0016	88885	392135	406851	0.0
[s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S] [n|s|p|j|k|h|g|d|w|b|t|r|l|m|f]	-syll -long	0.0016	88877	406851	393408	0.0
[n|s|p|j|k|h|g|d|w|b|t|r|l|m|f] [s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S]	-long -syll	0.0016	88166	393408	406851	0.0
[n|s|p|k|h|g|d|b|t|r|l|m|f] [n|s|p|k|h|g|d|b|t|r|l|m|f]	+cons,-long +cons,-long	0.0016	83305	378692	378692	0.0
[s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S] [s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S]	-syll -syll	0.0015	88899	406851	406851	0.0
[s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S] [n|s|p|k|h|g|d|b|t|r|l|m|f]	+cons +cons,-long	0.0015	84017	392135	378692	0.0
