ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
n t	0.44	6497	39661	50669	0.0
k h	0.28	1963	50763	5668	0.0
s t	0.25	5747	54611	50669	0.0
p r	0.23	3445	20112	54177	0.0
n d	0.2	2742	39661	20111	0.0
k w	0.16	2282	50763	13352	0.0
m p	0.16	2039	27713	20112	0.0
t r	0.15	4386	50669	54177	0.0
t h	0.13	1345	50669	5668	0.0
k t	0.13	3992	50763	50669	0.0
n s	0.11	3300	39661	54611	0.0
s k	0.1	3628	54611	50763	0.0
k s	0.1	3572	50763	54611	0.0
n k	0.09	2912	39661	50763	0.0
n g	0.07	1160	39661	9758	0.0
p l	0.07	1292	20112	25852	0.0
s p	0.06	1799	54611	20112	0.0
g r	0.06	1193	9758	54177	0.0
n f	0.05	874	39661	8291	0.0
f l	0.04	674	8291	25852	0.0
b r	0.04	1130	11306	54177	0.0
r k	0.04	2287	54177	50763	0.0
p t	0.04	1366	20112	50669	0.0
g n	0.04	831	9758	39661	0.0
m b	0.04	736	27713	11306	0.0
f r	0.03	814	8291	54177	0.0
k r	0.03	1888	50763	54177	0.0
r t	0.03	1822	54177	50669	0.0
b l	0.02	518	11306	25852	0.0
b j	0.02	117	11306	1364	0.0
F l	0.02	133	802	25852	0.0
r g	0.02	670	54177	9758	0.0
k l	0.02	1046	50763	25852	0.0
r m	0.02	1053	54177	27713	0.0
K h	0.01	62	969	5668	0.0
r b	0.01	639	54177	11306	0.0
b s	0.01	601	11306	54611	0.0
g w	0.01	267	9758	13352	0.0
n w	0.01	529	39661	13352	0.0
r d	0.01	758	54177	20111	0.0
r w	0.01	610	54177	13352	0.0
l t	0.01	794	25852	50669	0.0
n j	0.01	157	39661	1364	0.0
g l	0.01	339	9758	25852	0.0
r n	0.01	962	54177	39661	0.0
n p	0.01	566	39661	20112	0.0
h r	0.01	351	5668	54177	0.0
p s	0.01	653	20112	54611	0.0
d j	0.01	102	20111	1364	0.0
r s	0.01	1059	54177	54611	0.0
