ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ŋ ɡ	0.49	579	773	1301	0.0
n d	0.2	352	987	947	0.0
ɓ ee	0.18	62	208	149	0.0
k E	0.16	619	1478	2364	0.0
m b	0.1	246	1012	878	0.0
t E	0.09	348	809	2364	0.0
n ɟ	0.09	176	987	505	0.0
ɡ E	0.07	388	1301	2364	0.0
E r	0.06	340	2364	1230	0.0
s E	0.06	226	578	2364	0.0
an j	0.05	50	126	638	0.0
j aan	0.04	46	638	125	0.0
ɡ a	0.04	269	1301	2206	0.0
d E	0.03	226	947	2364	0.0
u m	0.03	134	796	1012	0.0
ɡ o	0.03	153	1301	821	0.0
d O	0.03	93	947	420	0.0
b a	0.03	198	878	2206	0.0
e r	0.03	134	722	1230	0.0
k a	0.03	245	1478	2206	0.0
k u	0.03	147	1478	796	0.0
m a	0.03	201	1012	2206	0.0
a n	0.03	195	2206	987	0.0
a l	0.03	177	2206	832	0.0
d a	0.03	188	947	2206	0.0
ɡ e	0.02	125	1301	722	0.0
a ŋ	0.02	168	2206	773	0.0
u r	0.02	125	796	1230	0.0
l a	0.02	171	832	2206	0.0
ɟ E	0.02	137	505	2364	0.0
a r	0.02	195	2206	1230	0.0
b u	0.02	98	878	796	0.0
ɟ a	0.02	123	505	2206	0.0
E l	0.02	163	2364	832	0.0
E m	0.02	179	2364	1012	0.0
ɟ i	0.02	76	505	855	0.0
e l	0.02	89	722	832	0.0
un j	0.02	15	27	638	0.0
b i	0.02	98	878	855	0.0
u l	0.02	91	796	832	0.0
i j	0.02	82	855	638	0.0
b e	0.02	88	878	722	0.0
a m	0.02	164	2206	1012	0.0
d ii	0.02	31	947	86	0.0
b aa	0.02	44	878	188	0.0
i r	0.02	111	855	1230	0.0
e t	0.02	82	722	809	0.0
r i	0.02	110	1230	855	0.0
i ŋ	0.02	87	855	773	0.0
o r	0.02	105	821	1230	0.0
o j	0.02	75	821	638	0.0
t a	0.02	138	809	2206	0.0
b E	0.01	141	878	2364	0.0
w a	0.01	82	319	2206	0.0
k O	0.01	77	1478	420	0.0
