segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[t] [s|s'|ɬ'|ʃ|ʃ']	+anterior,-cg,-lateral,-strident,-voice +strident,-voice	0.0044	239	300	397	0.0
[c|t] [s|s'|ɬ'|ʃ|ʃ']	-cg,-lateral,-voice +strident,-voice	0.0044	239	300	397	0.0
[c|t|x] [s|s'|ɬ'|ʃ|ʃ']	-cg,-sonorant,-strident,-voice +strident,-voice	0.0043	239	307	397	0.0
[t|t'] [s|s'|ɬ'|ʃ|ʃ']	+anterior,-lateral,-strident,-voice +strident,-voice	0.0039	239	339	397	0.0
[c|t|t'] [s|s'|ɬ'|ʃ|ʃ']	-lateral,-strident,-voice +strident,-voice	0.0039	239	339	397	0.0
[c|t|t'|x] [s|s'|ɬ'|ʃ|ʃ']	-sonorant,-strident,-voice +strident,-voice	0.0038	239	346	397	0.0
[t|ɬ] [s|s'|ɬ'|ʃ|ʃ']	+anterior,-cg,-strident,-voice +strident,-voice	0.0037	239	354	397	0.0
[c|t|ɬ] [s|s'|ɬ'|ʃ|ʃ']	+coronal,-cg,-strident,-voice +strident,-voice	0.0037	239	354	397	0.0
[c|k|p|t] [s|s'|ɬ'|ʃ|ʃ']	-cg,-continuant,-voice +strident,-voice	0.0037	239	357	397	0.0
[t] [s'|ɬ'|ʃ']	+anterior,-cg,-lateral,-strident,-voice +cg,+strident	0.0037	120	300	120	0.0
[c|t] [s'|ɬ'|ʃ']	-cg,-lateral,-voice +cg,+strident	0.0037	120	300	120	0.0
[c|t|x] [s'|ɬ'|ʃ']	-cg,-sonorant,-strident,-voice +cg,+strident	0.0036	120	307	120	0.0
[s'|t|t'] [s|s'|ɬ'|ʃ|ʃ']	+anterior,-lateral,-voice +strident,-voice	0.0035	239	379	397	0.0
[c|s'|t|t'] [s|s'|ɬ'|ʃ|ʃ']	-lateral,-voice +strident,-voice	0.0035	239	379	397	0.0
[t|t'|ɬ] [s|s'|ɬ'|ʃ|ʃ']	+anterior,-strident,-voice +strident,-voice	0.0034	239	393	397	0.0
[t|t'] [s'|ɬ'|ʃ']	+anterior,-lateral,-strident,-voice +cg,+strident	0.0033	120	339	120	0.0
[c|t|t'] [s'|ɬ'|ʃ']	-lateral,-strident,-voice +cg,+strident	0.0033	120	339	120	0.0
[c|t|t'|x] [s'|ɬ'|ʃ']	-sonorant,-strident,-voice +cg,+strident	0.0032	120	346	120	0.0
[t|ɬ] [s'|ɬ'|ʃ']	+anterior,-cg,-strident,-voice +cg,+strident	0.0031	120	354	120	0.0
[c|t|ɬ] [s'|ɬ'|ʃ']	+coronal,-cg,-strident,-voice +cg,+strident	0.0031	120	354	120	0.0
[c|k|p|t] [s'|ɬ'|ʃ']	-cg,-continuant,-voice +cg,+strident	0.0031	120	357	120	0.0
[c|s'|t|t'|ʃ'] [s|s'|ɬ'|ʃ|ʃ']	+coronal,-continuant,-voice +strident,-voice	0.0031	239	431	397	0.0
[s|t] [s|s'|ɬ'|ʃ|ʃ']	+anterior,-cg,-sonorant,-voice +strident,-voice	0.003	239	437	397	0.0
[s'|t|t'] [s'|ɬ'|ʃ']	+anterior,-lateral,-voice +cg,+strident	0.0029	120	379	120	0.0
[c|s'|t|t'] [s'|ɬ'|ʃ']	-lateral,-voice +cg,+strident	0.0029	120	379	120	0.0
[t] [s'|ʃ']	+anterior,-cg,-lateral,-strident,-voice +strident,-continuant	0.0028	92	300	92	0.0
[c|t] [s'|ʃ']	-cg,-lateral,-voice +strident,-continuant	0.0028	92	300	92	0.0
[t|t'|ɬ] [s'|ɬ'|ʃ']	+anterior,-strident,-voice +cg,+strident	0.0028	120	393	120	0.0
[c|t|x] [s'|ʃ']	-cg,-sonorant,-strident,-voice +strident,-continuant	0.0028	92	307	92	0.0
[t] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	+anterior,-cg,-lateral,-strident,-voice +strident	0.0027	239	300	651	0.0
[c|t] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	-cg,-lateral,-voice +strident	0.0027	239	300	651	0.0
[c|t|x] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	-cg,-sonorant,-strident,-voice +strident	0.0026	239	307	651	0.0
[c|s'|t|t'|ʃ'] [s'|ɬ'|ʃ']	+coronal,-continuant,-voice +cg,+strident	0.0026	120	431	120	0.0
