ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t ʃ'	5.41	52	300	52	0.0
t s'	4.16	40	300	40	0.0
t s	2.92	62	300	137	0.0
t ɬ'	2.91	28	300	28	0.0
t ʃ	2.41	57	300	140	0.0
d ʒ	1.13	37	269	141	0.0
ʃ x	0.51	4	140	7	0.124
d z	0.41	20	269	113	0.0
d ɮ	0.39	22	269	144	0.0
s x	0.29	3	137	7	0.249
t ɬ	0.12	8	300	54	0.008
ʃ t	0.11	12	140	300	0.0
s t	0.06	9	137	300	0.004
ʃ d	0.05	8	140	269	0.008
ɬ k	0.04	2	54	57	0.499
k w	0.04	1	57	15	1.0
ʃ k	0.04	3	140	57	0.249
ɬ t	0.03	4	54	300	0.124
ɮ j	0.03	3	144	73	0.249
ʃ t'	0.02	2	140	39	0.499
ɮ t'	0.02	2	144	39	0.499
ʃ k'	0.02	2	140	54	0.499
ʔ m	0.02	1	317	6	1.0
h b	0.02	2	153	50	0.499
ɬ t'	0.01	1	54	39	1.0
h k	0.01	2	153	57	0.499
h w	0.01	1	153	15	1.0
s d	0.01	4	137	269	0.124
ʒ ɣ	0.01	1	141	19	1.0
ɮ d	0.01	3	144	269	0.249
w ʔ	0.01	1	15	317	1.0
ʔ w	0.01	1	317	15	1.0
ɮ t	0.01	3	144	300	0.249
ʃ g	0.01	1	140	36	1.0
h s	0.01	2	153	137	0.499
s t'	0.01	1	137	39	1.0
s b	0.0	1	137	50	1.0
ʃ b	0.0	1	140	50	1.0
s k'	0.0	1	137	54	1.0
h k'	0.0	1	153	54	1.0
n d	0.0	2	147	269	0.499
n t	0.0	2	147	300	0.499
ɮ ʔ	0.0	2	144	317	0.499
ʔ g	0.0	1	317	36	1.0
ɬ d	0.0	1	54	269	1.0
s z	0.0	1	137	113	1.0
z n	0.0	1	113	147	1.0
ɮ ʒ	0.0	1	144	141	1.0
ʒ ɮ	0.0	1	141	144	1.0
n n	0.0	1	147	147	1.0
h d	0.0	1	153	269	1.0
ʒ t	0.0	1	141	300	1.0
s ʔ	0.0	1	137	317	1.0
ʔ n	0.0	1	317	147	1.0
d ʔ	0.0	1	269	317	1.0
ʔ d	0.0	1	317	269	1.0
