ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t s	0.98	987	3550	4577	0.0
t ɬ'	0.87	188	3550	188	0.0
t ʃ'	0.8	174	3550	174	0.0
d z	0.42	1026	12176	3340	0.0
ʔ d	0.33	1536	9575	12176	0.0
ʔ g	0.33	1013	9575	5366	0.0
t ʃ	0.29	302	3550	1432	0.0
ʔ n	0.19	1184	9575	12654	0.0
ɬ t	0.18	212	1155	3550	0.0
ɮ t	0.15	457	6310	3550	0.0
ɮ ʔ	0.1	605	6310	9575	0.0
h w	0.08	171	10822	557	0.0
ɮ j	0.06	283	6310	3246	0.0
h g	0.06	449	10822	5366	0.0
h ʔ	0.06	598	10822	9575	0.0
n ʔ	0.06	644	12654	9575	0.0
ʔ h	0.05	575	9575	10822	0.0
ʃ x	0.05	23	1432	120	0.0
k w	0.05	57	1967	557	0.0
s t	0.04	210	4577	3550	0.0
d ɮ	0.04	455	12176	6310	0.0
z d	0.04	330	3340	12176	0.0
ɮ n	0.04	459	6310	12654	0.0
s x	0.04	38	4577	120	0.0
ʔ ɮ	0.04	386	9575	6310	0.0
s k	0.04	145	4577	1967	0.0
s d	0.04	359	4577	12176	0.0
ɬ ts'	0.04	35	1155	473	0.0
ɮ k	0.03	142	6310	1967	0.0
s t'	0.03	110	4577	1630	0.0
n d	0.03	490	12654	12176	0.0
ʃ t	0.02	88	1432	3550	0.0
ʔ k	0.02	167	9575	1967	0.0
ɮ g	0.02	222	6310	5366	0.0
ʔ dʒ	0.02	145	9575	1663	0.0
ʔ s	0.02	232	9575	4577	0.0
ʔ t	0.02	189	9575	3550	0.0
z n	0.02	209	3340	12654	0.0
h d	0.02	364	10822	12176	0.0
z ʔ	0.02	178	3340	9575	0.0
ɮ w	0.02	59	6310	557	0.0
z ts'	0.02	39	3340	473	0.0
ʔ z	0.02	173	9575	3340	0.0
ʔ b	0.01	159	9575	2902	0.0
ʔ j	0.01	166	9575	3246	0.0
n g	0.01	241	12654	5366	0.0
t ɬ	0.01	59	3550	1155	0.0
ɮ ʒ	0.01	46	6310	425	0.0
h dʒ	0.01	119	10822	1663	0.0
n h	0.01	326	12654	10822	0.0
s ʔ	0.01	184	4577	9575	0.0
ɮ ts'	0.01	47	6310	473	0.0
t x	0.01	17	3550	120	0.0
s n	0.01	189	4577	12654	0.0
n t	0.01	165	12654	3550	0.0
ɬ k	0.01	36	1155	1967	0.0
ɮ z	0.01	109	6310	3340	0.0
ɬ n	0.01	86	1155	12654	0.0
s ts'	0.01	33	4577	473	0.0
ɮ t'	0.01	71	6310	1630	0.0
z t	0.01	76	3340	3550	0.0
z g	0.01	90	3340	5366	0.0
ɮ d	0.01	183	6310	12176	0.0
s g	0.01	103	4577	5366	0.0
ʃ' x	0.01	3	174	120	0.25
ɬ g	0.01	51	1155	5366	0.0
