ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ʃ t'	0.84	257	3461	649	0.0
ʃ t	0.57	216	3461	676	0.0
ʃ cʃ	0.49	152	3461	393	0.0
ts x	0.48	21	379	69	0.0
s ts'	0.46	85	1688	266	0.0
d z	0.43	213	4476	672	0.0
d ɮ	0.37	264	4476	1191	0.0
s ts	0.35	89	1688	379	0.0
cʃ x	0.34	18	393	69	0.0
ɮ cʃ	0.32	72	1191	393	0.0
ʃ tɬ'	0.29	85	3461	209	0.0
ʃ k	0.27	140	3461	606	0.0
ʃ g	0.25	135	3461	594	0.0
s s	0.23	151	1688	1688	0.0
ɮ ʒ	0.21	58	1191	379	0.0
ʃ ʔ	0.21	337	3461	4404	0.0
ʃ ɟʒ	0.2	91	3461	341	0.0
n d	0.19	394	5188	4476	0.0
t ɬ	0.19	98	676	2183	0.0
h w	0.18	43	3950	75	0.0
ʃ ɣ	0.17	103	3461	510	0.0
s x	0.17	26	1688	69	0.0
ɮ ɣ	0.16	59	1191	510	0.0
ʔ n	0.14	339	4404	5188	0.0
ʃ cʃ'	0.14	78	3461	366	0.0
s d	0.13	182	1688	4476	0.0
ʃ d	0.12	254	3461	4476	0.0
ʃ n	0.11	268	3461	5188	0.0
ʃ ɬ	0.1	162	3461	2183	0.0
ɮ t	0.1	52	1191	676	0.0
k w	0.09	12	606	75	0.0
ɬ t	0.07	59	2183	676	0.0
ʔ d	0.06	210	4404	4476	0.0
ɬ ts'	0.06	36	2183	266	0.0
ʃ k'	0.06	61	3461	508	0.0
ɮ k	0.05	37	1191	606	0.0
ɬ ts	0.05	38	2183	379	0.0
s b	0.04	51	1688	1003	0.0
ʃ ʒ	0.04	42	3461	379	0.0
ʃ h	0.04	131	3461	3950	0.0
s m	0.03	9	1688	45	0.004
ɬ cʃ	0.03	30	2183	393	0.0
ɬ k'	0.03	34	2183	508	0.0
ɬ k	0.03	37	2183	606	0.0
s g	0.03	32	1688	594	0.0
s t	0.03	34	1688	676	0.0
ɮ cʃ'	0.03	21	1191	366	0.0
ʃ b	0.03	57	3461	1003	0.0
ɬ t'	0.02	35	2183	649	0.0
s k	0.02	29	1688	606	0.0
ɮ ts'	0.02	16	1191	266	0.0
s tɬ'	0.02	16	1688	209	0.0
ɬ cʃ'	0.02	24	2183	366	0.0
s t'	0.02	26	1688	649	0.0
s z	0.01	24	1688	672	0.0
ɮ d	0.01	52	1191	4476	0.0
ɬ d	0.01	61	2183	4476	0.0
ɮ ʔ	0.01	43	1191	4404	0.0
ɬ h	0.01	53	2183	3950	0.0
ʃ ʃ	0.01	62	3461	3461	0.0
ɬ b	0.01	26	2183	1003	0.0
ɮ z	0.01	15	1191	672	0.0
ɮ j	0.01	15	1191	681	0.0
ɬ g	0.01	18	2183	594	0.0
ɬ n	0.01	53	2183	5188	0.0
ɮ ɟʒ	0.01	10	1191	341	0.002
ɬ ʔ	0.01	48	2183	4404	0.0
ɮ g	0.01	12	1191	594	0.0
ɮ k'	0.01	11	1191	508	0.001
ɮ tɬ'	0.01	7	1191	209	0.016
h ɟʒ	0.01	16	3950	341	0.0
h g	0.01	21	3950	594	0.0
z t'	0.01	9	672	649	0.004
n ts	0.01	19	5188	379	0.0
ɬ tɬ'	0.01	9	2183	209	0.004
ɮ t'	0.0	11	1191	649	0.001
s ʔ	0.0	34	1688	4404	0.0
z g	0.0	7	672	594	0.016
ɮ n	0.0	27	1191	5188	0.0
ɬ x	0.0	4	2183	69	0.125
ʃ m	0.0	4	3461	45	0.125
n ʔ	0.0	48	5188	4404	0.0
z ts	0.0	5	672	379	0.062
s k'	0.0	9	1688	508	0.004
ɬ ɟʒ	0.0	8	2183	341	0.008
z ʔ	0.0	15	672	4404	0.0
z b	0.0	7	672	1003	0.016
z ɮ	0.0	7	672	1191	0.016
s ɣ	0.0	7	1688	510	0.016
ɮ ts	0.0	5	1191	379	0.062
ʔ g	0.0	12	4404	594	0.0
ʃ j	0.0	11	3461	681	0.001
z k	0.0	4	672	606	0.125
z n	0.0	11	672	5188	0.001
z m	0.0	1	672	45	1.0
ʒ cʃ'	0.0	2	379	366	0.5
ʒ cʃ	0.0	2	379	393	0.5
z k'	0.0	3	672	508	0.25
