segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[n] [z|ɗ|d]	+nasal,+cor -son,+cor,+voice	0.0086	790	1116	2032	0.0
[ŋ|ɲ|m|n] [b|ɡ|d]	+nasal,-syllabic -imp	0.0074	2115	3874	4887	0.0
[n] [d]	+nasal,+cor -imp,+cor	0.0072	484	1116	908	0.0
[ŋ|ɲ|m|n] [ɡ|z|v|b|ɗ|ɓ|d]	+nasal,-syllabic -son,+voice	0.0072	2421	3874	6588	0.0
[ɡ] [b]	+vel,-imp -imp,+lab	0.0068	924	2124	1855	0.0
[ŋ] [ɡ]	+vel,+nasal +vel,-imp	0.0064	766	1349	2124	0.0
[ŋ|ɲ|m|n] [ɡ|b|ɗ|ɓ|d]	+nasal,-syllabic -son,-cont,+voice	0.0062	2115	3874	5815	0.0
[ɡ|n|ŋ|m|b|ɗ|ɓ|ɲ|d] [b|ɡ|d]	-cont,+voice -imp	0.0061	3039	9689	4887	0.0
[w|ɡ] [b]	+vel,+voice,-nasal -imp,+lab	0.0059	924	2424	1855	0.0
[ŋ] [w|ɡ]	+vel,+nasal +vel,+voice,-nasal	0.0056	766	1349	2424	0.0
[ɡ|n|ŋ|m|b|ɗ|ɓ|ɲ|d] [ɡ|z|v|b|ɗ|ɓ|d]	-cont,+voice -son,+voice	0.0055	3345	9689	6588	0.0
[ɡ] [b|ɓ]	+vel,-imp -cont,+voice,-nasal,+lab	0.0055	924	2124	2302	0.0
[ŋ|ɡ] [b|ɡ|d]	+vel,+voice,-round -imp	0.0053	1690	3473	4887	0.0
[w|ŋ] [ɡ]	+vel,+son +vel,-imp	0.0052	766	1649	2124	0.0
[ŋ|ɲ|m|n] [ɡ|n|ŋ|m|b|ɗ|ɓ|ɲ|d]	+nasal,-syllabic -cont,+voice	0.0052	2500	3874	9689	0.0
[ŋ|ɲ|m|n] [ɡ|z|l|v|b|ɗ|ɓ|r|d]	+nasal,-syllabic +voice,-nasal,+cons	0.0052	2421	3874	9093	0.0
[ɡ] [v|b|ɓ]	+vel,-imp -son,+voice,+lab	0.0052	924	2124	2432	0.0
[ɡ|n|ŋ|m|b|ɗ|ɓ|ɲ|d] [ɡ|b|ɗ|ɓ|d]	-cont,+voice -son,-cont,+voice	0.0051	3039	9689	5815	0.0
[ŋ|ɲ|m|n] [ɡ|j|z|l|v|b|ɗ|ɓ|r|d]	+nasal,-syllabic -syllabic,+voice,-nasal,-round	0.005	2421	3874	9417	0.0
[ŋ|ɲ|m|n] [ɡ]	+nasal,-syllabic +vel,-imp	0.005	1147	3874	2124	0.0
[n] [z|ɗ|t|s|d]	+nasal,+cor -son,+cor	0.005	790	1116	3515	0.0
[ŋ|ɲ|m|n] [ɡ|j|z|l|v|b|ɗ|ɓ|w|r|d]	+nasal,-syllabic -syllabic,+voice,-nasal	0.0049	2435	3874	9717	0.0
