ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
n d	0.34	484	1116	908	0.0
ɡ b	0.31	924	2124	1855	0.0
ŋ ɡ	0.3	766	1349	2124	0.0
k p	0.2	395	1864	605	0.0
n z	0.19	306	1116	643	0.0
m b	0.14	484	1275	1855	0.0
ŋ m	0.12	385	1349	1275	0.0
v w	0.1	51	130	300	0.0
b a	0.09	711	1855	4385	0.0
m ɡ	0.08	380	1275	2124	0.0
l i	0.06	394	2378	1702	0.0
l a	0.04	516	2378	4385	0.0
a l	0.04	509	4385	2378	0.0
l o	0.04	303	2378	1597	0.0
l ɛ	0.03	330	2378	1923	0.0
l e	0.03	220	2378	913	0.0
k ɔ	0.03	262	1864	1676	0.0
a ŋ	0.03	349	4385	1349	0.0
k a	0.03	401	1864	4385	0.0
o l	0.03	271	1597	2378	0.0
ɛ l	0.03	291	1923	2378	0.0
z a	0.03	228	643	4385	0.0
u l	0.03	282	1820	2378	0.0
a k	0.03	384	4385	1864	0.0
b ɛ	0.03	253	1855	1923	0.0
k o	0.02	224	1864	1597	0.0
i l	0.02	257	1702	2378	0.0
ɔ l	0.02	254	1676	2378	0.0
ɓ u	0.02	112	447	1820	0.0
d a	0.02	243	908	4385	0.0
a n	0.02	269	4385	1116	0.0
l u	0.02	241	2378	1820	0.0
ɡ a	0.02	352	2124	4385	0.0
e l	0.02	166	913	2378	0.0
p a	0.02	182	605	4385	0.0
b o	0.02	192	1855	1597	0.0
k u	0.02	204	1864	1820	0.0
t u	0.02	132	800	1820	0.0
z ɛ	0.02	117	643	1923	0.0
b i	0.02	186	1855	1702	0.0
ɡ o	0.02	190	2124	1597	0.0
b u	0.01	186	1855	1820	0.0
s a	0.01	174	683	4385	0.0
s i	0.01	107	683	1702	0.0
d i	0.01	123	908	1702	0.0
j a	0.01	115	324	4385	0.0
d u	0.01	124	908	1820	0.0
f ũ	0.01	17	345	92	0.0
l ɔ	0.01	190	2378	1676	0.0
ɔ k	0.01	168	1676	1864	0.0
s ɛ	0.01	108	683	1923	0.0
b ɔ	0.01	165	1855	1676	0.0
f u	0.01	74	345	1820	0.0
ɗ ɛ	0.01	89	481	1923	0.0
d ɔ	0.01	114	908	1676	0.0
t e	0.01	78	800	913	0.0
ɓ a	0.01	126	447	4385	0.0
ɛ ŋ	0.01	143	1923	1349	0.0
a t	0.01	164	4385	800	0.0
t i	0.01	102	800	1702	0.0
t a	0.01	162	800	4385	0.0
t o	0.01	96	800	1597	0.0
ɲ a	0.01	65	134	4385	0.0
l ĩ	0.01	44	2378	115	0.0
ɔ ŋ	0.01	126	1676	1349	0.0
d o	0.01	99	908	1597	0.0
ɗ o	0.01	72	481	1597	0.0
k ɛ	0.01	155	1864	1923	0.0
b e	0.01	105	1855	913	0.0
ɗ a	0.01	117	481	4385	0.0
s ɔ	0.01	86	683	1676	0.0
w a	0.01	92	300	4385	0.0
j ɔ	0.01	59	324	1676	0.0
p u	0.01	83	605	1820	0.0
ɡ ɔ	0.01	149	2124	1676	0.0
m a	0.01	184	1275	4385	0.0
i n	0.01	107	1702	1116	0.0
s u	0.01	86	683	1820	0.0
o k	0.01	133	1597	1864	0.0
a m	0.01	181	4385	1275	0.0
a ɓ	0.01	106	4385	447	0.0
w i	0.01	54	300	1702	0.0
m ɔ	0.01	110	1275	1676	0.0
ɡ u	0.01	145	2124	1820	0.0
ɛ k	0.01	139	1923	1864	0.0
ɛ n	0.01	107	1923	1116	0.0
ɗ i	0.01	66	481	1702	0.0
u t	0.01	88	1820	800	0.0
t ɛ	0.01	90	800	1923	0.0
p ɛ	0.01	78	605	1923	0.0
l ɛ̃	0.01	49	2378	199	0.0
d ɛ	0.01	94	908	1923	0.0
ɓ o	0.01	60	447	1597	0.0
ɛ ɗ	0.01	67	1923	481	0.0
z u	0.01	75	643	1820	0.0
ɡ e	0.01	96	2124	913	0.0
a ɗ	0.01	100	4385	481	0.0
z i	0.01	71	643	1702	0.0
i k	0.01	119	1702	1864	0.0
p ã	0.01	27	605	275	0.0
d e	0.01	60	908	913	0.0
u k	0.01	121	1820	1864	0.0
v ĩ	0.01	8	130	115	0.008
ɡ ɛ	0.01	132	2124	1923	0.0
o ɗ	0.01	57	1597	481	0.0
o ŋ	0.01	95	1597	1349	0.0
u s	0.01	72	1820	683	0.0
u ɗ	0.01	60	1820	481	0.0
t ɔ	0.01	74	800	1676	0.0
ɛ̃ l	0.01	43	199	2378	0.0
k i	0.01	111	1864	1702	0.0
l ã	0.01	50	2378	275	0.0
ã l	0.01	50	275	2378	0.0
ɗ u	0.01	57	481	1820	0.0
ɔ n	0.01	81	1676	1116	0.0
ɲ ɔ	0.01	28	134	1676	0.0
p o	0.01	58	605	1597	0.0
ɛ t	0.01	73	1923	800	0.0
u m	0.0	89	1820	1275	0.0
j ɛ	0.0	46	324	1923	0.0
f a	0.0	71	345	4385	0.0
p i	0.0	58	605	1702	0.0
ɲ ɛ	0.0	29	134	1923	0.0
h ã	0.0	10	112	275	0.002
t ũ	0.0	15	800	92	0.0
j e	0.0	30	324	913	0.0
v ũ	0.0	6	130	92	0.031
s ɔ̃	0.0	19	683	176	0.0
i ŋ	0.0	83	1702	1349	0.0
e e	0.0	50	913	913	0.0
u r	0.0	26	1820	127	0.0
p e	0.0	40	605	913	0.0
a s	0.0	93	4385	683	0.0
w e	0.0	28	300	913	0.0
w o	0.0	37	300	1597	0.0
f ɛ̃	0.0	14	345	199	0.0
f o	0.0	39	345	1597	0.0
n a	0.0	115	1116	4385	0.0
f ɛ	0.0	42	345	1923	0.0
p ɔ	0.0	51	605	1676	0.0
ɗ ɔ	0.0	45	481	1676	0.0
