ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
n d	4.22	484	1116	908	0.0
ɡ b	3.95	924	2124	1855	0.0
ŋ ɡ	3.73	766	1349	2124	0.0
k p	2.52	395	1864	605	0.0
n z	2.38	306	1116	643	0.0
m b	1.81	484	1275	1855	0.0
ŋ m	1.57	385	1349	1275	0.0
v w	1.22	51	130	300	0.0
m ɡ	0.97	380	1275	2124	0.0
n w	0.01	14	1116	300	0.0
r h	0.01	2	127	112	0.5
r k	0.0	5	127	1864	0.062
r t	0.0	3	127	800	0.25
r w	0.0	1	127	300	1.0
r ɓ	0.0	1	127	447	1.0
r ɡ	0.0	2	127	2124	0.5
t r	0.0	1	800	127	1.0
d r	0.0	1	908	127	1.0
r d	0.0	1	127	908	1.0
r n	0.0	1	127	1116	1.0
r m	0.0	1	127	1275	1.0
r ŋ	0.0	1	127	1349	1.0
r b	0.0	1	127	1855	1.0
k t	0.0	1	1864	800	1.0
k n	0.0	1	1864	1116	1.0
ɡ n	0.0	1	2124	1116	1.0
n ɡ	0.0	1	1116	2124	1.0
l ŋ	0.0	1	2378	1349	1.0
