segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[c] [ɕ]	-back,-strid,-voice +strid,-back,-voice	0.0114	17756	17761	25276	0.0
[c|ɟ] [ɕ|ʑ]	-back,-strid +strid,-back	0.0113	19848	19848	28480	0.0
[c|ɟ] [ɕ]	-back,-strid +strid,-back,-voice	0.0102	17794	19848	25276	0.0
[ɟ] [ʑ]	+voice,-back,-strid +strid,+voice,-back	0.0102	2049	2087	3204	0.0
[c] [ɕ|ʑ]	-back,-strid,-voice +strid,-back	0.0101	17761	17761	28480	0.0
[ɖ|ɟ] [ʑ]	+voice,-ant,-strid +strid,+voice,-back	0.009	2049	2359	3204	0.0
[c|ʈ] [ɕ|ʂ]	-ant,-strid,-voice +strid,-ant,-voice	0.0083	28602	28615	55732	0.0
[c|ɖ|ɟ|ʈ] [ɕ|ʂ]	-ant,-strid +strid,-ant,-voice	0.0077	28646	30974	55732	0.0
[c|ɖ|ɟ|ʈ] [ɕ|ʂ|ʐ|ʑ]	-ant,-strid +strid,-ant	0.0076	30974	30974	66430	0.0
[c|ɖ|ɟ|ʈ] [ɕ|ʑ]	-ant,-strid +strid,-back	0.0072	19848	30974	28480	0.0
[c|ʈ] [ɕ]	-ant,-strid,-voice +strid,-back,-voice	0.0071	17756	28615	25276	0.0
[c|ʈ] [ɕ|ʂ|ʐ|ʑ]	-ant,-strid,-voice +strid,-ant	0.007	28615	28615	66430	0.0
[c] [c|ɕ]	-back,-strid,-voice -back,-voice	0.0067	17756	17761	43037	0.0
[c|ɟ] [c|ɕ|ɟ|ʑ]	-back,-strid -back,-son	0.0067	19848	19848	48328	0.0
[c|ɖ|ɟ|ʈ] [ɕ]	-ant,-strid +strid,-back,-voice	0.0066	17794	30974	25276	0.0
[c|ʈ] [ɕ|ʑ]	-ant,-strid,-voice +strid,-back	0.0063	17761	28615	28480	0.0
[ɟ] [ɟ|ʑ]	+voice,-back,-strid +voice,-back	0.0062	2049	2087	5291	0.0
[c|ɟ] [c|ɕ]	-back,-strid -back,-voice	0.006	17794	19848	43037	0.0
[c] [c|ɕ|ɟ|ʑ]	-back,-strid,-voice -back,-son	0.006	17761	17761	48328	0.0
[ʈ] [ʂ]	+back,-strid,-voice +back,+strid,-voice	0.0058	10846	10854	30456	0.0
[ɖ|ʈ] [ʂ]	+back,-strid +back,+strid,-voice	0.0056	10852	11126	30456	0.0
[c|ʈ] [c|ɕ|ʂ|ʈ]	-ant,-strid,-voice -ant,-voice	0.0055	28602	28615	84347	0.0
[ɖ|ɟ] [ɟ|ʑ]	+voice,-ant,-strid +voice,-back	0.0055	2049	2359	5291	0.0
[c] [ɕ|ʂ]	-back,-strid,-voice +strid,-ant,-voice	0.0052	17756	17761	55732	0.0
[c|ɖ|ɟ|ʈ] [c|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ]	-ant,-strid -ant,-son	0.0052	30974	30974	97404	0.0
[c|ɖ|ɟ|ʈ] [c|ɕ|ʂ|ʈ]	-ant,-strid -ant,-voice	0.0051	28646	30974	84347	0.0
[c|ɟ|ɲ] [ɕ|ʑ]	-back,-cont +strid,-back	0.0049	19848	45531	28480	0.0
[c|ɟ] [j|ɕ|ʑ]	-back,-strid +cont,-back	0.0049	19848	19848	65790	0.0
[c|ɟ] [ɕ|ʂ|ʐ|ʑ]	-back,-strid +strid,-ant	0.0048	19848	19848	66430	0.0
