ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
n k	0.68	2061	11768	11186	0.0
j r	0.48	1350	8867	8980	0.0
j tʃ	0.36	1063	8867	7408	0.0
j p	0.28	675	8867	3903	0.0
s q	0.22	406	3759	4108	0.0
n t	0.21	733	11768	4550	0.0
n r	0.19	980	11768	8980	0.0
t ʃʰ	0.16	35	4550	35	0.0
n tʃ	0.14	753	11768	7408	0.0
j q	0.1	417	8867	4108	0.0
q tʃ'	0.1	79	4108	324	0.0
n p	0.09	451	11768	3903	0.0
l q	0.07	151	1610	4108	0.0
j t	0.06	342	8867	4550	0.0
j k	0.05	496	8867	11186	0.0
n d	0.05	66	11768	164	0.0
j t'	0.05	74	8867	276	0.0
q m	0.04	219	4108	5678	0.0
q tʃ	0.04	250	4108	7408	0.0
q r	0.04	262	4108	8980	0.0
n m	0.04	346	11768	5678	0.0
j k'	0.04	72	8867	341	0.0
s t	0.04	171	3759	4550	0.0
s k'	0.03	45	3759	341	0.0
j w	0.03	193	8867	2669	0.0
s p	0.03	148	3759	3903	0.0
q k	0.03	260	4108	11186	0.0
j m	0.03	269	8867	5678	0.0
n b	0.03	75	11768	377	0.0
q s	0.03	137	4108	3759	0.0
n p'	0.02	56	11768	230	0.0
n q	0.02	236	11768	4108	0.0
r r	0.02	293	8980	8980	0.0
r t	0.02	197	8980	4550	0.0
ʎ p	0.02	68	1253	3903	0.0
r m	0.02	204	8980	5678	0.0
q t	0.02	119	4108	4550	0.0
j n	0.01	260	8867	11768	0.0
j l	0.01	92	8867	1610	0.0
m b	0.01	34	5678	377	0.0
n kʰ	0.01	29	11768	149	0.0
l t	0.01	59	1610	4550	0.0
s k	0.01	138	3759	11186	0.0
b r	0.01	39	377	8980	0.0
n s	0.01	138	11768	3759	0.0
n n	0.01	232	11768	11768	0.0
t r	0.01	125	4550	8980	0.0
ʃ kʰ	0.01	10	1790	149	0.002
r w	0.01	92	8980	2669	0.0
q p	0.01	74	4108	3903	0.0
n w	0.01	101	11768	2669	0.0
l d	0.01	9	1610	164	0.004
s kʰ	0.01	13	3759	149	0.0
k ʎ	0.01	64	11186	1253	0.0
j j	0.01	146	8867	8867	0.0
r g	0.01	19	8980	149	0.0
q w	0.01	54	4108	2669	0.0
j s	0.01	93	8867	3759	0.0
j h	0.01	54	8867	1299	0.0
j b	0.01	29	8867	377	0.0
n q'	0.01	31	11768	334	0.0
n t'	0.01	28	11768	276	0.0
n qʰ	0.01	40	11768	564	0.0
q q'	0.0	18	4108	334	0.0
s s	0.0	57	3759	3759	0.0
s r	0.0	86	3759	8980	0.0
j qʰ	0.0	32	8867	564	0.0
j ʎ	0.0	45	8867	1253	0.0
r s	0.0	75	8980	3759	0.0
r p	0.0	76	8980	3903	0.0
n k'	0.0	24	11768	341	0.0
n j	0.0	119	11768	8867	0.0
n h	0.0	45	11768	1299	0.0
m p'	0.0	13	5678	230	0.0
j kʰ	0.0	13	8867	149	0.0
r tʃ	0.0	90	8980	7408	0.0
m p	0.0	50	5678	3903	0.0
j tʃ'	0.0	18	8867	324	0.0
q ʎ	0.0	24	4108	1253	0.0
b l	0.0	8	377	1610	0.008
w r	0.0	48	2669	8980	0.0
j g	0.0	11	8867	149	0.001
q h	0.0	22	4108	1299	0.0
j ʃ	0.0	37	8867	1790	0.0
n f	0.0	10	11768	101	0.002
t n	0.0	65	4550	11768	0.0
s m	0.0	41	3759	5678	0.0
s tʃ	0.0	45	3759	7408	0.0
m m	0.0	48	5678	5678	0.0
q n	0.0	55	4108	11768	0.0
q qʰ	0.0	12	4108	564	0.0
g r	0.0	9	149	8980	0.004
n ʎ	0.0	29	11768	1253	0.0
s n	0.0	50	3759	11768	0.0
j f	0.0	7	8867	101	0.016
w qʰ	0.0	9	2669	564	0.004
q b	0.0	9	4108	377	0.004
l tʃ	0.0	24	1610	7408	0.0
s qʰ	0.0	10	3759	564	0.002
j pʰ	0.0	7	8867	120	0.016
r pʰ	0.0	7	8980	120	0.016
j d	0.0	8	8867	164	0.008
r q	0.0	40	8980	4108	0.0
s f	0.0	4	3759	101	0.125
q j	0.0	39	4108	8867	0.0
s p'	0.0	6	3759	230	0.031
n g	0.0	8	11768	149	0.008
l p	0.0	15	1610	3903	0.0
s j	0.0	32	3759	8867	0.0
s h	0.0	12	3759	1299	0.0
k t	0.0	37	11186	4550	0.0
r k	0.0	51	8980	11186	0.0
f l	0.0	2	101	1610	0.5
tʃ' ʎ	0.0	3	324	1253	0.25
s tʰ	0.0	1	3759	12	1.0
q t'	0.0	5	4108	276	0.062
ʃʰ h	0.0	1	35	1299	1.0
j q'	0.0	8	8867	334	0.008
n tʃ'	0.0	9	11768	324	0.004
l pʰ	0.0	2	1610	120	0.5
l s	0.0	11	1610	3759	0.001
t tʰ	0.0	1	4550	12	1.0
q pʰ	0.0	3	4108	120	0.25
k tʃ'	0.0	8	11186	324	0.008
s ʎ	0.0	9	3759	1253	0.004
q q	0.0	17	4108	4108	0.0
s w	0.0	13	3759	2669	0.0
k n	0.0	47	11186	11768	0.0
s t'	0.0	4	3759	276	0.125
q g	0.0	3	4108	149	0.25
r b	0.0	7	8980	377	0.016
q d	0.0	3	4108	164	0.25
s q'	0.0	4	3759	334	0.125
q l	0.0	9	4108	1610	0.004
r q'	0.0	6	8980	334	0.031
l r	0.0	13	1610	8980	0.0
n pʰ	0.0	4	11768	120	0.125
s b	0.0	4	3759	377	0.125
r d	0.0	4	8980	164	0.125
f r	0.0	3	101	8980	0.25
q p'	0.0	3	4108	230	0.25
w m	0.0	12	2669	5678	0.0
l k	0.0	13	1610	11186	0.0
r n	0.0	31	8980	11768	0.0
l m	0.0	9	1610	5678	0.004
k tʃ	0.0	27	11186	7408	0.0
w l	0.0	6	2669	1610	0.031
r k'	0.0	5	8980	341	0.062
x tʃ	0.0	1	17	7408	1.0
p l	0.0	7	3903	1610	0.016
r p'	0.0	4	8980	230	0.125
w h	0.0	5	2669	1299	0.062
n tʰ	0.0	1	11768	12	1.0
l n	0.0	11	1610	11768	0.001
l f	0.0	1	1610	101	1.0
d r	0.0	3	164	8980	0.25
n l	0.0	10	11768	1610	0.002
ʃ k	0.0	10	1790	11186	0.002
r l	0.0	8	8980	1610	0.008
s l	0.0	5	3759	1610	0.062
m s	0.0	9	5678	3759	0.004
w f	0.0	1	2669	101	1.0
k l	0.0	8	11186	1610	0.008
ʎ p'	0.0	1	1253	230	1.0
w k	0.0	10	2669	11186	0.002
w pʰ	0.0	1	2669	120	1.0
r h	0.0	6	8980	1299	0.031
q k'	0.0	2	4108	341	0.5
p r	0.0	10	3903	8980	0.002
w kʰ	0.0	1	2669	149	1.0
q f	0.0	1	4108	101	1.0
k' ʎ	0.0	1	341	1253	1.0
q' h	0.0	1	334	1299	1.0
k r	0.0	15	11186	8980	0.0
pʰ s	0.0	1	120	3759	1.0
l q'	0.0	1	1610	334	1.0
s g	0.0	1	3759	149	1.0
l b	0.0	1	1610	377	1.0
w p'	0.0	1	2669	230	1.0
