ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t ʃ	6.04	189	522	214	0.0
t ʃ'	2.53	70	522	70	0.0
t ʃʰ	1.41	39	522	39	0.0
n t	0.6	75	342	522	0.0
x t	0.43	35	102	522	0.0
n k	0.2	30	342	254	0.0
m p	0.18	23	242	234	0.0
n q	0.1	17	342	161	0.0
j k	0.09	15	180	254	0.0
s k	0.09	18	275	254	0.0
ʎ p	0.09	13	157	234	0.0
r p	0.08	16	262	234	0.0
x ʎ	0.08	8	102	157	0.008
r k	0.07	16	262	254	0.0
x r	0.07	10	102	262	0.002
ʃ k	0.05	12	214	254	0.0
s p	0.05	13	275	234	0.0
j k'	0.05	6	180	81	0.031
s q	0.04	10	275	161	0.002
r q'	0.04	6	262	66	0.031
s q'	0.04	6	275	66	0.031
ʎ q	0.04	7	157	161	0.015
j t	0.03	13	180	522	0.0
n k'	0.03	7	342	81	0.015
x w	0.03	6	102	201	0.031
j ʎ	0.03	7	180	157	0.015
n t'	0.03	6	342	61	0.031
s k'	0.03	6	275	81	0.031
r q	0.03	8	262	161	0.008
m p'	0.03	3	242	27	0.25
j w	0.03	7	180	201	0.015
r kʰ	0.03	4	262	46	0.125
j n	0.02	9	180	342	0.004
x s	0.02	6	102	275	0.031
j m	0.02	7	180	242	0.015
j r	0.02	7	180	262	0.015
ʎ p'	0.02	2	157	27	0.5
ʃ kʰ	0.02	3	214	46	0.25
l t	0.02	7	103	522	0.015
m pʰ	0.02	3	242	44	0.25
r m	0.01	7	262	242	0.015
w p	0.01	6	201	234	0.031
x m	0.01	4	102	242	0.125
x t'	0.01	2	102	61	0.5
s t	0.01	9	275	522	0.004
s p'	0.01	2	275	27	0.5
s t'	0.01	3	275	61	0.25
x j	0.01	3	102	180	0.25
r w	0.01	5	262	201	0.062
w s	0.01	5	201	275	0.062
n qʰ	0.01	3	342	61	0.25
ʎ m	0.01	4	157	242	0.125
n tʰ	0.01	2	342	29	0.5
n q'	0.01	3	342	66	0.25
x p	0.01	3	102	234	0.25
j t'	0.01	2	180	61	0.5
l m	0.01	3	103	242	0.25
x tʰ	0.01	1	102	29	1.0
j q'	0.01	2	180	66	0.5
ʎ k'	0.01	2	157	81	0.5
j q	0.01	3	180	161	0.25
n r	0.01	5	342	262	0.062
n s	0.01	5	342	275	0.062
x n	0.0	3	102	342	0.25
n kʰ	0.0	2	342	46	0.5
r qʰ	0.0	2	262	61	0.5
w k'	0.0	2	201	81	0.5
ʎ k	0.0	3	157	254	0.25
ʎ t	0.0	4	157	522	0.125
r k'	0.0	2	262	81	0.5
l k	0.0	2	103	254	0.5
s m	0.0	3	275	242	0.25
j pʰ	0.0	1	180	44	1.0
w q	0.0	2	201	161	0.5
j kʰ	0.0	1	180	46	1.0
l k'	0.0	1	103	81	1.0
r t	0.0	4	262	522	0.125
ʃ q	0.0	2	214	161	0.5
ʃ pʰ	0.0	1	214	44	1.0
x l	0.0	1	102	103	1.0
ʃ w	0.0	2	214	201	0.5
w t	0.0	3	201	522	0.25
j s	0.0	2	180	275	0.5
l q	0.0	1	103	161	1.0
j l	0.0	1	180	103	1.0
h w	0.0	1	96	201	1.0
l w	0.0	1	103	201	1.0
s n	0.0	2	275	342	0.5
r l	0.0	1	262	103	1.0
ʎ w	0.0	1	157	201	1.0
w j	0.0	1	201	180	1.0
j p	0.0	1	180	234	1.0
s ʎ	0.0	1	275	157	1.0
w k	0.0	1	201	254	1.0
w r	0.0	1	201	262	1.0
s w	0.0	1	275	201	1.0
ʃ r	0.0	1	214	262	1.0
m s	0.0	1	242	275	1.0
r n	0.0	1	262	342	1.0
ʃ t	0.0	1	214	522	1.0
