ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ɲ tʃ	1.99	30	100	189	0.0
ŋ k'	1.95	7	13	81	0.015
n t	1.68	39	169	224	0.0
ʃ k	1.08	12	25	224	0.0
x tʃ	0.56	16	102	189	0.0
ɴ qʰ	0.47	3	13	61	0.249
x t	0.47	16	102	224	0.0
ɴ q'	0.44	3	13	66	0.249
m p	0.39	23	242	234	0.0
ʃ kʰ	0.33	3	25	46	0.249
ŋ kʰ	0.28	2	13	46	0.5
j k	0.23	15	180	224	0.0
s k	0.22	18	275	224	0.0
ʎ p	0.19	13	157	234	0.0
r k	0.18	16	262	224	0.0
r p	0.17	16	262	234	0.0
x ʎ	0.17	8	102	157	0.008
x r	0.16	10	102	262	0.002
n t'	0.15	6	169	61	0.031
s p	0.11	13	275	234	0.0
s q	0.11	10	275	144	0.002
j k'	0.1	6	180	81	0.031
ɲ tʃ'	0.1	4	100	70	0.124
ʎ q	0.09	7	157	144	0.015
l t	0.09	7	103	224	0.015
j n	0.09	8	180	169	0.008
r q'	0.09	6	262	66	0.031
s q'	0.08	6	275	66	0.031
x w	0.07	6	102	201	0.031
j ʎ	0.07	7	180	157	0.015
r q	0.07	8	262	144	0.008
s k'	0.07	6	275	81	0.031
j t	0.07	8	180	224	0.008
m p'	0.06	3	242	27	0.249
j w	0.06	7	180	201	0.015
r kʰ	0.06	4	262	46	0.124
s t	0.05	9	275	224	0.004
x s	0.05	6	102	275	0.031
x tʃ'	0.05	3	102	70	0.249
j m	0.05	7	180	242	0.015
ʃ q	0.05	2	25	144	0.5
j r	0.04	7	180	262	0.015
ʃ tʃʰ	0.04	1	25	39	1.0
ɲ tʃʰ	0.04	2	100	39	0.5
ʎ p'	0.04	2	157	27	0.5
ʃ pʰ	0.04	1	25	44	1.0
m pʰ	0.04	3	242	44	0.249
n tʰ	0.03	2	169	29	0.5
ʃ w	0.03	2	25	201	0.5
r m	0.03	7	262	242	0.015
w p	0.03	6	201	234	0.031
x m	0.03	4	102	242	0.124
x t'	0.03	2	102	61	0.5
n r	0.02	5	169	262	0.062
s p'	0.02	2	275	27	0.5
n s	0.02	5	169	275	0.062
s t'	0.02	3	275	61	0.249
x n	0.02	3	102	169	0.249
x j	0.02	3	102	180	0.249
r w	0.02	5	262	201	0.062
w s	0.02	5	201	275	0.062
ʎ m	0.02	4	157	242	0.124
x p	0.02	3	102	234	0.249
j t'	0.02	2	180	61	0.5
l m	0.02	3	103	242	0.249
j q	0.01	3	180	144	0.249
x tʰ	0.01	1	102	29	1.0
j q'	0.01	2	180	66	0.5
j tʃ'	0.01	2	180	70	0.5
ʎ k'	0.01	2	157	81	0.5
ʎ k	0.01	3	157	224	0.249
r qʰ	0.01	2	262	61	0.5
w k'	0.01	2	201	81	0.5
r k'	0.01	2	262	81	0.5
l k	0.01	2	103	224	0.5
ʎ tʃʰ	0.01	1	157	39	1.0
r t	0.01	3	262	224	0.249
ʃ r	0.01	1	25	262	1.0
j tʃʰ	0.01	1	180	39	1.0
w q	0.01	2	201	144	0.5
s m	0.01	3	275	242	0.249
ʎ tʃ	0.01	2	157	189	0.5
j pʰ	0.01	1	180	44	1.0
j kʰ	0.01	1	180	46	1.0
l k'	0.01	1	103	81	1.0
j tʃ	0.0	2	180	189	0.5
x l	0.0	1	102	103	1.0
ʎ tʃ'	0.0	1	157	70	1.0
j s	0.0	2	180	275	0.5
w tʃ'	0.0	1	201	70	1.0
l q	0.0	1	103	144	1.0
j ɲ	0.0	1	180	100	1.0
j l	0.0	1	180	103	1.0
h w	0.0	1	96	201	1.0
l w	0.0	1	103	201	1.0
r l	0.0	1	262	103	1.0
s ɲ	0.0	1	275	100	1.0
ʎ w	0.0	1	157	201	1.0
w j	0.0	1	201	180	1.0
w tʃ	0.0	1	201	189	1.0
j p	0.0	1	180	234	1.0
s ʎ	0.0	1	275	157	1.0
r n	0.0	1	262	169	1.0
w t	0.0	1	201	224	1.0
w k	0.0	1	201	224	1.0
s n	0.0	1	275	169	1.0
r tʃ	0.0	1	262	189	1.0
w r	0.0	1	201	262	1.0
s w	0.0	1	275	201	1.0
m s	0.0	1	242	275	1.0
