+anterior	l,n,r,s,t,t',tʰ
+anterior,+cg	t'
+anterior,+cont	l,r,s
+anterior,+coronal,-cont,-son	t,t',tʰ
+anterior,+lateral	l
+anterior,+nasal	n
+anterior,+sg	tʰ
+anterior,+son	l,n,r
+anterior,+strid	s
+anterior,-cg	s,t,tʰ
+anterior,-cg,-cont	t,tʰ
+anterior,-cg,-cont,-sg	t
+anterior,-cg,-sg	s,t
+anterior,-cont	n,t,t',tʰ
+anterior,-cont,-sg	t,t'
+anterior,-lateral	n,r
+anterior,-lateral,-nasal	r
+anterior,-nasal	l,r
+anterior,-sg	s,t,t'
+back	a,o,u,w
+back,+high	u,w
+back,+high,+syll	u
+back,+low	a
+back,+syll	a,o,u
+back,+syll,-low	o,u
+back,-high	a,o
+back,-high,-low	o
+back,-low	o,u,w
+back,-nasal	w
+cg	k',p',q',t',ʃ'
+cg,+coronal	t',ʃ'
+cg,+dorsal	k',q'
+cg,+high	k'
+cg,+labial	p'
+cg,+strid	ʃ'
+cg,-cont	k',p',q',t'
+cg,-high	q'
+cont	a,e,h,i,j,l,o,r,s,u,w,x,ʃ,ʃ',ʃʰ,ʎ
+cont,+coronal	l,r,s,ʃ,ʃ',ʃʰ,ʎ
+cont,+high	i,j,u,w,x
+cont,+high,-syll	j,w,x
+cont,+sg	h,ʃʰ
+cont,+son	a,e,i,j,l,o,r,u,w,ʎ
+cont,-anterior	ʃ,ʃ',ʃʰ,ʎ
+cont,-cg	h,s,ʃ,ʃʰ
+cont,-low	e,i,j,o,u,w
+cont,-son	h,s,x,ʃ,ʃ',ʃʰ
+cont,-syll	h,j,l,r,s,w,x,ʃ,ʃ',ʃʰ,ʎ
+coronal	l,n,r,s,t,t',tʰ,ɲ,ʃ,ʃ',ʃʰ,ʎ
+coronal,+nasal	n,ɲ
+coronal,+sg	tʰ,ʃʰ
+coronal,+son	l,n,r,ɲ,ʎ
+coronal,-cg	s,t,tʰ,ʃ,ʃʰ
+coronal,-cg,-sg	s,t,ʃ
+coronal,-cont	n,t,t',tʰ,ɲ
+coronal,-lateral	n,r,ɲ
+coronal,-nasal	l,r,ʎ
+coronal,-sg	s,t,t',ʃ,ʃ'
+coronal,-son	s,t,t',tʰ,ʃ,ʃ',ʃʰ
+dorsal	k,k',kʰ,q,q',qʰ,x,ŋ,ɴ
+dorsal,+high	k,k',kʰ,x
+dorsal,+nasal	ŋ,ɴ
