segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[t] [ʃʰ|ʃ|ʃ']	-cg,-cont,+anterior,-sg -anterior,+strid	0.02	546	879	561	0.0
[t|tʰ] [ʃʰ|ʃ|ʃ']	-cg,-cont,+anterior -anterior,+strid	0.0187	546	939	561	0.0
[t] [ʃ|ʃ']	-cg,-cont,+anterior,-sg -anterior,-sg	0.0172	472	879	487	0.0
[t|t'] [ʃʰ|ʃ|ʃ']	-cont,+coronal,-sg -anterior,+strid	0.0172	546	1022	561	0.0
[t|tʰ|t'] [ʃʰ|ʃ|ʃ']	-cont,+anterior,-son -anterior,+strid	0.0163	546	1082	561	0.0
[t|tʰ] [ʃ|ʃ']	-cg,-cont,+anterior -anterior,-sg	0.0161	472	939	487	0.0
[t|t'] [ʃ|ʃ']	-cont,+coronal,-sg -anterior,-sg	0.0148	472	1022	487	0.0
[t|tʰ|t'] [ʃ|ʃ']	-cont,+anterior,-son -anterior,-sg	0.014	472	1082	487	0.0
[t] [ʃʰ|ʃ]	-cg,-cont,+anterior,-sg -cg,-anterior	0.0132	366	879	381	0.0
[t|s] [ʃʰ|ʃ|ʃ']	-cg,+anterior,-sg -anterior,+strid	0.013	546	1355	561	0.0
[t|tʰ|s] [ʃʰ|ʃ|ʃ']	-cg,+anterior -anterior,+strid	0.0124	546	1415	561	0.0
[t|tʰ] [ʃʰ|ʃ]	-cg,-cont,+anterior -cg,-anterior	0.0124	366	939	381	0.0
[t|s|t'] [ʃʰ|ʃ|ʃ']	+anterior,-sg -anterior,+strid	0.0117	546	1498	561	0.0
[t|t'] [ʃʰ|ʃ]	-cont,+coronal,-sg -cg,-anterior	0.0114	366	1022	381	0.0
[t] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	-cg,-cont,+anterior,-sg -anterior	0.0114	546	879	988	0.0
[t] [ʃʰ|ʎ|ʃ|ʃ']	-cg,-cont,+anterior,-sg -anterior,+cont	0.0114	546	879	988	0.0
[t|tʰ|s|t'] [ʃʰ|ʃ|ʃ']	+anterior,-son -anterior,+strid	0.0113	546	1558	561	0.0
[t|s] [ʃ|ʃ']	-cg,+anterior,-sg -anterior,-sg	0.0112	472	1355	487	0.0
[t|tʰ|n|t'] [ʃʰ|ʃ|ʃ']	-cont,+anterior -anterior,+strid	0.0111	546	1586	561	0.0
[tʰ|n|ɲ|t|t'] [ʃʰ|ʃ|ʃ']	-cont,+coronal -anterior,+strid	0.0111	546	1586	561	0.0
[t] [ʃʰ|s|ʃ|ʃ']	-cg,-cont,+anterior,-sg +strid	0.0108	546	879	1037	0.0
[t|tʰ|t'] [ʃʰ|ʃ]	-cont,+anterior,-son -cg,-anterior	0.0108	366	1082	381	0.0
[t|tʰ|s] [ʃ|ʃ']	-cg,+anterior -anterior,-sg	0.0107	472	1415	487	0.0
[t|tʰ] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	-cg,-cont,+anterior -anterior	0.0106	546	939	988	0.0
[t|tʰ] [ʃʰ|ʎ|ʃ|ʃ']	-cg,-cont,+anterior -anterior,+cont	0.0106	546	939	988	0.0
[t|s|ʃ] [ʃʰ|ʃ|ʃ']	-cg,+coronal,-sg -anterior,+strid	0.0106	546	1662	561	0.0
[t] [ʃ]	-cg,-cont,+anterior,-sg -cg,-anterior,-sg	0.0105	292	879	307	0.0
[t|tʰ] [ʃʰ|s|ʃ|ʃ']	-cg,-cont,+anterior +strid	0.0101	546	939	1037	0.0
[t|s|t'] [ʃ|ʃ']	+anterior,-sg -anterior,-sg	0.0101	472	1498	487	0.0
[s|tʰ|ʃ|ʃʰ|t] [ʃʰ|ʃ|ʃ']	-cg,+coronal -anterior,+strid	0.0098	546	1796	561	0.0
[t|tʰ] [ʃ]	-cg,-cont,+anterior -cg,-anterior,-sg	0.0098	292	939	307	0.0
[t|t'] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	-cont,+coronal,-sg -anterior	0.0098	546	1022	988	0.0
[t|t'] [ʃʰ|ʎ|ʃ|ʃ']	-cont,+coronal,-sg -anterior,+cont	0.0098	546	1022	988	0.0
[t|tʰ|s|t'] [ʃ|ʃ']	+anterior,-son -anterior,-sg	0.0097	472	1558	487	0.0
[t|tʰ|n|t'] [ʃ|ʃ']	-cont,+anterior -anterior,-sg	0.0096	472	1586	487	0.0
[tʰ|n|ɲ|t|t'] [ʃ|ʃ']	-cont,+coronal -anterior,-sg	0.0096	472	1586	487	0.0
[t|p|k|q] [ʃʰ|ʃ|ʃ']	-cg,-cont,-sg -anterior,+strid	0.0095	546	1843	561	0.0
[t|t'] [ʃʰ|s|ʃ|ʃ']	-cont,+coronal,-sg +strid	0.0093	546	1022	1037	0.0
[t|tʰ|t'] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	-cont,+anterior,-son -anterior	0.0092	546	1082	988	0.0
[t|tʰ|t'] [ʃʰ|ʎ|ʃ|ʃ']	-cont,+anterior,-son -anterior,+cont	0.0092	546	1082	988	0.0
[t|s|ʃ] [ʃ|ʃ']	-cg,+coronal,-sg -anterior,-sg	0.0091	472	1662	487	0.0
[t|t'] [ʃ]	-cont,+coronal,-sg -cg,-anterior,-sg	0.009	292	1022	307	0.0
[s|ʃ'|ʃ|t|t'] [ʃʰ|ʃ|ʃ']	+coronal,-sg -anterior,+strid	0.0089	546	1985	561	0.0
[t|tʰ|t'] [ʃʰ|s|ʃ|ʃ']	-cont,+anterior,-son +strid	0.0088	546	1082	1037	0.0
[t] [s|ʃ|ʃ']	-cg,-cont,+anterior,-sg +cont,-sg	0.0087	472	879	963	0.0
[t|s] [ʃʰ|ʃ]	-cg,+anterior,-sg -cg,-anterior	0.0086	366	1355	381	0.0
[t|tʰ|t'] [ʃ]	-cont,+anterior,-son -cg,-anterior,-sg	0.0085	292	1082	307	0.0
[s|tʰ|ʃ|ʃʰ|t] [ʃ|ʃ']	-cg,+coronal -anterior,-sg	0.0084	472	1796	487	0.0
[s|ʃ'|tʰ|ʃ|ʃʰ|t|t'] [ʃʰ|ʃ|ʃ']	+coronal,-son -anterior,+strid	0.0083	546	2119	561	0.0
[t|tʰ|s] [ʃʰ|ʃ]	-cg,+anterior -cg,-anterior	0.0082	366	1415	381	0.0
[t|p|k|q] [ʃ|ʃ']	-cg,-cont,-sg -anterior,-sg	0.0082	472	1843	487	0.0
[t|tʰ] [s|ʃ|ʃ']	-cg,-cont,+anterior +cont,-sg	0.0082	472	939	963	0.0
[p|pʰ|tʰ|q|kʰ|k|t|qʰ] [ʃʰ|ʃ|ʃ']	-cg,-cont -anterior,+strid	0.008	546	2212	561	0.0
[t|s|t'] [ʃʰ|ʃ]	+anterior,-sg -cg,-anterior	0.0078	366	1498	381	0.0
[t] [s|ʃ'|ʃ|x|ʃʰ|h]	-cg,-cont,+anterior,-sg -son,+cont	0.0078	546	879	1449	0.0
[s|ʃ'|ʃ|t|t'] [ʃ|ʃ']	+coronal,-sg -anterior,-sg	0.0076	472	1985	487	0.0
[t|t'] [s|ʃ|ʃ']	-cont,+coronal,-sg +cont,-sg	0.0075	472	1022	963	0.0
[t|s] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	-cg,+anterior,-sg -anterior	0.0075	550	1355	988	0.0
[t|s] [ʃʰ|ʎ|ʃ|ʃ']	-cg,+anterior,-sg -anterior,+cont	0.0075	550	1355	988	0.0
[t|tʰ|s|t'] [ʃʰ|ʃ]	+anterior,-son -cg,-anterior	0.0075	366	1558	381	0.0
[p'|q'|p|k'|q|k|t|t'] [ʃʰ|ʃ|ʃ']	-cont,-sg -anterior,+strid	0.0074	546	2389	561	0.0
[t|tʰ|n|t'] [ʃʰ|ʃ]	-cont,+anterior -cg,-anterior	0.0073	366	1586	381	0.0
[tʰ|n|ɲ|t|t'] [ʃʰ|ʃ]	-cont,+coronal -cg,-anterior	0.0073	366	1586	381	0.0
[t|tʰ] [s|ʃ'|ʃ|x|ʃʰ|h]	-cg,-cont,+anterior -son,+cont	0.0073	546	939	1449	0.0
[t|tʰ|s] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	-cg,+anterior -anterior	0.0072	550	1415	988	0.0
[t|tʰ|s] [ʃʰ|ʎ|ʃ|ʃ']	-cg,+anterior -anterior,+cont	0.0072	550	1415	988	0.0
[s|ʃ'|tʰ|ʃ|ʃʰ|t|t'] [ʃ|ʃ']	+coronal,-son -anterior,-sg	0.0071	472	2119	487	0.0
[t|tʰ|t'] [s|ʃ|ʃ']	-cont,+anterior,-son +cont,-sg	0.0071	472	1082	963	0.0
[t|s] [ʃʰ|s|ʃ|ʃ']	-cg,+anterior,-sg +strid	0.007	546	1355	1037	0.0
[t|s|ʃ] [ʃʰ|ʃ]	-cg,+coronal,-sg -cg,-anterior	0.007	366	1662	381	0.0
[p|pʰ|tʰ|q|kʰ|k|t|qʰ] [ʃ|ʃ']	-cg,-cont -anterior,-sg	0.0068	472	2212	487	0.0
[t|s] [ʃ]	-cg,+anterior,-sg -cg,-anterior,-sg	0.0068	292	1355	307	0.0
[t] [ʃ']	-cg,-cont,+anterior,-sg -anterior,+cg	0.0068	180	879	180	0.0
[t|s|t'] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	+anterior,-sg -anterior	0.0068	550	1498	988	0.0
[t|s|t'] [ʃʰ|ʎ|ʃ|ʃ']	+anterior,-sg -anterior,+cont	0.0068	550	1498	988	0.0
[s|tʰ|n|r|t|l|t'] [ʃʰ|ʃ|ʃ']	+anterior -anterior,+strid	0.0067	546	2613	561	0.0
[t|tʰ|s] [ʃʰ|s|ʃ|ʃ']	-cg,+anterior +strid	0.0067	546	1415	1037	0.0
[p|s|q|k|ʃ|t] [ʃʰ|ʃ|ʃ']	-cg,-sg -anterior,+strid	0.0067	546	2626	561	0.0
[t|t'] [s|ʃ'|ʃ|x|ʃʰ|h]	-cont,+coronal,-sg -son,+cont	0.0067	546	1022	1449	0.0
[t|tʰ|s|t'] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	+anterior,-son -anterior	0.0065	550	1558	988	0.0
[t|tʰ|s|t'] [ʃʰ|ʎ|ʃ|ʃ']	+anterior,-son -anterior,+cont	0.0065	550	1558	988	0.0
[t|tʰ|s] [ʃ]	-cg,+anterior -cg,-anterior,-sg	0.0065	292	1415	307	0.0
[s|tʰ|ʃ|ʃʰ|t] [ʃʰ|ʃ]	-cg,+coronal -cg,-anterior	0.0065	366	1796	381	0.0
[t|tʰ|n|t'] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	-cont,+anterior -anterior	0.0064	550	1586	988	0.0
[t|tʰ|n|t'] [ʃʰ|ʎ|ʃ|ʃ']	-cont,+anterior -anterior,+cont	0.0064	550	1586	988	0.0
[tʰ|n|ɲ|t|t'] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	-cont,+coronal -anterior	0.0064	550	1586	988	0.0
[tʰ|n|ɲ|t|t'] [ʃʰ|ʎ|ʃ|ʃ']	-cont,+coronal -anterior,+cont	0.0064	550	1586	988	0.0
[p'|q'|p|pʰ|k'|tʰ|q|qʰ|kʰ|k|t|t'] [ʃʰ|ʃ|ʃ']	-cont,-son -anterior,+strid	0.0064	546	2758	561	0.0
[t|s|t'] [ʃʰ|s|ʃ|ʃ']	+anterior,-sg +strid	0.0064	546	1498	1037	0.0
[t|tʰ] [ʃ']	-cg,-cont,+anterior -anterior,+cg	0.0063	180	939	180	0.0
[p'|q'|p|k'|q|k|t|t'] [ʃ|ʃ']	-cont,-sg -anterior,-sg	0.0063	472	2389	487	0.0
[t|p|k|q] [ʃʰ|ʃ]	-cg,-cont,-sg -cg,-anterior	0.0063	366	1843	381	0.0
[t|tʰ|t'] [s|ʃ'|ʃ|x|ʃʰ|h]	-cont,+anterior,-son -son,+cont	0.0063	546	1082	1449	0.0
[t|tʰ|n|t'] [ʃʰ|s|ʃ|ʃ']	-cont,+anterior +strid	0.0062	553	1586	1037	0.0
[tʰ|n|ɲ|t|t'] [ʃʰ|s|ʃ|ʃ']	-cont,+coronal +strid	0.0062	553	1586	1037	0.0
[t|s|t'] [ʃ]	+anterior,-sg -cg,-anterior,-sg	0.0061	292	1498	307	0.0
[t|tʰ|s|t'] [ʃʰ|s|ʃ|ʃ']	+anterior,-son +strid	0.0061	546	1558	1037	0.0
[t|s|ʃ] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	-cg,+coronal,-sg -anterior	0.0061	550	1662	988	0.0
[t|s|ʃ] [ʃʰ|ʎ|ʃ|ʃ']	-cg,+coronal,-sg -anterior,+cont	0.0061	550	1662	988	0.0
[t|tʰ|s|t'] [ʃ]	+anterior,-son -cg,-anterior,-sg	0.0059	292	1558	307	0.0
[t] [ʃʰ|s|ʃ]	-cg,-cont,+anterior,-sg -cg,+strid	0.0059	366	879	857	0.0
[s|ʃ'|ʃ|t|t'] [ʃʰ|ʃ]	+coronal,-sg -cg,-anterior	0.0059	366	1985	381	0.0
[t|t'] [ʃ']	-cont,+coronal,-sg -anterior,+cg	0.0058	180	1022	180	0.0
