ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t ʃ	4.39	292	879	307	0.0
t ʃ'	2.85	180	879	180	0.0
t ʃʰ	1.17	74	879	74	0.0
n t	0.26	91	504	879	0.0
x t	0.23	62	268	879	0.0
n k	0.22	53	504	348	0.0
s k	0.18	46	476	348	0.0
x ʎ	0.17	37	268	427	0.0
m p	0.16	38	368	349	0.0
x r	0.15	36	268	444	0.0
ʎ p	0.13	37	427	349	0.0
n q	0.1	31	504	267	0.0
m p'	0.09	15	368	99	0.0
x s	0.09	28	268	476	0.0
ʎ k	0.05	24	427	348	0.0
r p	0.05	23	444	349	0.0
n k'	0.05	17	504	174	0.0
x j	0.04	15	268	276	0.0
x n	0.04	19	268	504	0.0
x t'	0.04	10	268	143	0.002
x m	0.04	16	268	368	0.0
ʎ t	0.03	30	427	879	0.0
j r	0.03	17	276	444	0.0
n kʰ	0.03	11	504	102	0.001
r k	0.03	19	444	348	0.0
ʎ q	0.03	16	427	267	0.0
j ʎ	0.03	16	276	427	0.0
s q	0.03	16	476	267	0.0
s p	0.03	18	476	349	0.0
j w	0.03	14	276	370	0.0
j t	0.02	20	276	879	0.0
ʎ m	0.02	16	427	368	0.0
w t	0.02	23	370	879	0.0
j n	0.02	15	276	504	0.0
r q'	0.02	9	444	130	0.004
r m	0.02	15	444	368	0.0
r w	0.02	15	444	370	0.0
s kʰ	0.02	8	476	102	0.008
x l	0.02	6	268	107	0.031
x w	0.02	11	268	370	0.001
r q	0.02	12	444	267	0.0
n r	0.02	16	504	444	0.0
x p	0.01	10	268	349	0.002
m pʰ	0.01	6	368	96	0.031
j m	0.01	10	276	368	0.002
s k'	0.01	9	476	174	0.004
j t'	0.01	6	276	143	0.031
j k	0.01	9	276	348	0.004
s m	0.01	12	476	368	0.0
ʎ w	0.01	11	427	370	0.001
s t'	0.01	7	476	143	0.016
s n	0.01	13	476	504	0.0
n qʰ	0.01	6	504	111	0.031
s t	0.01	16	476	879	0.0
j k'	0.01	5	276	174	0.062
n t'	0.01	6	504	143	0.031
r k'	0.01	6	444	174	0.031
n j	0.01	8	504	276	0.008
n q'	0.01	5	504	130	0.062
w k	0.01	7	370	348	0.016
ʎ p'	0.01	4	427	99	0.125
s w	0.01	8	476	370	0.008
r kʰ	0.0	4	444	102	0.125
s p'	0.0	4	476	99	0.125
j q	0.0	5	276	267	0.062
r qʰ	0.0	4	444	111	0.125
ʃ kʰ	0.0	3	307	102	0.25
w n	0.0	7	370	504	0.016
j p	0.0	5	276	349	0.062
s q'	0.0	4	476	130	0.125
w q	0.0	5	370	267	0.062
ʎ pʰ	0.0	3	427	96	0.25
ʎ k'	0.0	4	427	174	0.125
w s	0.0	6	370	476	0.031
n s	0.0	7	504	476	0.016
ʃ q	0.0	4	307	267	0.125
w q'	0.0	3	370	130	0.25
s l	0.0	3	476	107	0.25
l t	0.0	4	107	879	0.125
w j	0.0	4	370	276	0.125
ʎ tʰ	0.0	2	427	60	0.5
w r	0.0	5	370	444	0.062
j kʰ	0.0	2	276	102	0.5
w k'	0.0	3	370	174	0.25
n tʰ	0.0	2	504	60	0.5
j s	0.0	4	276	476	0.125
x k	0.0	3	268	348	0.25
r pʰ	0.0	2	444	96	0.5
r p'	0.0	2	444	99	0.5
m j	0.0	3	368	276	0.25
s pʰ	0.0	2	476	96	0.5
ʃ k	0.0	3	307	348	0.25
s ʎ	0.0	4	476	427	0.125
w t'	0.0	2	370	143	0.5
n ʎ	0.0	4	504	427	0.125
w p	0.0	3	370	349	0.25
w m	0.0	3	370	368	0.25
m ʎ	0.0	3	368	427	0.25
m r	0.0	3	368	444	0.25
r t	0.0	4	444	879	0.125
r n	0.0	3	444	504	0.25
j pʰ	0.0	1	276	96	1.0
s tʰ	0.0	1	476	60	1.0
j l	0.0	1	276	107	1.0
r j	0.0	2	444	276	0.5
x q'	0.0	1	268	130	1.0
j q'	0.0	1	276	130	1.0
l k	0.0	1	107	348	1.0
w kʰ	0.0	1	370	102	1.0
w ʎ	0.0	2	370	427	0.5
w qʰ	0.0	1	370	111	1.0
ʎ kʰ	0.0	1	427	102	1.0
n w	0.0	2	504	370	0.5
r l	0.0	1	444	107	1.0
s qʰ	0.0	1	476	111	1.0
ʃ k'	0.0	1	307	174	1.0
n l	0.0	1	504	107	1.0
ʃ p	0.0	1	307	349	1.0
ʃ m	0.0	1	307	368	1.0
ʃ w	0.0	1	307	370	1.0
s j	0.0	1	476	276	1.0
m s	0.0	1	368	476	1.0
s r	0.0	1	476	444	1.0
r s	0.0	1	444	476	1.0
