ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
r p	1.21	339	3535	3612	0.0
r l	0.84	89	3535	358	0.0
n k'	0.78	115	5220	434	0.0
j m	0.57	168	2384	2806	0.0
s t	0.46	173	3086	2846	0.0
x tʃ	0.43	145	2391	2727	0.0
j n	0.42	198	2384	5220	0.0
x s	0.41	151	2391	3086	0.0
n t'	0.41	78	5220	378	0.0
x ʎ	0.34	103	2391	1758	0.0
j p	0.34	147	2384	3612	0.0
j k'	0.31	49	2384	434	0.0
ʎ q	0.3	76	1758	1491	0.0
j ʎ	0.28	93	2384	1758	0.0
j w	0.28	108	2384	2384	0.0
s k'	0.25	50	3086	434	0.0
j q	0.25	81	2384	1491	0.0
n m	0.22	155	5220	2806	0.0
r qʰ	0.2	57	3535	616	0.0
s n	0.19	151	3086	5220	0.0
x k	0.18	97	2391	2913	0.0
n ɲ	0.17	68	5220	710	0.0
x p	0.15	99	2391	3612	0.0
s k	0.15	101	3086	2913	0.0
ʃ k	0.14	38	463	2913	0.0
s m	0.11	86	3086	2806	0.0
s q'	0.1	21	3086	196	0.0
x r	0.09	75	2391	3535	0.0
j tʃ	0.08	64	2384	2727	0.0
w s	0.08	66	2384	3086	0.0
w p	0.08	71	2384	3612	0.0
r m	0.08	76	3535	2806	0.0
m p'	0.08	19	2806	225	0.0
ɲ tʃ'	0.07	11	710	328	0.001
l t	0.06	22	358	2846	0.0
ʎ p	0.06	54	1758	3612	0.0
x q	0.05	38	2391	1491	0.0
ʎ tʃ'	0.05	15	1758	328	0.0
ʃ pʰ	0.04	5	463	174	0.062
ɲ tʃʰ	0.04	5	710	120	0.062
n r	0.04	73	5220	3535	0.0
x m	0.04	42	2391	2806	0.0
r k'	0.03	20	3535	434	0.0
s ʎ	0.03	33	3086	1758	0.0
ʃ kʰ	0.03	5	463	274	0.062
j s	0.03	38	2384	3086	0.0
j tʃ'	0.02	12	2384	328	0.0
r k	0.02	42	3535	2913	0.0
j r	0.02	36	2384	3535	0.0
s t'	0.02	13	3086	378	0.0
x ɲ	0.02	15	2391	710	0.0
s w	0.02	29	3086	2384	0.0
x t'	0.01	10	2391	378	0.002
x j	0.01	25	2391	2384	0.0
x tʃʰ	0.01	5	2391	120	0.062
x w	0.01	22	2391	2384	0.0
x tʃ'	0.01	8	2391	328	0.008
j q'	0.01	6	2384	196	0.031
m pʰ	0.01	6	2806	174	0.031
ʃ w	0.01	9	463	2384	0.004
r q'	0.01	7	3535	196	0.016
n qʰ	0.01	15	5220	616	0.0
n w	0.01	27	5220	2384	0.0
l w	0.01	7	358	2384	0.016
s p'	0.01	6	3086	225	0.031
r kʰ	0.01	7	3535	274	0.016
l m	0.01	7	358	2806	0.016
x n	0.01	23	2391	5220	0.0
j ɲ	0.01	8	2384	710	0.008
s tʃ	0.0	17	3086	2727	0.0
j tʃʰ	0.0	3	2384	120	0.25
r w	0.0	16	3535	2384	0.0
j t'	0.0	5	2384	378	0.062
r t	0.0	16	3535	2846	0.0
ʎ m	0.0	11	1758	2806	0.001
n q'	0.0	5	5220	196	0.062
w tʃ'	0.0	4	2384	328	0.125
ʃ tʃʰ	0.0	1	463	120	1.0
n j	0.0	14	5220	2384	0.0
ʃ q	0.0	3	463	1491	0.25
ʎ k'	0.0	3	1758	434	0.25
s ɲ	0.0	5	3086	710	0.062
n tʰ	0.0	2	5220	70	0.5
s kʰ	0.0	3	3086	274	0.25
ʎ k	0.0	7	1758	2913	0.016
m s	0.0	9	2806	3086	0.004
n s	0.0	12	5220	3086	0.0
n n	0.0	15	5220	5220	0.0
n ʎ	0.0	8	5220	1758	0.008
l k'	0.0	1	358	434	1.0
x tʰ	0.0	1	2391	70	1.0
ʎ tʃʰ	0.0	1	1758	120	1.0
x l	0.0	2	2391	358	0.5
w q	0.0	4	2384	1491	0.125
s r	0.0	7	3086	3535	0.016
w k'	0.0	2	2384	434	0.5
l k	0.0	2	358	2913	0.5
n kʰ	0.0	2	5220	274	0.5
j pʰ	0.0	1	2384	174	1.0
w t	0.0	4	2384	2846	0.125
ʎ w	0.0	3	1758	2384	0.25
ʎ tʃ	0.0	3	1758	2727	0.25
l q	0.0	1	358	1491	1.0
r tʃ	0.0	4	3535	2727	0.125
j kʰ	0.0	1	2384	274	1.0
r n	0.0	5	3535	5220	0.062
r p'	0.0	1	3535	225	1.0
j l	0.0	1	2384	358	1.0
r j	0.0	3	3535	2384	0.25
w r	0.0	3	2384	3535	0.25
s l	0.0	1	3086	358	1.0
l p	0.0	1	358	3612	1.0
r ʎ	0.0	2	3535	1758	0.5
ʃ r	0.0	1	463	3535	1.0
h w	0.0	1	812	2384	1.0
j h	0.0	1	2384	812	1.0
w h	0.0	1	2384	812	1.0
h m	0.0	1	812	2806	1.0
h t	0.0	1	812	2846	1.0
r ɲ	0.0	1	3535	710	1.0
w j	0.0	1	2384	2384	1.0
w tʃ	0.0	1	2384	2727	1.0
w k	0.0	1	2384	2913	1.0
s j	0.0	1	3086	2384	1.0
m n	0.0	1	2806	5220	1.0
