ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ɲ t˗ʃ	2.09	783	1477	3942	0.0
j k	1.67	1254	3969	4709	0.0
s q	1.27	1059	4531	3856	0.0
q h	0.9	601	3856	2066	0.0
n t	0.69	1020	6024	4999	0.0
r q	0.45	599	4070	3856	0.0
t ʔ	0.35	378	4999	1635	0.0
t˗ʃ ʔ	0.33	328	3942	1635	0.0
m p	0.3	500	3281	4966	0.0
k ʔ	0.26	319	4709	1635	0.0
x t	0.22	395	2776	4999	0.0
p ʔ	0.22	299	4966	1635	0.0
k h	0.15	272	4709	2066	0.0
s p	0.15	412	4531	4966	0.0
j t	0.15	386	3969	4999	0.0
q ʔ	0.11	191	3856	1635	0.0
r p	0.11	340	4070	4966	0.0
ŋk ʔ	0.11	115	1450	1635	0.0
r l	0.11	89	4070	358	0.0
p h	0.06	174	4966	2066	0.0
x t˗ʃ	0.05	158	2776	3942	0.0
j m	0.04	168	3969	3281	0.0
x ʎ	0.04	103	2776	1832	0.0
x s	0.04	152	2776	4531	0.0
ʎ p	0.04	128	1832	4966	0.0
t˗ʃ h	0.04	120	3942	2066	0.0
j n	0.03	198	3969	6024	0.0
s t	0.03	186	4531	4999	0.0
j w	0.02	108	3969	2384	0.0
n m	0.02	155	6024	3281	0.0
j ʎ	0.02	93	3969	1832	0.0
s k	0.02	154	4531	4709	0.0
j p	0.02	148	3969	4966	0.0
s n	0.02	152	4531	6024	0.0
ʃ k	0.02	43	464	4709	0.0
ʎ q	0.02	76	1832	3856	0.0
x k	0.01	97	2776	4709	0.0
x p	0.01	99	2776	4966	0.0
n ɲ	0.01	68	6024	1477	0.0
x r	0.01	75	2776	4070	0.0
s m	0.01	86	4531	3281	0.0
j q	0.01	87	3969	3856	0.0
t h	0.01	70	4999	2066	0.0
r m	0.01	76	4070	3281	0.0
w p	0.01	71	2384	4966	0.0
w s	0.01	66	2384	4531	0.0
j t˗ʃ	0.01	79	3969	3942	0.0
l t	0.01	22	358	4999	0.0
r k	0.0	69	4070	4709	0.0
ɴq h	0.0	15	455	2066	0.0
n r	0.0	73	6024	4070	0.0
x m	0.0	42	2776	3281	0.0
x q	0.0	38	2776	3856	0.0
s ʎ	0.0	33	4531	1832	0.0
j s	0.0	38	3969	4531	0.0
j r	0.0	36	3969	4070	0.0
s w	0.0	29	4531	2384	0.0
ʃ w	0.0	9	464	2384	0.004
x w	0.0	22	2776	2384	0.0
l w	0.0	7	358	2384	0.016
x j	0.0	25	2776	3969	0.0
x ɲ	0.0	15	2776	1477	0.0
n w	0.0	27	6024	2384	0.0
ʎ t˗ʃ	0.0	19	1832	3942	0.0
l m	0.0	7	358	3281	0.016
ɴq ʔ	0.0	5	455	1635	0.062
x n	0.0	23	2776	6024	0.0
r w	0.0	16	4070	2384	0.0
ʎ m	0.0	11	1832	3281	0.001
s t˗ʃ	0.0	17	4531	3942	0.0
r t	0.0	16	4070	4999	0.0
ʎ k	0.0	10	1832	4709	0.002
j ɲ	0.0	8	3969	1477	0.008
ʃ p	0.0	5	464	4966	0.062
n j	0.0	14	6024	3969	0.0
n n	0.0	15	6024	6024	0.0
n ʎ	0.0	8	6024	1832	0.008
m s	0.0	9	3281	4531	0.004
l k	0.0	3	358	4709	0.25
n s	0.0	12	6024	4531	0.0
ʃ q	0.0	3	464	3856	0.25
x l	0.0	2	2776	358	0.5
s ɲ	0.0	5	4531	1477	0.062
w t˗ʃ	0.0	5	2384	3942	0.062
s r	0.0	7	4531	4070	0.016
ʎ w	0.0	3	1832	2384	0.25
w q	0.0	4	2384	3856	0.125
w t	0.0	4	2384	4999	0.125
ŋk h	0.0	2	1450	2066	0.5
r n	0.0	5	4070	6024	0.062
r t˗ʃ	0.0	4	4070	3942	0.125
w r	0.0	3	2384	4070	0.25
w k	0.0	3	2384	4709	0.25
l q	0.0	1	358	3856	1.0
j l	0.0	1	3969	358	1.0
s l	0.0	1	4531	358	1.0
l p	0.0	1	358	4966	1.0
r j	0.0	3	4070	3969	0.25
ʃ t˗ʃ	0.0	1	464	3942	1.0
r ʎ	0.0	2	4070	1832	0.5
ʃ r	0.0	1	464	4070	1.0
h w	0.0	1	2066	2384	1.0
w h	0.0	1	2384	2066	1.0
r ɲ	0.0	1	4070	1477	1.0
h m	0.0	1	2066	3281	1.0
j h	0.0	1	3969	2066	1.0
w j	0.0	1	2384	3969	1.0
h t	0.0	1	2066	4999	1.0
s j	0.0	1	4531	3969	1.0
m n	0.0	1	3281	6024	1.0
