ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t ʃ	5.32	3494	8493	3958	0.0
ŋ k	3.29	1333	1450	5451	0.0
r̞ q	2.0	535	599	3499	0.0
ɴ q	1.74	435	455	3499	0.0
j k	1.0	1204	3882	5451	0.0
s q	1.0	1038	4531	3499	0.0
ɲ t	0.72	783	1477	8493	0.0
t ʃ'	0.57	328	8493	328	0.0
ʎ̞ q	0.32	76	76	3499	0.0
j̠̠ q	0.32	81	87	3499	0.0
ŋ k'	0.31	115	1450	434	0.0
n t	0.25	940	6024	8493	0.0
m p	0.22	475	3281	4493	0.0
t ʃʰ	0.21	120	8493	120	0.0
x t	0.18	542	2776	8493	0.0
ʎ p'	0.15	74	1756	299	0.0
r̞ qʰ	0.13	57	599	616	0.0
s p	0.12	406	4531	4493	0.0
r p	0.11	339	3471	4493	0.0
j t	0.09	460	3882	8493	0.0
r l	0.09	89	3471	357	0.0
n t'	0.04	78	6024	378	0.0
j m	0.03	168	3882	3281	0.0
x ʎ	0.03	103	2776	1756	0.0
j̠̠ q'	0.03	6	87	196	0.031
x s	0.03	152	2776	4531	0.0
j n	0.02	198	3882	6024	0.0
j k'	0.02	49	3882	434	0.0
s k'	0.02	50	4531	434	0.0
j ʎ	0.02	93	3882	1756	0.0
j w	0.02	108	3882	2380	0.0
j p	0.02	147	3882	4493	0.0
n m	0.02	155	6024	3281	0.0
w̞ q	0.02	4	4	3499	0.125
s t	0.01	190	4531	8493	0.0
s n	0.01	152	4531	6024	0.0
ɴ qʰ	0.01	15	455	616	0.0
x p	0.01	99	2776	4493	0.0
x k	0.01	97	2776	5451	0.0
x r	0.01	75	2776	3471	0.0
n ɲ	0.01	68	6024	1477	0.0
r m	0.01	76	3471	3281	0.0
s m	0.01	86	4531	3281	0.0
s q'	0.01	21	4531	196	0.0
w p	0.01	71	2380	4493	0.0
r̞ q'	0.01	7	599	196	0.016
s k	0.01	101	4531	5451	0.0
w s	0.01	66	2380	4531	0.0
ʎ p	0.01	54	1756	4493	0.0
m p'	0.01	19	3281	299	0.0
l̞ q	0.0	1	1	3499	1.0
ɴ q'	0.0	5	455	196	0.062
r k'	0.0	20	3471	434	0.0
n r	0.0	73	6024	3471	0.0
x m	0.0	42	2776	3281	0.0
l t	0.0	22	357	8493	0.0
x q	0.0	38	2776	3499	0.0
s ʎ	0.0	33	4531	1756	0.0
s t'	0.0	13	4531	378	0.0
j r	0.0	36	3882	3471	0.0
x t'	0.0	10	2776	378	0.002
r k	0.0	42	3471	5451	0.0
j s	0.0	38	3882	4531	0.0
s w	0.0	29	4531	2380	0.0
x w	0.0	22	2776	2380	0.0
ʃ k	0.0	38	3958	5451	0.0
m pʰ	0.0	6	3281	174	0.031
x j	0.0	25	2776	3882	0.0
l w	0.0	7	357	2380	0.016
x ɲ	0.0	15	2776	1477	0.0
r kʰ	0.0	7	3471	274	0.016
n w	0.0	27	6024	2380	0.0
l m	0.0	7	357	3281	0.016
ʃ pʰ	0.0	5	3958	174	0.062
x n	0.0	23	2776	6024	0.0
r w	0.0	16	3471	2380	0.0
s p'	0.0	6	4531	299	0.031
ʎ t	0.0	19	1756	8493	0.0
ʃ kʰ	0.0	5	3958	274	0.062
ʎ m	0.0	11	1756	3281	0.001
j t'	0.0	5	3882	378	0.062
r t	0.0	20	3471	8493	0.0
ʎ k'	0.0	3	1756	434	0.25
j ɲ	0.0	8	3882	1477	0.008
ŋ kʰ	0.0	2	1450	274	0.5
n tʰ	0.0	2	6024	70	0.5
ʃ w	0.0	9	3958	2380	0.004
n j	0.0	14	6024	3882	0.0
s kʰ	0.0	3	4531	274	0.25
l k'	0.0	1	357	434	1.0
n n	0.0	15	6024	6024	0.0
n ʎ	0.0	8	6024	1756	0.008
m s	0.0	9	3281	4531	0.004
n s	0.0	12	6024	4531	0.0
x tʰ	0.0	1	2776	70	1.0
ʎ k	0.0	7	1756	5451	0.016
x l	0.0	2	2776	357	0.5
w t	0.0	9	2380	8493	0.004
w k'	0.0	2	2380	434	0.5
s ɲ	0.0	5	4531	1477	0.062
s r	0.0	7	4531	3471	0.016
ʎ w	0.0	3	1756	2380	0.25
l k	0.0	2	357	5451	0.5
j pʰ	0.0	1	3882	174	1.0
r n	0.0	5	3471	6024	0.062
w r	0.0	3	2380	3471	0.25
r p'	0.0	1	3471	299	1.0
j kʰ	0.0	1	3882	274	1.0
j l	0.0	1	3882	357	1.0
r j	0.0	3	3471	3882	0.25
r ʎ	0.0	2	3471	1756	0.5
ʃ q	0.0	3	3958	3499	0.25
l p	0.0	1	357	4493	1.0
s l	0.0	1	4531	357	1.0
h w	0.0	1	812	2380	1.0
w h	0.0	1	2380	812	1.0
h m	0.0	1	812	3281	1.0
j h	0.0	1	3882	812	1.0
r ɲ	0.0	1	3471	1477	1.0
h t	0.0	1	812	8493	1.0
w j	0.0	1	2380	3882	1.0
w k	0.0	1	2380	5451	1.0
ʃ r	0.0	1	3958	3471	1.0
s j	0.0	1	4531	3882	1.0
m n	0.0	1	3281	6024	1.0
ʃ t	0.0	1	3958	8493	1.0
