ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ŋ k'	20.24	115	160	432	0.0
t ʃ'	6.97	328	4981	328	0.0
ɲ tʃ	5.93	536	1473	3478	0.0
r q	3.56	530	4046	2065	0.0
t ʃʰ	2.59	122	4981	122	0.0
n t	1.17	574	5989	4981	0.0
ʎ p'	1.06	74	1827	298	0.0
s p	0.75	319	3227	4465	0.0
r p	0.66	336	4046	4465	0.0
r l	0.58	89	4046	355	0.0
ɴ qʰ	0.43	15	93	600	0.0
x t	0.39	224	2765	4981	0.0
n t'	0.28	78	5989	378	0.0
x s	0.22	135	2765	3227	0.0
m p	0.21	171	3265	4465	0.0
j k'	0.2	49	2996	432	0.0
s k'	0.18	49	3227	432	0.0
ʎ q	0.16	76	1827	2065	0.0
ɴ q'	0.15	5	93	194	0.062
r qʰ	0.14	57	4046	600	0.0
j t	0.14	140	2996	4981	0.0
j w	0.1	81	2996	2369	0.0
x ʎ	0.08	63	2765	1827	0.0
s k	0.08	89	3227	3223	0.0
ʃ k	0.08	40	693	3223	0.0
s q'	0.07	21	3227	194	0.0
w s	0.06	65	2369	3227	0.0
w p	0.05	69	2369	4465	0.0
r m	0.04	72	4046	3265	0.0
j ʎ	0.04	46	2996	1827	0.0
m p'	0.04	19	3265	298	0.0
ʎ p	0.04	53	1827	4465	0.0
ʃ kʰ	0.03	8	693	288	0.008
l t	0.03	22	355	4981	0.0
r k'	0.02	20	4046	432	0.0
ʃ pʰ	0.02	5	693	174	0.062
j n	0.02	54	2996	5989	0.0
x tʃ	0.02	38	2765	3478	0.0
x r	0.02	40	2765	4046	0.0
s t'	0.01	13	3227	378	0.0
j q	0.01	28	2996	2065	0.0
j m	0.01	34	2996	3265	0.0
r k	0.01	37	4046	3223	0.0
x t'	0.01	10	2765	378	0.002
ŋ kʰ	0.01	2	160	288	0.5
m pʰ	0.01	6	3265	174	0.031
r q'	0.01	7	4046	194	0.016
j q'	0.01	6	2996	194	0.031
l w	0.01	7	355	2369	0.016
x j	0.01	20	2765	2996	0.0
j r	0.0	23	2996	4046	0.0
l m	0.0	7	355	3265	0.016
r kʰ	0.0	7	4046	288	0.016
ʃ w	0.0	8	693	2369	0.008
s p'	0.0	6	3227	298	0.031
ɲ t	0.0	16	1473	4981	0.0
j s	0.0	17	2996	3227	0.0
ʎ t	0.0	16	1827	4981	0.0
r w	0.0	16	4046	2369	0.0
x p	0.0	18	2765	4465	0.0
x w	0.0	13	2765	2369	0.0
j t'	0.0	5	2996	378	0.062
ʎ m	0.0	11	1827	3265	0.001
ʎ k'	0.0	3	1827	432	0.25
r t	0.0	15	4046	4981	0.0
n r	0.0	16	5989	4046	0.0
j tʃ	0.0	10	2996	3478	0.002
n tʰ	0.0	2	5989	70	0.5
s t	0.0	12	3227	4981	0.0
x n	0.0	12	2765	5989	0.0
ʎ k	0.0	7	1827	3223	0.016
m s	0.0	9	3265	3227	0.004
x m	0.0	8	2765	3265	0.008
l k'	0.0	1	355	432	1.0
ʃ q	0.0	3	693	2065	0.25
x tʰ	0.0	1	2765	70	1.0
s m	0.0	7	3227	3265	0.016
x l	0.0	2	2765	355	0.5
w k'	0.0	2	2369	432	0.5
l k	0.0	2	355	3223	0.5
n s	0.0	8	5989	3227	0.008
w q	0.0	4	2369	2065	0.125
w t	0.0	6	2369	4981	0.031
s w	0.0	4	3227	2369	0.125
ʎ w	0.0	3	1827	2369	0.25
j pʰ	0.0	1	2996	174	1.0
s ɲ	0.0	3	3227	1473	0.25
ʎ tʃ	0.0	3	1827	3478	0.25
l q	0.0	1	355	2065	1.0
j kʰ	0.0	1	2996	288	1.0
r tʃ	0.0	4	4046	3478	0.125
j l	0.0	1	2996	355	1.0
w r	0.0	3	2369	4046	0.25
h w	0.0	1	800	2369	1.0
ʃ r	0.0	1	693	4046	1.0
ʃ t	0.0	1	693	4981	1.0
j ɲ	0.0	1	2996	1473	1.0
s ʎ	0.0	1	3227	1827	1.0
w j	0.0	1	2369	2996	1.0
w k	0.0	1	2369	3223	1.0
w tʃ	0.0	1	2369	3478	1.0
j p	0.0	1	2996	4465	1.0
s n	0.0	1	3227	5989	1.0
r n	0.0	1	4046	5989	1.0
