ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t ɕ	2.88	1591	6710	1854	0.0
s t	0.35	902	4911	6710	0.0
t s	0.31	857	6710	4911	0.0
s tʲ	0.23	406	4911	2080	0.0
p rʲ	0.22	354	2898	2758	0.0
n t	0.12	502	4279	6710	0.0
p r	0.1	334	2898	5653	0.0
t r	0.08	461	6710	5653	0.0
s k	0.07	345	4911	4725	0.0
n d	0.07	203	4279	1939	0.0
n tʲ	0.06	187	4279	2080	0.0
b rʲ	0.05	140	1835	2758	0.0
t rʲ	0.05	255	6710	2758	0.0
n dʲ	0.04	120	4279	1222	0.0
n ɡ	0.04	139	4279	1719	0.0
ɡ r	0.04	159	1719	5653	0.0
b r	0.04	163	1835	5653	0.0
p l	0.04	135	2898	2520	0.0
l lʲ	0.03	135	2520	2990	0.0
s pʲ	0.03	100	4911	873	0.0
s sʲ	0.03	102	4911	950	0.0
ɡ rʲ	0.03	100	1719	2758	0.0
d ʐ	0.03	62	1939	1018	0.0
r t	0.03	269	5653	6710	0.0
p lʲ	0.03	128	2898	2990	0.0
m b	0.03	85	2166	1835	0.0
b lʲ	0.02	98	1835	2990	0.0
z d	0.02	61	1181	1939	0.0
k rʲ	0.02	144	4725	2758	0.0
s p	0.02	147	4911	2898	0.0
ʐ dʲ	0.02	43	1018	1222	0.0
k t	0.02	217	4725	6710	0.0
d rʲ	0.02	89	1939	2758	0.0
ɡ l	0.02	78	1719	2520	0.0
s kʲ	0.02	60	4911	532	0.0
m p	0.02	93	2166	2898	0.0
d r	0.02	120	1939	5653	0.0
ʐ d	0.02	50	1018	1939	0.0
k r	0.02	182	4725	5653	0.0
k lʲ	0.02	132	4725	2990	0.0
m pʲ	0.02	47	2166	873	0.0
r tʲ	0.02	117	5653	2080	0.0
f lʲ	0.02	48	707	2990	0.0
f fʲ	0.01	17	707	423	0.0
k tʲ	0.01	96	4725	2080	0.0
l l	0.01	77	2520	2520	0.0
k s	0.01	147	4725	4911	0.0
f r	0.01	61	707	5653	0.0
k sʲ	0.01	64	4725	950	0.0
ʂ k	0.01	68	1149	4725	0.0
s vʲ	0.01	67	4911	1093	0.0
k l	0.01	98	4725	2520	0.0
s l	0.01	99	4911	2520	0.0
t vʲ	0.01	76	6710	1093	0.0
r m	0.01	96	5653	2166	0.0
k v	0.01	78	4725	1730	0.0
n sʲ	0.01	54	4279	950	0.0
ʂ t	0.01	74	1149	6710	0.0
x l	0.01	36	726	2520	0.0
r d	0.01	88	5653	1939	0.0
r xʲ	0.01	26	5653	173	0.0
b l	0.01	56	1835	2520	0.0
r ɡ	0.01	80	5653	1719	0.0
z vʲ	0.01	29	1181	1093	0.0
r dʲ	0.01	66	5653	1222	0.0
m bʲ	0.01	30	2166	662	0.0
r ʐ	0.01	59	5653	1018	0.0
n s	0.01	112	4279	4911	0.0
n ɡʲ	0.01	33	4279	432	0.0
ɡ lʲ	0.01	54	1719	2990	0.0
z v	0.01	34	1181	1730	0.0
lʲ n	0.01	84	2990	4279	0.0
r k	0.01	121	5653	4725	0.0
f l	0.01	31	707	2520	0.0
n k	0.01	104	4279	4725	0.0
f rʲ	0.01	32	707	2758	0.0
x v	0.01	24	726	1730	0.0
r ɡʲ	0.01	33	5653	432	0.0
s s	0.01	103	4911	4911	0.0
z n	0.01	47	1181	4279	0.0
v r	0.01	65	1730	5653	0.0
r kʲ	0.01	35	5653	532	0.0
r ʂ	0.01	51	5653	1149	0.0
r mʲ	0.01	48	5653	1027	0.0
t v	0.01	66	6710	1730	0.0
r n	0.01	94	5653	4279	0.0
r sʲ	0.01	44	5653	950	0.0
ɡ nʲ	0.01	32	1719	1672	0.0
r nʲ	0.0	57	5653	1672	0.0
x rʲ	0.0	26	726	2758	0.0
d nʲ	0.0	33	1939	1672	0.0
x lʲ	0.0	27	726	2990	0.0
r b	0.0	59	5653	1835	0.0
z dʲ	0.0	22	1181	1222	0.0
ʂ p	0.0	33	1149	2898	0.0
n kʲ	0.0	27	4279	532	0.0
z nʲ	0.0	25	1181	1672	0.0
s lʲ	0.0	67	4911	2990	0.0
m mʲ	0.0	26	2166	1027	0.0
s m	0.0	56	4911	2166	0.0
n fʲ	0.0	23	4279	423	0.0
n zʲ	0.0	24	4279	479	0.0
ʂ lʲ	0.0	31	1149	2990	0.0
k vʲ	0.0	38	4725	1093	0.0
p tʲ	0.0	41	2898	2080	0.0
ɡ n	0.0	45	1719	4279	0.0
r bʲ	0.0	32	5653	662	0.0
d vʲ	0.0	24	1939	1093	0.0
ʐ nʲ	0.0	21	1018	1672	0.0
ʂ pʲ	0.0	16	1149	873	0.0
n n	0.0	68	4279	4279	0.0
p sʲ	0.0	26	2898	950	0.0
p t	0.0	69	2898	6710	0.0
v z	0.0	22	1730	1181	0.0
ʂ kʲ	0.0	12	1149	532	0.0
ʂ nʲ	0.0	21	1149	1672	0.0
v rʲ	0.0	33	1730	2758	0.0
x r	0.0	30	726	5653	0.0
s mʲ	0.0	33	4911	1027	0.0
n f	0.0	25	4279	707	0.0
m m	0.0	31	2166	2166	0.0
v nʲ	0.0	24	1730	1672	0.0
x t	0.0	31	726	6710	0.0
r s	0.0	74	5653	4911	0.0
lʲ j	0.0	31	2990	1802	0.0
p pʲ	0.0	21	2898	873	0.0
l k	0.0	45	2520	4725	0.0
ʂ l	0.0	22	1149	2520	0.0
r x	0.0	26	5653	726	0.0
lʲ tʲ	0.0	32	2990	2080	0.0
s nʲ	0.0	36	4911	1672	0.0
n ʐ	0.0	26	4279	1018	0.0
j d	0.0	23	1802	1939	0.0
v k	0.0	35	1730	4725	0.0
v n	0.0	33	1730	4279	0.0
r vʲ	0.0	30	5653	1093	0.0
z m	0.0	19	1181	2166	0.0
lʲ t	0.0	53	2990	6710	0.0
f tʲ	0.0	14	707	2080	0.0
d v	0.0	21	1939	1730	0.0
x tʲ	0.0	14	726	2080	0.0
m f	0.0	14	2166	707	0.0
j k	0.0	33	1802	4725	0.0
r pʲ	0.0	25	5653	873	0.0
z ɡʲ	0.0	8	1181	432	0.008
x m	0.0	14	726	2166	0.0
v t	0.0	38	1730	6710	0.0
m nʲ	0.0	21	2166	1672	0.0
z ʐ	0.0	12	1181	1018	0.0
v sʲ	0.0	14	1730	950	0.0
s xʲ	0.0	10	4911	173	0.002
d n	0.0	31	1939	4279	0.0
n z	0.0	24	4279	1181	0.0
f t	0.0	23	707	6710	0.0
r v	0.0	33	5653	1730	0.0
z ɡ	0.0	15	1181	1719	0.0
j s	0.0	31	1802	4911	0.0
ʂ tʲ	0.0	16	1149	2080	0.0
r fʲ	0.0	16	5653	423	0.0
t k	0.0	58	6710	4725	0.0
l t	0.0	42	2520	6710	0.0
