segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[t] [ɕ]	+back,-strid,-voice -ant,-back,-voice	0.0017	12900	58828	16478	0.0
[t] [ɕ|ʑ]	+back,-strid,-voice +strid,-ant,-back	0.0017	12900	58828	16483	0.0
[t] [s|sʲ|ɕ|ʂ]	+back,-strid,-voice +strid,-voice	0.0017	28049	58828	79549	0.0
[t] [f|fʲ|s|sʲ|x|xʲ|ɕ|ʂ]	+back,-strid,-voice +cont,-voice	0.0015	28171	58828	92458	0.0
[d|t] [ɕ|ʑ]	+back,-strid +strid,-ant,-back	0.0014	12905	70687	16483	0.0
[d|t] [ɕ]	+back,-strid -ant,-back,-voice	0.0014	12900	70687	16478	0.0
[d|t] [s|sʲ|ɕ|ʂ]	+back,-strid +strid,-voice	0.0014	28049	70687	79549	0.0
[t] [sʲ|ɕ]	+back,-strid,-voice +strid,-back,-voice	0.0014	12984	58828	21265	0.0
[t] [s|sʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-strid,-voice +strid	0.0013	28049	58828	100907	0.0
[t] [ɕ|ʂ]	+back,-strid,-voice -ant,-voice	0.0013	13070	58828	23096	0.0
[t] [sʲ|zʲ|ɕ|ʑ]	+back,-strid,-voice +strid,-back	0.0012	12984	58828	23288	0.0
[t] [fʲ|sʲ|xʲ|ɕ]	+back,-strid,-voice +cont,-back,-voice	0.0012	13001	58828	23655	0.0
[d|t] [f|fʲ|s|sʲ|x|xʲ|ɕ|ʂ]	+back,-strid +cont,-voice	0.0012	28174	70687	92458	0.0
[t] [f|fʲ|s|sʲ|x|xʲ|z|zʲ|ɕ|ɣ|ʂ|ʐ|ʑ]	+back,-strid,-voice +cont,-son	0.0012	28171	58828	113872	0.0
[b|d|f|k|l|m|n|p|r|s|t|x|z|ɡ|ɣ|ʂ|ʐ] [b|bʲ|d|dʲ|f|fʲ|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+back,+cons +cons	0.0012	136822	332850	476038	0.0
[s|t] [f|fʲ|k|kʲ|p|pʲ|s|sʲ|t|tʲ|x|xʲ|ɕ|ʂ]	+ant,+back,-voice -voice	0.0012	56987	110494	252354	0.0
[s|t|ʂ] [f|fʲ|k|kʲ|p|pʲ|s|sʲ|t|tʲ|x|xʲ|ɕ|ʂ]	+back,+cor,-voice -voice	0.0012	58420	117112	252354	0.0
[b|d|f|k|l|m|n|p|r|s|t|v|x|z|ɡ|ɣ|ʂ|ʐ] [b|bʲ|d|dʲ|f|fʲ|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+back,-syll +cons	0.0012	140019	359915	476038	0.0
[b|d|f|k|l|m|n|p|r|s|t|x|z|ɡ|ɣ|ʂ|ʐ] [b|bʲ|d|dʲ|f|fʲ|j|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|v|vʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+back,+cons -syll	0.0011	143947	332850	547104	0.0
[b|d|f|k|p|s|t|x|z|ɡ|ɣ|ʂ|ʐ] [b|bʲ|d|dʲ|f|fʲ|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+back,-son +cons	0.0011	111899	232313	476038	0.0
[d|t] [s|sʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-strid +strid	0.0011	28296	70687	100907	0.0
[d|t] [sʲ|ɕ]	+back,-strid +strid,-back,-voice	0.0011	12984	70687	21265	0.0
[t] [fʲ|sʲ|xʲ|zʲ|ɕ|ʑ]	+back,-strid,-voice +cont,-back,-son	0.0011	13001	58828	25678	0.0
[b|d|k|p|t|ɡ] [l|lʲ|r|rʲ|s|sʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-cont,-son +cons,+cont,+cor	0.0011	55148	144119	188812	0.0
[b|d|f|k|p|s|t|x|z|ɡ|ɣ|ʂ|ʐ] [b|bʲ|d|dʲ|f|fʲ|j|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|v|vʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+back,-son -syll	0.0011	118513	232313	547104	0.0
[s|t] [s|sʲ|t|tʲ|ɕ|ʂ]	+ant,+back,-voice +cor,-voice	0.0011	45801	110494	172140	0.0
[b|d|f|k|l|m|n|p|r|s|t|v|x|z|ɡ|ɣ|ʂ|ʐ] [b|bʲ|d|dʲ|f|fʲ|j|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|v|vʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+back,-syll -syll	0.0011	147225	359915	547104	0.0
[t|tʲ] [ɕ]	-strid,-voice -ant,-back,-voice	0.0011	12900	92591	16478	0.0
[t|tʲ] [ɕ|ʑ]	-strid,-voice +strid,-ant,-back	0.0011	12900	92591	16483	0.0
[t|tʲ] [s|sʲ|ɕ|ʂ]	-strid,-voice +strid,-voice	0.0011	28053	92591	79549	0.0
[s|t|ʂ] [s|sʲ|t|tʲ|ɕ|ʂ]	+back,+cor,-voice +cor,-voice	0.0011	46159	117112	172140	0.0
[b|d|f|k|p|s|t|x|z|ɡ|ɣ|ʂ|ʐ] [d|dʲ|l|lʲ|n|nʲ|r|rʲ|s|sʲ|t|tʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-son +cons,+cor	0.0011	93098	232313	353005	0.0
[b|d|k|p|t|ɡ] [f|fʲ|l|lʲ|r|rʲ|s|sʲ|x|xʲ|z|zʲ|ɕ|ɣ|ʂ|ʐ|ʑ]	+back,-cont,-son +cons,+cont	0.0011	55348	144119	201777	0.0
[k|p|t] [l|lʲ|r|rʲ|s|sʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-cont,-voice +cons,+cont,+cor	0.0011	47470	114048	188812	0.0
[d|t] [ɕ|ʂ]	+back,-strid -ant,-voice	0.0011	13070	70687	23096	0.0
[b|d|f|k|l|m|n|p|r|s|t|x|z|ɡ|ɣ|ʂ|ʐ] [d|dʲ|l|lʲ|n|nʲ|r|rʲ|s|sʲ|t|tʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,+cons +cons,+cor	0.0011	110830	332850	353005	0.0
[d|t] [sʲ|zʲ|ɕ|ʑ]	+back,-strid +strid,-back	0.001	13018	70687	23288	0.0
[b|d|f|k|l|m|n|p|r|s|t|v|x|z|ɡ|ɣ|ʂ|ʐ] [d|dʲ|l|lʲ|n|nʲ|r|rʲ|s|sʲ|t|tʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-syll +cons,+cor	0.001	113860	359915	353005	0.0
[t] [ɕ|ʂ|ʐ|ʑ]	+back,-strid,-voice +strid,-ant	0.001	13070	58828	28556	0.0
[d|t] [fʲ|sʲ|xʲ|ɕ]	+back,-strid +cont,-back,-voice	0.001	13001	70687	23655	0.0
[f|k|p|s|t|x|ʂ] [b|bʲ|d|dʲ|f|fʲ|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+back,-voice +cons	0.001	93694	182851	476038	0.0
[t] [l|lʲ|r|rʲ|s|sʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-strid,-voice +cons,+cont,+cor	0.001	33402	58828	188812	0.0
[d|t] [f|fʲ|s|sʲ|x|xʲ|z|zʲ|ɕ|ɣ|ʂ|ʐ|ʑ]	+back,-strid +cont,-son	0.001	28421	70687	113872	0.0
[d|n|t] [s|sʲ|ɕ|ʂ]	+ant,+back,-cont +strid,-voice	0.001	29343	107960	79549	0.0
[k|p|t] [f|fʲ|l|lʲ|r|rʲ|s|sʲ|x|xʲ|z|zʲ|ɕ|ɣ|ʂ|ʐ|ʑ]	+back,-cont,-voice +cons,+cont	0.001	47666	114048	201777	0.0
[s|t] [s|sʲ|ɕ|ʂ]	+ant,+back,-voice +strid,-voice	0.001	29406	110494	79549	0.0
[b|d|f|k|p|s|t|x|z|ɡ|ɣ|ʂ|ʐ] [d|dʲ|j|l|lʲ|n|nʲ|r|rʲ|s|sʲ|t|tʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-son +cor	0.001	93444	232313	389533	0.0
