ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
i j	0.26	25951	88197	36528	0.0
t ɕ	0.21	12900	58828	16478	0.0
t s	0.09	14895	58828	51666	0.0
nʲ i	0.09	10191	16518	88197	0.0
rʲ e	0.08	7817	16772	57565	0.0
a tʲ	0.07	13642	94085	33763	0.0
v a	0.07	12181	27065	94085	0.0
kʲ i	0.07	5298	5776	88197	0.0
s kʲ	0.06	3679	51666	5776	0.0
pʲ e	0.05	3983	6309	57565	0.0
r o	0.05	11020	36443	83300	0.0
vʲ e	0.05	3947	7473	57565	0.0
mʲ e	0.04	3578	6233	57565	0.0
k a	0.04	10076	30932	94085	0.0
p o	0.04	8351	24288	83300	0.0
n i	0.04	10454	37273	88197	0.0
r a	0.04	10351	36443	94085	0.0
rʲ i	0.04	6786	16772	88197	0.0
s t	0.04	9364	51666	58828	0.0
p rʲ	0.03	3377	24288	16772	0.0
o v	0.03	7786	83300	27065	0.0
l o	0.03	5582	14418	83300	0.0
s a	0.03	10940	51666	94085	0.0
dʲ e	0.03	2832	5952	57565	0.0
a t	0.03	11318	94085	58828	0.0
i v	0.03	7231	88197	27065	0.0
s tʲ	0.03	5964	51666	33763	0.0
bʲ e	0.03	2078	3704	57565	0.0
lʲ i	0.03	6002	20272	88197	0.0
z a	0.03	5125	13880	94085	0.0
i t	0.02	9982	88197	58828	0.0
nʲ e	0.02	4240	16518	57565	0.0
v o	0.02	6518	27065	83300	0.0
ɕ i	0.02	5232	16478	88197	0.0
lʲ e	0.02	4681	20272	57565	0.0
e lʲ	0.02	4675	57565	20272	0.0
ɕ e	0.02	4180	16478	57565	0.0
j e	0.02	6034	36528	57565	0.0
k o	0.02	6558	30932	83300	0.0
n o	0.02	7160	37273	83300	0.0
o t	0.02	8730	83300	58828	0.0
p r	0.02	3643	24288	36443	0.0
o s	0.02	7995	83300	51666	0.0
i tʲ	0.02	6594	88197	33763	0.0
tʲ e	0.02	5324	33763	57565	0.0
o l	0.02	4022	83300	14418	0.0
dʲ i	0.02	2654	5952	88197	0.0
d o	0.02	3588	11859	83300	0.0
o r	0.02	6248	83300	36443	0.0
e rʲ	0.02	3521	57565	16772	0.0
vʲ i	0.02	2887	7473	88197	0.0
sʲ e	0.02	1846	4787	57565	0.0
e r	0.01	4934	57565	36443	0.0
m o	0.01	3423	12403	83300	0.0
ɡʲ i	0.01	1487	2211	88197	0.0
i k	0.01	5516	88197	30932	0.0
tʲ i	0.01	5689	33763	88197	0.0
sʲ i	0.01	2137	4787	88197	0.0
o d	0.01	3249	83300	11859	0.0
o b	0.01	2843	83300	9086	0.0
m a	0.01	3527	12403	94085	0.0
ɡ o	0.01	2815	9126	83300	0.0
l a	0.01	3744	14418	94085	0.0
e nʲ	0.01	3109	57565	16518	0.0
n a	0.01	5710	37273	94085	0.0
e s	0.01	5228	57565	51666	0.0
fʲ i	0.01	1179	1740	88197	0.0
v i	0.01	4630	27065	88197	0.0
e t	0.01	5351	57565	58828	0.0
zʲ i	0.01	1219	2018	88197	0.0
u ʂ	0.01	1079	21312	6618	0.0
mʲ i	0.01	2127	6233	88197	0.0
t o	0.01	6218	58828	83300	0.0
lʲ n	0.01	2354	20272	37273	0.0
pʲ i	0.01	1929	6309	88197	0.0
ɕ n	0.01	2003	16478	37273	0.0
b o	0.01	2204	9086	83300	0.0
bʲ i	0.01	1441	3704	88197	0.0
e n	0.01	3684	57565	37273	0.0
a z	0.01	2861	94085	13880	0.0
ʐ i	0.01	1731	5455	88197	0.0
a nʲ	0.01	3066	94085	16518	0.0
ɡ r	0.01	1418	9126	36443	0.0
a n	0.01	4553	94085	37273	0.0
a lʲ	0.01	3329	94085	20272	0.0
r u	0.01	2109	36443	21312	0.0
i z	0.01	2638	88197	13880	0.0
o p	0.01	3384	83300	24288	0.0
o m	0.01	2418	83300	12403	0.0
n n	0.01	2794	37273	37273	0.0
o n	0.01	4171	83300	37273	0.0
s k	0.01	2963	51666	30932	0.0
i n	0.01	4213	88197	37273	0.0
xʲ i	0.01	551	650	88197	0.0
o f	0.01	1582	83300	5763	0.0
z m	0.01	936	13880	12403	0.0
i s	0.01	4759	88197	51666	0.0
j a	0.01	4122	36528	94085	0.0
o ɡ	0.01	1934	83300	9126	0.0
u t	0.01	2457	21312	58828	0.0
f k	0.01	909	5763	30932	0.0
ɡ a	0.01	1978	9126	94085	0.0
o k	0.01	3422	83300	30932	0.0
t r	0.01	3085	58828	36443	0.0
x o	0.01	1322	4756	83300	0.0
l u	0.01	1154	14418	21312	0.0
k u	0.01	1679	30932	21312	0.0
b r	0.01	1187	9086	36443	0.0
a s	0.01	4473	94085	51666	0.0
ɡʲ e	0.01	720	2211	57565	0.0
ʐ e	0.01	1130	5455	57565	0.0
b u	0.01	886	9086	21312	0.0
o vʲ	0.01	1582	83300	7473	0.0
n u	0.0	1778	37273	21312	0.0
u ʐ	0.0	677	21312	5455	0.0
d u	0.0	998	11859	21312	0.0
u x	0.0	626	21312	4756	0.0
a r	0.0	3634	94085	36443	0.0
ʂ i	0.0	1490	6618	88197	0.0
p a	0.0	2923	24288	94085	0.0
o lʲ	0.0	2511	83300	20272	0.0
b a	0.0	1724	9086	94085	0.0
e k	0.0	2458	57565	30932	0.0
d a	0.0	1938	11859	94085	0.0
t a	0.0	4305	58828	94085	0.0
i r	0.0	3265	88197	36443	0.0
u tʲ	0.0	1539	21312	33763	0.0
ʂ k	0.0	820	6618	30932	0.0
t rʲ	0.0	1795	58828	16772	0.0
ɕ a	0.0	2130	16478	94085	0.0
p l	0.0	1009	24288	14418	0.0
o ʐ	0.0	1149	83300	5455	0.0
ɡ l	0.0	607	9126	14418	0.0
ʂ e	0.0	1029	6618	57565	0.0
u r	0.0	1456	21312	36443	0.0
zʲ e	0.0	563	2018	57565	0.0
a l	0.0	1904	94085	14418	0.0
e d	0.0	1350	57565	11859	0.0
u d	0.0	807	21312	11859	0.0
o ɡʲ	0.0	687	83300	2211	0.0
d n	0.0	1059	11859	37273	0.0
fʲ e	0.0	498	1740	57565	0.0
u bʲ	0.0	437	21312	3704	0.0
n t	0.0	2299	37273	58828	0.0
o j	0.0	2686	83300	36528	0.0
u s	0.0	1614	21312	51666	0.0
b rʲ	0.0	596	9086	16772	0.0
o mʲ	0.0	1096	83300	6233	0.0
m u	0.0	782	12403	21312	0.0
t v	0.0	1912	58828	27065	0.0
o dʲ	0.0	1062	83300	5952	0.0
a ʐ	0.0	1063	94085	5455	0.0
x a	0.0	986	4756	94085	0.0
u p	0.0	1059	21312	24288	0.0
b lʲ	0.0	631	9086	20272	0.0
z d	0.0	596	13880	11859	0.0
s o	0.0	3034	51666	83300	0.0
a ɡ	0.0	1354	94085	9126	0.0
a k	0.0	2478	94085	30932	0.0
u lʲ	0.0	950	21312	20272	0.0
o x	0.0	906	83300	4756	0.0
a m	0.0	1554	94085	12403	0.0
e v	0.0	1790	57565	27065	0.0
u ɡ	0.0	628	21312	9126	0.0
k r	0.0	1496	30932	36443	0.0
e z	0.0	1256	57565	13880	0.0
u b	0.0	614	21312	9086	0.0
z vʲ	0.0	443	13880	7473	0.0
z n	0.0	989	13880	37273	0.0
j i	0.0	2466	36528	88197	0.0
s vʲ	0.0	852	51666	7473	0.0
ʐ a	0.0	976	5455	94085	0.0
ɡ rʲ	0.0	532	9126	16772	0.0
e m	0.0	1141	57565	12403	0.0
p u	0.0	967	24288	21312	0.0
e l	0.0	1219	57565	14418	0.0
o z	0.0	1422	83300	13880	0.0
t u	0.0	1476	58828	21312	0.0
o bʲ	0.0	732	83300	3704	0.0
z o	0.0	1406	13880	83300	0.0
s i	0.0	2783	51666	88197	0.0
b l	0.0	469	9086	14418	0.0
ɡ u	0.0	570	9126	21312	0.0
ɣ ɡ	0.0	29	56	9126	0.0
a d	0.0	1347	94085	11859	0.0
u m	0.0	654	21312	12403	0.0
lʲ u	0.0	835	20272	21312	0.0
s p	0.0	1412	51666	24288	0.0
p lʲ	0.0	881	24288	20272	0.0
f o	0.0	865	5763	83300	0.0
e tʲ	0.0	1734	57565	33763	0.0
o sʲ	0.0	782	83300	4787	0.0
e dʲ	0.0	723	57565	5952	0.0
u k	0.0	1000	21312	30932	0.0
lʲ a	0.0	1696	20272	94085	0.0
d r	0.0	802	11859	36443	0.0
a ʂ	0.0	962	94085	6618	0.0
i m	0.0	1274	88197	12403	0.0
f ɕ	0.0	367	5763	16478	0.0
e mʲ	0.0	712	57565	6233	0.0
z ɡ	0.0	422	13880	9126	0.0
ʂ a	0.0	933	6618	94085	0.0
r n	0.0	1371	36443	37273	0.0
a b	0.0	1081	94085	9086	0.0
e p	0.0	1369	57565	24288	0.0
o rʲ	0.0	1368	83300	16772	0.0
t k	0.0	1544	58828	30932	0.0
i lʲ	0.0	1519	88197	20272	0.0
o nʲ	0.0	1327	83300	16518	0.0
