ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
f sʲ	0.55	14095	53293	66249	0.0
p rʲ	0.52	20313	109395	70355	0.0
s t	0.4	47115	222523	239412	0.0
tɕ t	0.21	20893	82370	239412	0.0
p r	0.21	17800	109395	137038	0.0
t s	0.2	33384	239412	222523	0.0
s tʲ	0.16	18596	222523	91751	0.0
s k	0.14	21673	222523	149711	0.0
f ʂ	0.08	4459	53293	43963	0.0
f s	0.08	9733	53293	222523	0.0
s kʲ	0.08	5810	222523	19354	0.0
l sʲ	0.06	7849	139046	66249	0.0
n n	0.06	15706	207788	207788	0.0
b r	0.05	6246	60349	137038	0.0
d r	0.04	7745	95014	137038	0.0
z n	0.04	8257	71587	207788	0.0
ɡ d	0.04	5815	82209	95014	0.0
t vʲ	0.04	7397	239412	54365	0.0
s p	0.04	10109	222523	109395	0.0
m nʲ	0.04	7195	113979	125803	0.0
t v	0.03	10326	239412	128966	0.0
z dʲ	0.03	3227	71587	43583	0.0
t rʲ	0.03	7196	239412	70355	0.0
t r	0.03	9674	239412	137038	0.0
k r	0.03	7611	149711	137038	0.0
s lʲ	0.03	7791	222523	101822	0.0
ɡ l	0.03	5477	82209	139046	0.0
s v	0.02	8579	222523	128966	0.0
d n	0.02	6946	95014	207788	0.0
s l	0.02	8571	222523	139046	0.0
z d	0.02	3970	71587	95014	0.0
lʲ n	0.02	6523	101822	207788	0.0
ʐ d	0.02	3104	51372	95014	0.0
f pʲ	0.02	1470	53293	20880	0.0
f p	0.02	3333	53293	109395	0.0
ʐ n	0.02	4451	51372	207788	0.0
k nʲ	0.02	5794	149711	125803	0.0
m n	0.02	6430	113979	207788	0.0
lʲ k	0.02	5060	101822	149711	0.0
d lʲ	0.02	3971	95014	101822	0.0
b lʲ	0.02	3145	60349	101822	0.0
v lʲ	0.01	4464	128966	101822	0.0
v n	0.01	6329	128966	207788	0.0
m p	0.01	4206	113979	109395	0.0
ʐ dʲ	0.01	1760	51372	43583	0.0
f k	0.01	3262	53293	149711	0.0
d nʲ	0.01	3991	95014	125803	0.0
s vʲ	0.01	3949	222523	54365	0.0
z ɡ	0.01	2700	71587	82209	0.0
ɡ r	0.01	3714	82209	137038	0.0
z vʲ	0.01	2151	71587	54365	0.0
ɡ lʲ	0.01	3048	82209	101822	0.0
tʲ j	0.01	4554	91751	207822	0.0
z v	0.01	3124	71587	128966	0.0
v d	0.01	3498	128966	95014	0.0
f t	0.01	3530	53293	239412	0.0
t n	0.01	6894	239412	207788	0.0
s pʲ	0.01	2092	222523	20880	0.0
lʲ ʂ	0.01	2042	101822	43963	0.0
ʂ k	0.01	2424	43963	149711	0.0
s mʲ	0.01	2881	222523	42086	0.0
x p	0.01	1953	40238	109395	0.0
z nʲ	0.01	2792	71587	125803	0.0
p ɕ	0.01	1154	109395	14610	0.0
tɕ n	0.01	3775	82370	207788	0.0
ʂ kʲ	0.01	825	43963	19354	0.0
j s	0.01	6020	207822	222523	0.0
ɣ ʐ	0.01	56	78	51372	0.0
v rʲ	0.01	2628	128966	70355	0.0
m s	0.01	4378	113979	222523	0.0
v nʲ	0.01	3477	128966	125803	0.0
d vʲ	0.01	1947	95014	54365	0.0
r ɡʲ	0.01	820	137038	7090	0.0
n s	0.01	5630	207788	222523	0.0
t k	0.01	4913	239412	149711	0.0
v z	0.01	2445	128966	71587	0.0
k rʲ	0.01	2606	149711	70355	0.0
v zʲ	0.01	787	128966	7516	0.0
s s	0.01	5621	222523	222523	0.0
l ʐ	0.01	2125	139046	51372	0.0
l tɕ	0.01	2688	139046	82370	0.0
x v	0.01	1758	40238	128966	0.0
s tɕ	0.01	3261	222523	82370	0.0
ɡ dʲ	0.01	1422	82209	43583	0.0
j p	0.01	3582	207822	109395	0.0
m tɕ	0.01	2288	113979	82370	0.0
s nʲ	0.01	3934	222523	125803	0.0
l k	0.01	3381	139046	149711	0.0
d v	0.01	2592	95014	128966	0.0
z ʐ	0.0	1345	71587	51372	0.0
tʲ p	0.0	2202	91751	109395	0.0
r n	0.0	3703	137038	207788	0.0
ʂ l	0.0	1707	43963	139046	0.0
s n	0.0	4687	222523	207788	0.0
ʂ lʲ	0.0	1443	43963	101822	0.0
s m	0.0	3374	222523	113979	0.0
k s	0.0	3833	149711	222523	0.0
f tɕ	0.0	1390	53293	82370	0.0
n t	0.0	4647	207788	239412	0.0
t tɕ	0.0	2916	239412	82370	0.0
v r	0.0	2741	128966	137038	0.0
t t	0.0	4936	239412	239412	0.0
b l	0.0	1836	60349	139046	0.0
m k	0.0	2567	113979	149711	0.0
t p	0.0	3169	239412	109395	0.0
lʲ zʲ	0.0	538	101822	7516	0.0
ʂ nʲ	0.0	1444	43963	125803	0.0
x s	0.0	1827	40238	222523	0.0
l p	0.0	2381	139046	109395	0.0
r t	0.0	3474	137038	239412	0.0
r k	0.0	2694	137038	149711	0.0
t nʲ	0.0	3259	239412	125803	0.0
l j	0.0	3160	139046	207822	0.0
z bʲ	0.0	716	71587	21052	0.0
r ʐ	0.0	1541	137038	51372	0.0
f r	0.0	1539	53293	137038	0.0
m v	0.0	2179	113979	128966	0.0
n nʲ	0.0	2898	207788	125803	0.0
tʲ s	0.0	2555	91751	222523	0.0
k t	0.0	3359	149711	239412	0.0
j dʲ	0.0	1683	207822	43583	0.0
n d	0.0	2469	207788	95014	0.0
l n	0.0	2969	139046	207788	0.0
r ʂ	0.0	1355	137038	43963	0.0
z b	0.0	1145	71587	60349	0.0
r v	0.0	2300	137038	128966	0.0
tʲ tɕ	0.0	1502	91751	82370	0.0
k n	0.0	3045	149711	207788	0.0
tʲ v	0.0	1851	91751	128966	0.0
m b	0.0	1386	113979	60349	0.0
j n	0.0	3471	207822	207788	0.0
tɕ tʲ	0.0	1432	82370	91751	0.0
m f	0.0	1281	113979	53293	0.0
tɕ ʂ	0.0	983	82370	43963	0.0
p l	0.0	2002	109395	139046	0.0
tʲ f	0.0	1132	91751	53293	0.0
t kʲ	0.0	1100	239412	19354	0.0
fʲ j	0.0	505	4726	207822	0.0
l s	0.0	2823	139046	222523	0.0
k p	0.0	2050	149711	109395	0.0
n ɕ	0.0	874	207788	14610	0.0
k sʲ	0.0	1569	149711	66249	0.0
m d	0.0	1631	113979	95014	0.0
l f	0.0	1336	139046	53293	0.0
tɕ kʲ	0.0	617	82370	19354	0.0
j k	0.0	2711	207822	149711	0.0
n p	0.0	2313	207788	109395	0.0
k v	0.0	2095	149711	128966	0.0
tʲ nʲ	0.0	1613	91751	125803	0.0
n tɕ	0.0	1947	207788	82370	0.0
x n	0.0	1356	40238	207788	0.0
ʂ n	0.0	1417	43963	207788	0.0
l ɡ	0.0	1584	139046	82209	0.0
sʲ p	0.0	1259	66249	109395	0.0
j tɕ	0.0	1934	207822	82370	0.0
m ɡ	0.0	1417	113979	82209	0.0
l v	0.0	1942	139046	128966	0.0
b n	0.0	1603	60349	207788	0.0
v mʲ	0.0	1054	128966	42086	0.0
k lʲ	0.0	1761	149711	101822	0.0
sʲ m	0.0	1230	66249	113979	0.0
x k	0.0	1083	40238	149711	0.0
l nʲ	0.0	1844	139046	125803	0.0
v ɡʲ	0.0	420	128966	7090	0.0
k k	0.0	2068	149711	149711	0.0
t b	0.0	1655	239412	60349	0.0
r tʲ	0.0	1542	137038	91751	0.0
j d	0.0	1912	207822	95014	0.0
j tʲ	0.0	1868	207822	91751	0.0
l b	0.0	1229	139046	60349	0.0
m lʲ	0.0	1440	113979	101822	0.0
x d	0.0	826	40238	95014	0.0
sʲ j	0.0	1559	66249	207822	0.0
tʲ k	0.0	1544	91751	149711	0.0
nʲ kʲ	0.0	642	125803	19354	0.0
t f	0.0	1466	239412	53293	0.0
l lʲ	0.0	1542	139046	101822	0.0
z m	0.0	1164	71587	113979	0.0
v ɡ	0.0	1309	128966	82209	0.0
tʲ n	0.0	1750	91751	207788	0.0
j nʲ	0.0	2013	207822	125803	0.0
b rʲ	0.0	804	60349	70355	0.0
t lʲ	0.0	1916	239412	101822	0.0
sʲ tɕ	0.0	906	66249	82370	0.0
x lʲ	0.0	785	40238	101822	0.0
sʲ v	0.0	1131	66249	128966	0.0
j ʂ	0.0	1165	207822	43963	0.0
j v	0.0	1983	207822	128966	0.0
n b	0.0	1350	207788	60349	0.0
tʲ d	0.0	1123	91751	95014	0.0
sʲ f	0.0	712	66249	53293	0.0
x m	0.0	808	40238	113979	0.0
r dʲ	0.0	920	137038	43583	0.0
m z	0.0	1073	113979	71587	0.0
p lʲ	0.0	1249	109395	101822	0.0
ɡ ʐ	0.0	767	82209	51372	0.0
sʲ s	0.0	1433	66249	222523	0.0
z rʲ	0.0	837	71587	70355	0.0
j b	0.0	1319	207822	60349	0.0
ɡ b	0.0	819	82209	60349	0.0
tɕ k	0.0	1281	82370	149711	0.0
x nʲ	0.0	819	40238	125803	0.0
n k	0.0	2021	207788	149711	0.0
ɡ rʲ	0.0	859	82209	70355	0.0
k l	0.0	1625	149711	139046	0.0
nʲ k	0.0	1544	125803	149711	0.0
s x	0.0	1059	222523	40238	0.0
ʐ nʲ	0.0	897	51372	125803	0.0
x r	0.0	799	40238	137038	0.0
tʲ z	0.0	872	91751	71587	0.0
m m	0.0	1226	113979	113979	0.0
x f	0.0	494	40238	53293	0.0
rʲ j	0.0	1288	70355	207822	0.0
k b	0.0	1010	149711	60349	0.0
lʲ s	0.0	1592	101822	222523	0.0
s sʲ	0.0	1271	222523	66249	0.0
m r	0.0	1307	113979	137038	0.0
j f	0.0	1095	207822	53293	0.0
x b	0.0	512	40238	60349	0.0
r d	0.0	1184	137038	95014	0.0
m pʲ	0.0	505	113979	20880	0.0
m t	0.0	1704	113979	239412	0.0
sʲ k	0.0	1024	66249	149711	0.0
d mʲ	0.0	637	95014	42086	0.0
sʲ n	0.0	1176	66249	207788	0.0
k tɕ	0.0	1110	149711	82370	0.0
l pʲ	0.0	537	139046	20880	0.0
l d	0.0	1144	139046	95014	0.0
m sʲ	0.0	854	113979	66249	0.0
z mʲ	0.0	533	71587	42086	0.0
m j	0.0	1494	113979	207822	0.0
r s	0.0	1689	137038	222523	0.0
x ɡ	0.0	546	40238	82209	0.0
f kʲ	0.0	303	53293	19354	0.0
m ʐ	0.0	718	113979	51372	0.0
m dʲ	0.0	657	113979	43583	0.0
r b	0.0	839	137038	60349	0.0
v l	0.0	1235	128966	139046	0.0
b vʲ	0.0	523	60349	54365	0.0
x z	0.0	490	40238	71587	0.0
k vʲ	0.0	823	149711	54365	0.0
j ɡ	0.0	1191	207822	82209	0.0
d rʲ	0.0	741	95014	70355	0.0
n f	0.0	951	207788	53293	0.0
j ʐ	0.0	928	207822	51372	0.0
tʲ b	0.0	668	91751	60349	0.0
m vʲ	0.0	706	113979	54365	0.0
tʲ t	0.0	1322	91751	239412	0.0
ʂ vʲ	0.0	430	43963	54365	0.0
j mʲ	0.0	816	207822	42086	0.0
j m	0.0	1342	207822	113979	0.0
j pʲ	0.0	574	207822	20880	0.0
r pʲ	0.0	460	137038	20880	0.0
s xʲ	0.0	143	222523	1256	0.0
n tʲ	0.0	1181	207788	91751	0.0
k f	0.0	762	149711	53293	0.0
lʲ nʲ	0.0	963	101822	125803	0.0
z l	0.0	846	71587	139046	0.0
l kʲ	0.0	437	139046	19354	0.0
j sʲ	0.0	986	207822	66249	0.0
dʲ j	0.0	798	43583	207822	0.0
t pʲ	0.0	591	239412	20880	0.0
n ɡ	0.0	1091	207788	82209	0.0
f x	0.0	386	53293	40238	0.0
j t	0.0	1850	207822	239412	0.0
l vʲ	0.0	719	139046	54365	0.0
p p	0.0	902	109395	109395	0.0
tʲ mʲ	0.0	511	91751	42086	0.0
sʲ b	0.0	515	66249	60349	0.0
l z	0.0	812	139046	71587	0.0
tʲ m	0.0	826	91751	113979	0.0
x sʲ	0.0	415	40238	66249	0.0
r x	0.0	595	137038	40238	0.0
l ɡʲ	0.0	249	139046	7090	0.0
j z	0.0	962	207822	71587	0.0
tɕ rʲ	0.0	599	82370	70355	0.0
t j	0.0	1750	239412	207822	0.0
sʲ d	0.0	621	66249	95014	0.0
z z	0.0	556	71587	71587	0.0
nʲ ɡʲ	0.0	231	125803	7090	0.0
k tʲ	0.0	906	149711	91751	0.0
j r	0.0	1304	207822	137038	0.0
v dʲ	0.0	575	128966	43583	0.0
d d	0.0	728	95014	95014	0.0
