ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t ɕ	2.14	346	2501	413	0.0
s t	0.41	308	1719	2501	0.0
s tʲ	0.33	135	1719	592	0.0
t s	0.23	230	2501	1719	0.0
n t	0.2	216	1718	2501	0.0
p rʲ	0.17	87	991	814	0.0
t r	0.12	197	2501	2438	0.0
n d	0.11	87	1718	739	0.0
t rʲ	0.07	89	2501	814	0.0
n ɡ	0.07	70	1718	754	0.0
s k	0.07	117	1719	2119	0.0
b rʲ	0.06	44	731	814	0.0
d ʐ	0.06	26	739	286	0.0
p r	0.06	86	991	2438	0.0
m b	0.06	46	950	731	0.0
p l	0.04	51	991	1111	0.0
ɡ rʲ	0.04	37	754	814	0.0
r t	0.04	114	2438	2501	0.0
ɡ r	0.04	62	754	2438	0.0
p lʲ	0.04	45	991	1000	0.0
d r	0.03	58	739	2438	0.0
b r	0.03	57	731	2438	0.0
n tʲ	0.03	43	1718	592	0.0
r tʲ	0.03	47	2438	592	0.0
b lʲ	0.03	33	731	1000	0.0
m p	0.03	37	950	991	0.0
s pʲ	0.03	27	1719	295	0.0
k lʲ	0.03	55	2119	1000	0.0
f lʲ	0.03	21	311	1000	0.0
l lʲ	0.03	39	1111	1000	0.0
r d	0.02	49	2438	739	0.0
n dʲ	0.02	28	1718	344	0.0
l l	0.02	40	1111	1111	0.0
k rʲ	0.02	47	2119	814	0.0
ʂ t	0.02	39	488	2501	0.0
m pʲ	0.02	18	950	295	0.0
k s	0.02	64	2119	1719	0.0
r m	0.02	51	2438	950	0.0
k t	0.02	74	2119	2501	0.0
d rʲ	0.02	24	739	814	0.0
ɕ sʲ	0.02	10	413	266	0.002
s s	0.02	50	1719	1719	0.0
ʂ pʲ	0.02	11	488	295	0.001
s kʲ	0.02	16	1719	179	0.0
k v	0.01	29	2119	533	0.0
f fʲ	0.01	6	311	158	0.031
n s	0.01	46	1718	1719	0.0
z d	0.01	15	436	739	0.0
k r	0.01	60	2119	2438	0.0
r dʲ	0.01	24	2438	344	0.0
s p	0.01	34	1719	991	0.0
r ɡ	0.01	34	2438	754	0.0
k l	0.01	38	2119	1111	0.0
x l	0.01	14	288	1111	0.0
b l	0.01	22	731	1111	0.0
f r	0.01	21	311	2438	0.0
r ʂ	0.01	26	2438	488	0.0
f l	0.01	14	311	1111	0.0
x v	0.01	9	288	533	0.004
ɡ l	0.01	21	754	1111	0.0
ʂ nʲ	0.01	10	488	391	0.002
nʲ j	0.01	11	391	604	0.001
r nʲ	0.01	22	2438	391	0.0
x t	0.01	18	288	2501	0.0
x rʲ	0.01	10	288	814	0.002
lʲ j	0.01	16	1000	604	0.0
ʂ tʲ	0.01	11	488	592	0.001
r ʐ	0.01	17	2438	286	0.0
ʂ p	0.01	14	488	991	0.0
k sʲ	0.01	15	2119	266	0.0
n ʐ	0.01	14	1718	286	0.0
s lʲ	0.01	26	1719	1000	0.0
s m	0.01	25	1719	950	0.0
r s	0.01	40	2438	1719	0.0
r b	0.01	26	2438	731	0.0
ʂ l	0.01	14	488	1111	0.0
s vʲ	0.01	14	1719	327	0.0
ʂ lʲ	0.01	13	488	1000	0.0
t v	0.01	21	2501	533	0.0
r xʲ	0.01	6	2438	45	0.031
f rʲ	0.01	9	311	814	0.004
v r	0.01	20	533	2438	0.0
p sʲ	0.01	9	991	266	0.004
ɡ lʲ	0.01	15	754	1000	0.0
z m	0.01	11	436	950	0.001
z nʲ	0.01	7	436	391	0.016
x mʲ	0.01	5	288	303	0.062
ʂ kʲ	0.01	5	488	179	0.062
z ɡʲ	0.01	4	436	135	0.125
j d	0.01	11	604	739	0.001
f tʲ	0.0	7	311	592	0.016
r n	0.0	33	2438	1718	0.0
k tʲ	0.0	18	2119	592	0.0
z vʲ	0.0	6	436	327	0.031
lʲ t	0.0	25	1000	2501	0.0
z ɡ	0.0	9	436	754	0.004
m bʲ	0.0	7	950	224	0.016
r mʲ	0.0	13	2438	303	0.0
r k	0.0	34	2438	2119	0.0
r bʲ	0.0	11	2438	224	0.001
f t	0.0	13	311	2501	0.0
m m	0.0	14	950	950	0.0
m f	0.0	8	950	311	0.008
n k	0.0	28	1718	2119	0.0
j m	0.0	11	604	950	0.001
s l	0.0	20	1719	1111	0.0
n kʲ	0.0	8	1718	179	0.008
k vʲ	0.0	12	2119	327	0.0
lʲ f	0.0	8	1000	311	0.008
r x	0.0	12	2438	288	0.0
rʲ j	0.0	10	814	604	0.002
r ɡʲ	0.0	8	2438	135	0.008
ʂ k	0.0	14	488	2119	0.0
lʲ dʲ	0.0	8	1000	344	0.008
r kʲ	0.0	9	2438	179	0.004
x m	0.0	7	288	950	0.016
s sʲ	0.0	9	1719	266	0.004
r v	0.0	15	2438	533	0.0
x r	0.0	11	288	2438	0.001
ʐ d	0.0	6	286	739	0.031
ɡ m	0.0	11	754	950	0.001
p pʲ	0.0	7	991	295	0.016
z dʲ	0.0	5	436	344	0.062
ɡ nʲ	0.0	7	754	391	0.016
d v	0.0	8	739	533	0.008
n z	0.0	11	1718	436	0.001
n ɡʲ	0.0	6	1718	135	0.031
v rʲ	0.0	8	533	814	0.008
l d	0.0	11	1111	739	0.001
p t	0.0	19	991	2501	0.0
j f	0.0	5	604	311	0.062
r fʲ	0.0	7	2438	158	0.016
vʲ j	0.0	5	327	604	0.062
r vʲ	0.0	10	2438	327	0.002
s mʲ	0.0	8	1719	303	0.008
z mʲ	0.0	4	436	303	0.125
n xʲ	0.0	3	1718	45	0.25
s xʲ	0.0	3	1719	45	0.25
n zʲ	0.0	5	1718	126	0.062
p s	0.0	14	991	1719	0.0
j t	0.0	13	604	2501	0.0
ɡ n	0.0	12	754	1718	0.0
ʂ mʲ	0.0	4	488	303	0.125
v z	0.0	5	533	436	0.062
z v	0.0	5	436	533	0.062
n sʲ	0.0	7	1718	266	0.016
ʂ m	0.0	7	488	950	0.016
lʲ m	0.0	10	1000	950	0.002
d vʲ	0.0	5	739	327	0.062
t vʲ	0.0	9	2501	327	0.004
n ʂ	0.0	9	1718	488	0.004
j n	0.0	10	604	1718	0.002
j s	0.0	10	604	1719	0.002
r l	0.0	16	2438	1111	0.0
r z	0.0	10	2438	436	0.002
k zʲ	0.0	5	2119	126	0.062
ʐ dʲ	0.0	3	286	344	0.25
pʲ j	0.0	4	295	604	0.125
s v	0.0	9	1719	533	0.004
m mʲ	0.0	5	950	303	0.062
x lʲ	0.0	5	288	1000	0.062
n n	0.0	16	1718	1718	0.0
lʲ d	0.0	8	1000	739	0.008
z n	0.0	8	436	1718	0.008
lʲ mʲ	0.0	5	1000	303	0.062
p p	0.0	9	991	991	0.004
r p	0.0	14	2438	991	0.0
ʐ kʲ	0.0	2	286	179	0.5
dʲ j	0.0	4	344	604	0.125
lʲ vʲ	0.0	5	1000	327	0.062
r sʲ	0.0	7	2438	266	0.016
v t	0.0	10	533	2501	0.002
j l	0.0	7	604	1111	0.016
n nʲ	0.0	7	1718	391	0.016
s nʲ	0.0	7	1719	391	0.016
l t	0.0	14	1111	2501	0.0
ɡ mʲ	0.0	4	754	303	0.125
d ʂ	0.0	5	739	488	0.062
r pʲ	0.0	7	2438	295	0.016
n f	0.0	6	1718	311	0.031
t nʲ	0.0	8	2501	391	0.008
ɡ vʲ	0.0	4	754	327	0.125
r f	0.0	7	2438	311	0.016
ʂ v	0.0	4	488	533	0.125
p fʲ	0.0	3	991	158	0.25
ʂ vʲ	0.0	3	488	327	0.25
sʲ j	0.0	3	266	604	0.25
t kʲ	0.0	5	2501	179	0.062
t tʲ	0.0	9	2501	592	0.004
ɕ kʲ	0.0	2	413	179	0.5
j zʲ	0.0	2	604	126	0.5
p ʂ	0.0	5	991	488	0.062
z l	0.0	5	436	1111	0.062
b s	0.0	8	731	1719	0.008
ʐ ʐ	0.0	2	286	286	0.5
k ʂ	0.0	7	2119	488	0.016
l m	0.0	7	1111	950	0.016
l kʲ	0.0	3	1111	179	0.25
l b	0.0	6	1111	731	0.031
j r	0.0	8	604	2438	0.008
k nʲ	0.0	6	2119	391	0.031
