ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t s	1.42	17707	50622	56846	0.0
s kʲ	0.66	4375	56846	6635	0.0
s t	0.41	9541	56846	50622	0.0
p rʲ	0.41	4056	27009	19442	0.0
n n	0.39	9073	52552	52552	0.0
p r	0.21	4297	27009	41964	0.0
s tʲ	0.13	4261	56846	31863	0.0
ɡ r	0.09	1739	10770	41964	0.0
t r	0.08	3653	50622	41964	0.0
tɕ n	0.07	2021	14245	52552	0.0
lʲ n	0.07	2499	22159	52552	0.0
s k	0.07	3104	56846	32053	0.0
t rʲ	0.06	2092	50622	19442	0.0
b r	0.05	1366	11160	41964	0.0
z m	0.05	933	16112	13804	0.0
p l	0.04	1143	27009	15797	0.0
b lʲ	0.04	822	11160	22159	0.0
ɡ l	0.03	660	10770	15797	0.0
k r	0.03	1768	32053	41964	0.0
p lʲ	0.03	1146	27009	22159	0.0
b rʲ	0.03	677	11160	19442	0.0
f ʂ	0.03	256	4082	7696	0.0
z vʲ	0.03	516	16112	8241	0.0
z d	0.02	686	16112	15512	0.0
s p	0.02	1684	56846	27009	0.0
s vʲ	0.02	925	56846	8241	0.0
t v	0.02	1806	50622	35339	0.0
ɡ rʲ	0.02	597	10770	19442	0.0
d n	0.02	1148	15512	52552	0.0
n t	0.02	2072	52552	50622	0.0
ʂ k	0.02	604	7696	32053	0.0
z n	0.02	1044	16112	52552	0.0
b l	0.02	465	11160	15797	0.0
s l	0.02	1045	56846	15797	0.0
v lʲ	0.02	975	35339	22159	0.0
k rʲ	0.02	863	32053	19442	0.0
t vʲ	0.01	692	50622	8241	0.0
t n	0.01	1746	50622	52552	0.0
d r	0.01	855	15512	41964	0.0
ʐ dʲ	0.01	224	6857	6623	0.0
l k	0.01	742	15797	32053	0.0
r n	0.01	1537	41964	52552	0.0
x l	0.01	298	5255	15797	0.0
k lʲ	0.01	864	32053	22159	0.0
s pʲ	0.01	657	56846	7360	0.0
tɕ k	0.01	680	14245	32053	0.0
k l	0.01	707	32053	15797	0.0
d vʲ	0.01	350	15512	8241	0.0
d nʲ	0.01	509	15512	17608	0.0
f t	0.01	439	4082	50622	0.0
x lʲ	0.01	329	5255	22159	0.0
t k	0.01	1210	50622	32053	0.0
k t	0.01	1204	32053	50622	0.0
j sʲ	0.01	463	45333	5579	0.0
r m	0.01	689	41964	13804	0.0
z ɡ	0.01	373	16112	10770	0.0
n k	0.01	1108	52552	32053	0.0
v k	0.01	903	35339	32053	0.0
s sʲ	0.01	466	56846	5579	0.0
z v	0.01	595	16112	35339	0.0
l lʲ	0.01	462	15797	22159	0.0
d rʲ	0.01	428	15512	19442	0.0
